tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
366517560,0.672352,0.684088,0.663375,0.678281,1
366517593,0.671454,0.695703,0.663375,0.678281,1
366517626,0.657092,0.678281,0.663375,0.678281,1
366517660,0.665171,0.662021,0.663375,0.678281,1
366517692,0.662478,0.679443,0.663375,0.67712,1
366517726,0.671454,0.672474,0.664273,0.675958,1
366517760,0.669659,0.658537,0.664273,0.675958,1
366517792,0.664273,0.672474,0.664273,0.674797,1
366517826,0.666068,0.666667,0.665171,0.674797,1
366517859,0.666966,0.667828,0.665171,0.674797,1
366517893,0.674147,0.658537,0.666068,0.673635,1
366517926,0.657989,0.658537,0.666068,0.672474,1
366517959,0.340215,0.529617,0.340215,0.529617,0
366517992,0.294434,0.502904,0.294434,0.502904,0
366518027,0.295332,0.520325,0.294434,0.512195,0
366518060,0.298923,0.486643,0.29623,0.504065,0
366518092,0.29623,0.426249,0.29623,0.484321,0
366518126,0.286355,0.42741,0.294434,0.472706,0
366518159,0.286355,0.433217,0.292639,0.465738,1
366518192,0.288151,0.41115,0.291741,0.457607,1
366518225,0.289946,0.422764,0.291741,0.4518,1
366518259,0.278276,0.299652,0.278276,0.299652,0
366518292,0.282765,0.281069,0.282765,0.281069,0
366518325,0.283662,0.279907,0.282765,0.281069,0
366518359,0.278276,0.286876,0.280969,0.28223,0
366518392,0.344704,0.283391,0.297127,0.283391,0
366518425,0.428187,0.270616,0.324057,0.281069,0
366518458,0.425494,0.28223,0.425494,0.28223,0
366518492,0.420108,0.281069,0.420108,0.281069,0
366518525,0.436266,0.271777,0.428187,0.276423,0
366518558,0.435368,0.264808,0.43088,0.272938,0
366518592,0.438061,0.271777,0.432675,0.272938,0
366518625,0.435368,0.279907,0.432675,0.2741,0
366518658,0.435368,0.278746,0.433573,0.275261,1
366518691,0.43088,0.276423,0.432675,0.275261,1
366518725,0.441652,0.276423,0.43447,0.275261,1
366518758,0.444345,0.286876,0.435368,0.276423,1
366518791,0.438061,0.2741,0.436266,0.276423,1
366518825,0.443447,0.275261,0.436266,0.276423,1
366518860,0.429084,0.281069,0.436266,0.276423,1
366518892,0.421005,0.275261,0.43447,0.276423,1
366518928,0.43447,0.277584,0.43447,0.276423,1
366518958,0.443447,0.28223,0.435368,0.277584,1
