tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
365651648,0.654399,0.815331,0.657092,0.815331,1
365651682,0.718133,0.570267,0.718133,0.570267,0
365651715,0.729802,0.574913,0.729802,0.574913,0
365651748,0.711849,0.566783,0.720826,0.570267,0
365651781,0.71903,0.560976,0.719928,0.566783,0
365651815,0.725314,0.550523,0.720826,0.563298,0
365651848,0.728905,0.578397,0.722621,0.566783,0
365651881,0.717235,0.547038,0.721723,0.563298,1
365651915,0.737881,0.555168,0.724416,0.562137,1
365651948,0.736984,0.536585,0.726212,0.558653,1
365651981,0.751347,0.554007,0.728905,0.557491,1
365652015,0.743267,0.550523,0.7307,0.557491,1
365652048,0.735188,0.562137,0.731598,0.557491,1
365652081,0.734291,0.56446,0.731598,0.557491,1
365652114,0.74596,0.571429,0.733393,0.558653,1
365652148,0.734291,0.571429,0.733393,0.559814,1
365652181,0.738779,0.545877,0.734291,0.558653,1
365652215,0.736984,0.5482,0.734291,0.558653,1
365652249,0.74237,0.567944,0.735188,0.558653,1
365652281,0.751347,0.545877,0.736086,0.557491,1
365652314,0.736984,0.547038,0.736086,0.557491,1
365652348,0.744165,0.549361,0.736984,0.55633,1
365652381,0.741472,0.545877,0.737881,0.55633,1
365652414,0.736086,0.563298,0.737881,0.55633,1
365652447,0.690305,0.606272,0.735188,0.558653,1
365652481,0.682226,0.614402,0.731598,0.562137,1
365652514,0.675943,0.657375,0.728007,0.567944,1
365652547,0.67684,0.620209,0.724416,0.57259,1
365652581,0.683124,0.641115,0.721723,0.577236,1
365652614,0.686715,0.636469,0.71903,0.581882,1
365652647,0.68851,0.632985,0.716338,0.585366,1
365652680,0.679533,0.615563,0.713645,0.58885,1
365652714,0.675045,0.634146,0.710952,0.592335,1
365652747,0.679533,0.610918,0.707361,0.595819,1
365652781,0.685817,0.660859,0.705566,0.600465,1
365652814,0.504488,0.627178,0.504488,0.627178,0
365652847,0.391382,0.817654,0.391382,0.817654,0
365652880,0.374327,0.803717,0.383303,0.810685,0
365652914,0.390485,0.832753,0.385996,0.818815,0
365652947,0.39228,0.8223,0.387792,0.818815,0
365652982,0.388689,0.83043,0.387792,0.821138,0
365653014,0.391382,0.851336,0.391382,0.851336,0
365653047,0.38061,0.803717,0.38061,0.803717,0
365653080,0.423698,0.785134,0.402154,0.794425,0
365653113,0.433573,0.818815,0.412926,0.802555,0
365653147,0.429084,0.752613,0.416517,0.789779,0
365653180,0.438061,0.818815,0.421005,0.795587,0
365653214,0.439856,0.793264,0.424596,0.795587,1
365653247,0.43088,0.83043,0.425494,0.800232,1
365653280,0.447935,0.85482,0.429084,0.807201,1
365653313,0.443447,0.800232,0.43088,0.807201,1
365653347,0.438061,0.840883,0.431777,0.810685,1
365653381,0.426391,0.811847,0.43088,0.810685,1
365653414,0.431777,0.833914,0.431777,0.813008,1
365653448,0.441652,0.761905,0.432675,0.809524,1
365653481,0.415619,0.801394,0.43088,0.808362,1
365653514,0.286355,0.515679,0.286355,0.515679,0
365653547,0.292639,0.569106,0.292639,0.569106,0
365653581,0.295332,0.554007,0.293537,0.562137,0
365653614,0.29623,0.542393,0.294434,0.555168,0
365653647,0.306104,0.560976,0.298025,0.55633,0
365653681,0.307002,0.58072,0.29982,0.560976,0
365653714,0.29982,0.542393,0.29982,0.558653,1
365653747,0.250449,0.550523,0.292639,0.557491,1
365653781,0.251346,0.55633,0.287253,0.557491,1
365653814,0.261221,0.566783,0.283662,0.558653,1
365653848,0.25763,0.558653,0.280969,0.558653,1
365653881,0.260323,0.759582,0.260323,0.759582,0
365653914,0.255835,0.821138,0.255835,0.821138,0
365653947,0.253142,0.801394,0.254937,0.811847,0
365653981,0.263016,0.802555,0.25763,0.808362,0
365654014,0.263016,0.788618,0.258528,0.803717,0
365654047,0.259425,0.823461,0.258528,0.807201,0
365654080,0.238779,0.785134,0.255835,0.803717,1
365654114,0.241472,0.83043,0.253142,0.807201,1
365654147,0.226212,0.818815,0.249551,0.809524,1
365654180,0.24237,0.829268,0.248654,0.811847,1
365654214,0.231598,0.815331,0.246858,0.811847,1
365654247,0.238779,0.843206,0.245961,0.815331,1
365654280,0.25763,0.83856,0.246858,0.817654,1
365654314,0.244165,0.813008,0.246858,0.817654,1
365654347,0.241472,0.800232,0.245961,0.816492,1
365654380,0.254937,0.845528,0.246858,0.818815,1
365654413,0.237882,0.833914,0.245961,0.819977,1
365654447,0.241472,0.807201,0.245063,0.818815,1
