tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
741657323,0.734694,0.258512,0.727347,0.25599,1
741657357,0.733061,0.24338,0.727347,0.25599,1
741657390,0.728163,0.245902,0.728163,0.254729,1
741657423,0.727347,0.25599,0.728163,0.254729,1
741657458,0.733061,0.250946,0.728163,0.254729,1
741657490,0.50449,0.272383,0.50449,0.272383,0
741657523,0.453878,0.252207,0.453878,0.252207,0
741657556,0.45551,0.253468,0.454694,0.252207,0
741657590,0.454694,0.254729,0.454694,0.253468,0
741657623,0.449796,0.263556,0.453061,0.25599,0
741657656,0.451429,0.249685,0.453061,0.254729,0
741657690,0.445714,0.281211,0.451429,0.259773,1
741657723,0.446531,0.267339,0.450612,0.259773,1
741657756,0.462041,0.2686,0.452245,0.261034,1
741657789,0.456327,0.257251,0.453061,0.261034,1
741657823,0.458776,0.247163,0.453061,0.259773,1
741657856,0.468571,0.254729,0.454694,0.258512,1
741657889,0.46449,0.258512,0.45551,0.258512,1
