tstamp,mouse_x,mouse_y
1428450979986,0.754937,0.550523
1428450980051,0.75404,0.551684
1428450980149,0.740574,0.55633
1428450980242,0.702873,0.565621
1428450980338,0.651706,0.571429
1428450980420,0.615799,0.57259
1428450980514,0.561939,0.577236
1428450980611,0.513465,0.584204
1428450980706,0.467684,0.584204
1428450980770,0.438959,0.583043
1428450980852,0.413824,0.583043
1428450980949,0.38061,0.583043
1428450981042,0.359066,0.581882
1428450981138,0.347397,0.578397
1428450981219,0.343806,0.576074
1428450981314,0.336625,0.570267
1428450981410,0.334829,0.565621
1428450981508,0.341113,0.56446
1428450981619,0.346499,0.563298
1428450981715,0.349192,0.559814
1428450981810,0.359964,0.545877
1428450981905,0.383303,0.495935
1428450981970,0.402154,0.444832
1428450982056,0.421005,0.391405
1428450982145,0.443447,0.325203
1428450982248,0.464991,0.275261
1428450982341,0.482944,0.238095
1428450982465,0.495512,0.218351
1428450982547,0.502693,0.205575
1428450982641,0.5,0.189315
1428450982737,0.493716,0.174216
1428450982851,0.492819,0.164925
1428450982946,0.495512,0.163763
