tstamp,mouse_x,mouse_y
1428450949652,0.502693,0.70964
1428450949752,0.503591,0.706156
1428450949844,0.506284,0.695703
1428450949959,0.514363,0.66899
1428450950049,0.535009,0.624855
1428450950146,0.561939,0.571429
1428450950245,0.585278,0.516841
1428450950357,0.599641,0.461092
1428450950452,0.606822,0.408827
1428450950545,0.60772,0.368177
1428450950648,0.605027,0.349593
1428450950714,0.605027,0.343786
1428450950786,0.609515,0.336818
1428450950882,0.617594,0.329849
1428450950979,0.626571,0.320558
1428450951083,0.633752,0.310105
1428450951188,0.637343,0.295006
1428450951284,0.637343,0.28223
1428450951385,0.640036,0.269454
1428450951482,0.644524,0.262485
1428450951589,0.649013,0.262485
1428450951683,0.652603,0.269454
1428450951780,0.656194,0.281069
1428450951882,0.663375,0.293844
1428450951986,0.675045,0.305459
1428450952068,0.687612,0.308943
1428450952150,0.707361,0.310105
1428450952243,0.727109,0.310105
1428450952341,0.743267,0.307782
1428450952424,0.754937,0.30662
1428450952514,0.761221,0.30662
1428450952615,0.758528,0.305459
1428450952716,0.756733,0.305459
1428450952818,0.75763,0.304297
1428450952916,0.756733,0.303136
1428450953011,0.754937,0.303136
1428450953113,0.74596,0.308943
1428450953221,0.722621,0.33101
1428450953315,0.684919,0.371661
1428450953415,0.640934,0.429733
1428450953515,0.593357,0.499419
1428450953604,0.547576,0.570267
1428450953683,0.517056,0.612079
1428450953782,0.474865,0.662021
1428450953885,0.438061,0.703833
1428450953973,0.408438,0.739837
1428450954054,0.390485,0.75842
1428450954146,0.363555,0.779326
1428450954244,0.342011,0.797909
1428450954343,0.330341,0.811847
1428450954434,0.327648,0.818815
1428450954517,0.327648,0.819977
1428450954618,0.329443,0.818815
1428450954716,0.333034,0.817654
