tstamp,mouse_x,mouse_y
1428450733602,0.330341,0.8223
1428450733703,0.332136,0.821138
1428450733794,0.333034,0.816492
1428450733874,0.334829,0.811847
1428450733971,0.33842,0.803717
1428450734066,0.349192,0.786295
1428450734163,0.375224,0.756098
1428450734274,0.431777,0.715447
1428450734370,0.505386,0.664344
1428450734467,0.575404,0.606272
1428450734566,0.63465,0.55633
1428450734658,0.681329,0.515679
1428450734739,0.705566,0.491289
1428450734804,0.726212,0.465738
1428450734898,0.751347,0.434379
1428450734996,0.768402,0.41115
1428450735106,0.778277,0.391405
1428450735202,0.783662,0.369338
1428450735299,0.787253,0.353078
1428450735395,0.788151,0.347271
1428450735506,0.783662,0.347271
1428450735604,0.776481,0.343786
1428450735698,0.771095,0.337979
1428450735796,0.772891,0.333333
1428450735894,0.775584,0.324042
1428450735970,0.773788,0.320558
1428450736066,0.770198,0.320558
1428450736164,0.768402,0.326365
1428450736257,0.768402,0.333333
1428450736338,0.768402,0.335656
1428450736437,0.767505,0.341463
1428450736531,0.760323,0.353078
1428450736597,0.743267,0.369338
1428450736693,0.692998,0.407665
1428450736770,0.649013,0.440186
1428450736868,0.579892,0.492451
1428450736964,0.513465,0.53194
1428450737058,0.453321,0.562137
1428450737171,0.396768,0.586527
1428450737265,0.349192,0.600465
1428450737330,0.324057,0.606272
1428450737427,0.298923,0.62137
1428450737526,0.280072,0.641115
1428450737601,0.268402,0.651568
1428450737698,0.250449,0.663182
1428450737796,0.231598,0.671312
1428450737890,0.219031,0.678281
1428450737954,0.211849,0.680604
1428450738034,0.209156,0.678281
1428450738131,0.209156,0.67712
1428450738227,0.212747,0.674797
1428450738323,0.221724,0.670151
1428450738412,0.232496,0.663182
1428450738499,0.247756,0.644599
1428450738564,0.262118,0.626016
1428450738658,0.302513,0.585366
1428450738753,0.377917,0.530778
1428450738835,0.43447,0.492451
1428450738930,0.512567,0.442509
1428450739027,0.583483,0.396051
1428450739123,0.636445,0.342625
1428450739186,0.659785,0.308943
1428450739266,0.675045,0.278746
1428450739364,0.682226,0.235772
1428450739458,0.681329,0.193961
1428450739554,0.682226,0.166086
1428450739636,0.687612,0.160279
1428450739729,0.692998,0.164925
1428450739800,0.692998,0.167247
1428450739892,0.689408,0.171893
1428450739985,0.68851,0.183508
1428450740066,0.692101,0.198606
1428450740164,0.704668,0.234611
1428450740261,0.731598,0.2741
1428450740354,0.770198,0.313589
1428450740418,0.793537,0.339141
1428450740499,0.809695,0.361208
1428450740594,0.819569,0.37863
1428450740691,0.813285,0.376307
1428450740788,0.798923,0.353078
1428450740866,0.788151,0.335656
1428450740963,0.776481,0.321719
1428450741028,0.771993,0.318235
1428450741122,0.770198,0.317073
1428450741220,0.771095,0.321719
1428450741301,0.770198,0.327526
1428450741405,0.764812,0.344948
1428450741491,0.748653,0.375145
1428450741589,0.723519,0.41928
1428450741701,0.691203,0.487805
1428450741796,0.654399,0.583043
1428450741890,0.614901,0.682927
1428450741986,0.573609,0.75842
1428450742099,0.532316,0.809524
1428450742195,0.492819,0.839721
1428450742290,0.459605,0.857143
1428450742355,0.447935,0.864111
1428450742450,0.441652,0.865273
1428450742531,0.441652,0.867596
1428450742630,0.439856,0.873403
1428450742722,0.440754,0.87921
1428450742818,0.445242,0.881533
1428450742937,0.449731,0.885017
1428450743027,0.452424,0.885017
1428450743122,0.451526,0.882695
1428450743220,0.447935,0.875726
1428450743330,0.438061,0.864111
1428450743428,0.414722,0.832753
1428450743526,0.384201,0.778165
1428450743618,0.35009,0.71777
1428450743715,0.309695,0.657375
1428450743797,0.287253,0.619048
1428450743891,0.259425,0.562137
1428450743987,0.233393,0.516841
1428450744083,0.209156,0.487805
1428450744166,0.197487,0.475029
1428450744233,0.191203,0.466899
1428450744325,0.192101,0.465738
1428450744419,0.195691,0.47619
1428450744516,0.194794,0.491289
