tstamp,mouse_x,mouse_y
1428451206546,0.543986,0.284553
1428451206644,0.544883,0.296167
1428451206754,0.544883,0.301974
1428451206849,0.543986,0.30662
1428451206947,0.5386,0.308943
1428451207042,0.520646,0.305459
1428451207153,0.495512,0.301974
1428451207251,0.473968,0.296167
1428451207345,0.456912,0.29036
1428451207443,0.438061,0.288037
1428451207541,0.423698,0.291521
1428451207618,0.41921,0.295006
1428451207714,0.417415,0.295006
1428451207812,0.421903,0.297329
1428451207905,0.426391,0.29849
1428451207993,0.429084,0.29849
1428451208085,0.427289,0.301974
1428451208165,0.422801,0.31475
1428451208244,0.412029,0.351916
1428451208341,0.396768,0.408827
1428451208418,0.387792,0.4518
1428451208513,0.377917,0.513357
1428451208579,0.37702,0.549361
1428451208674,0.377917,0.58072
1428451208769,0.37702,0.590012
1428451208850,0.375224,0.587689
1428451208945,0.368941,0.577236
1428451209042,0.356373,0.56446
1428451209139,0.342011,0.552846
1428451209217,0.337522,0.550523
1428451209334,0.33842,0.550523
1428451209412,0.342011,0.551684
1428451209506,0.347397,0.552846
1428451209618,0.361759,0.560976
1428451209716,0.382406,0.576074
1428451209778,0.398564,0.58885
1428451209875,0.424596,0.603949
1428451209972,0.453321,0.616725
1428451210050,0.471275,0.627178
1428451210147,0.490126,0.642276
1428451210243,0.500898,0.660859
1428451210337,0.502693,0.687573
1428451210452,0.501795,0.716609
1428451210549,0.5,0.739837
1428451210643,0.5,0.746806
1428451210740,0.500898,0.745645
1428451210834,0.503591,0.736353
1428451210914,0.507181,0.727062
1428451211011,0.508977,0.715447
