tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
741961947,0.802449,0.282472,0.804082,0.281211,1
741961980,0.803265,0.257251,0.804082,0.27995,1
741962013,0.804082,0.283733,0.803265,0.27995,1
741962048,0.806531,0.274905,0.804082,0.27995,1
741962080,0.813061,0.258512,0.804082,0.278689,1
741962114,0.808163,0.287516,0.804898,0.278689,1
741962147,0.724898,0.277427,0.8,0.278689,1
741962180,0.536327,0.249685,0.536327,0.249685,0
741962214,0.529796,0.229508,0.529796,0.229508,0
741962247,0.520816,0.252207,0.524898,0.240857,0
741962280,0.523265,0.253468,0.524898,0.244641,0
741962313,0.524082,0.252207,0.524082,0.247163,0
741962347,0.526531,0.267339,0.524898,0.250946,0
741962380,0.506122,0.248424,0.521633,0.250946,1
741962413,0.507755,0.273644,0.519184,0.253468,1
741962446,0.474286,0.266078,0.513469,0.25599,1
741962479,0.475918,0.272383,0.509388,0.257251,1
741962513,0.457143,0.271122,0.503673,0.259773,1
741962546,0.47102,0.276166,0.499592,0.261034,1
741962579,0.46449,0.269861,0.496327,0.262295,1
741962613,0.465306,0.27995,0.493061,0.263556,1
741962646,0.468571,0.284994,0.490612,0.266078,1
741962679,0.471837,0.290038,0.48898,0.267339,1
741962713,0.471837,0.303909,0.487347,0.271122,1
741962746,0.457143,0.287516,0.484082,0.272383,1
741962780,0.462041,0.271122,0.482449,0.272383,1
741962813,0.570612,0.360656,0.488163,0.278689,1
741962847,0.589388,0.379571,0.589388,0.379571,0
741962879,0.582041,0.364439,0.582041,0.364439,0
741962914,0.598367,0.361917,0.590204,0.363178,0
741962946,0.59102,0.356873,0.590204,0.360656,0
741962982,0.592653,0.374527,0.59102,0.364439,0
741963013,0.587755,0.3657,0.590204,0.364439,0
741963046,0.590204,0.358134,0.590204,0.363178,1
741963079,0.579592,0.384615,0.588571,0.366961,1
741963112,0.328163,0.283733,0.328163,0.283733,0
741963146,0.346122,0.276166,0.346122,0.276166,0
741963179,0.341224,0.297604,0.343673,0.286255,0
741963213,0.35102,0.281211,0.346122,0.284994,0
741963245,0.34449,0.267339,0.346122,0.281211,0
741963279,0.352653,0.269861,0.346939,0.278689,0
741963312,0.337143,0.2686,0.345306,0.276166,1
741963345,0.345306,0.283733,0.345306,0.277427,1
741963379,0.346122,0.291299,0.345306,0.27995,1
741963413,0.349388,0.291299,0.346122,0.281211,1
741963445,0.303673,0.27995,0.341224,0.281211,1
741963478,0.284082,0.291299,0.33551,0.281211,1
741963512,0.285714,0.287516,0.330612,0.282472,1
741963545,0.283265,0.286255,0.326531,0.282472,1
741963578,0.28898,0.287516,0.323265,0.283733,1
741963613,0.282449,0.296343,0.319184,0.283733,1
741963645,0.287347,0.273644,0.316735,0.283733,1
741963679,0.282449,0.286255,0.313469,0.283733,1
741963714,0.279184,0.274905,0.310204,0.283733,1
741963746,0.277551,0.295082,0.307755,0.283733,1
741963779,0.306122,0.301387,0.306939,0.284994,1
741963818,0.363265,0.261034,0.310204,0.283733,1
741963845,0.359184,0.264817,0.312653,0.282472,1
741963878,0.362449,0.296343,0.315918,0.283733,1
741963913,0.355102,0.272383,0.317551,0.282472,1
741963945,0.364082,0.263556,0.320816,0.281211,1
741963978,0.36898,0.27995,0.323265,0.281211,1
741964012,0.374694,0.276166,0.326531,0.281211,1
741964045,0.358367,0.296343,0.32898,0.281211,1
741964078,0.371429,0.288777,0.331429,0.282472,1
741964112,0.364082,0.288777,0.333878,0.282472,1
741964145,0.36,0.282472,0.336327,0.282472,1
741964178,0.362449,0.276166,0.338776,0.282472,1
