tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
742098406,0.253061,0.428752,0.248163,0.417402,1
742098439,0.24898,0.404792,0.24898,0.416141,1
742098472,0.24898,0.423707,0.24898,0.417402,1
742098506,0.251429,0.441362,0.249796,0.418663,1
742098538,0.250612,0.432535,0.249796,0.419924,1
742098571,0.250612,0.406053,0.249796,0.419924,1
742098607,0.258776,0.411097,0.250612,0.418663,1
742098638,0.253061,0.466583,0.251429,0.422446,1
742098671,0.257959,0.442623,0.251429,0.423707,1
742098705,0.377959,0.418663,0.377959,0.418663,0
742098738,0.577959,0.421185,0.577959,0.421185,0
742098772,0.587755,0.419924,0.582857,0.419924,0
742098805,0.591837,0.41488,0.585306,0.418663,0
742098838,0.601633,0.40227,0.589388,0.413619,0
742098871,0.588571,0.418663,0.589388,0.41488,0
742098905,0.586122,0.403531,0.586122,0.403531,0
742098937,0.597551,0.424968,0.597551,0.424968,0
742098971,0.599184,0.408575,0.598367,0.416141,0
742099005,0.58449,0.42623,0.593469,0.419924,0
742099038,0.581225,0.411097,0.590204,0.417402,0
742099071,0.598367,0.422446,0.591837,0.418663,0
742099105,0.590204,0.437579,0.591837,0.422446,1
742099137,0.589388,0.437579,0.59102,0.423707,1
742099171,0.398367,0.31652,0.398367,0.31652,0
742099204,0.373061,0.288777,0.373061,0.288777,0
742099237,0.363265,0.30517,0.368163,0.297604,0
742099271,0.366531,0.326608,0.368163,0.307692,0
742099304,0.369796,0.307692,0.368163,0.307692,0
742099337,0.355102,0.310214,0.365714,0.307692,0
742099372,0.275918,0.283733,0.350204,0.303909,1
742099405,0.289796,0.319042,0.341224,0.306431,1
742099437,0.294694,0.29256,0.334694,0.303909,1
742099470,0.29551,0.310214,0.329796,0.30517,1
742099504,0.299592,0.30517,0.326531,0.30517,1
742099537,0.293061,0.307692,0.322449,0.30517,1
742099570,0.28898,0.297604,0.319184,0.30517,1
742099604,0.29551,0.308953,0.316735,0.30517,1
742099637,0.294694,0.306431,0.314286,0.30517,1
742099670,0.285714,0.288777,0.311837,0.303909,1
742099703,0.296327,0.283733,0.310204,0.302648,1
742099737,0.285714,0.302648,0.307755,0.302648,1
742099771,0.287347,0.302648,0.305306,0.302648,1
742099804,0.284898,0.284994,0.303673,0.301387,1
742099837,0.284082,0.290038,0.302041,0.300126,1
742099872,0.274286,0.266078,0.299592,0.297604,1
742099903,0.289796,0.267339,0.298776,0.295082,1
742099937,0.288163,0.283733,0.297143,0.295082,1
742099971,0.273469,0.288777,0.29551,0.293821,1
742100003,0.293061,0.284994,0.294694,0.29256,1
742100037,0.282449,0.282472,0.292245,0.29256,1
742100070,0.296327,0.252207,0.291429,0.288777,1
742100105,0.286531,0.288777,0.289796,0.288777,1
