tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
314107284,0.520492,0.2,0.508197,0.198734,0
314107315,0.479508,0.181013,0.50082,0.194937,0
314107348,0.455738,0.168354,0.491803,0.188608,0
314107381,0.486885,0.175949,0.490984,0.187342,1
314107414,0.472131,0.177215,0.487705,0.18481,1
314107447,0.481148,0.188608,0.486885,0.186076,1
314107481,0.439344,0.177215,0.481148,0.18481,1
314107515,0.488525,0.196203,0.481967,0.186076,1
314107547,0.486885,0.194937,0.481967,0.186076,1
314107581,0.42623,0.264557,0.477049,0.193671,1
314107615,0.413934,0.21519,0.471311,0.196203,1
314107647,0.468852,0.203797,0.470492,0.196203,1
314107681,0.47541,0.201266,0.470492,0.197468,1
314107715,0.472951,0.231646,0.470492,0.2,1
314107747,0.471311,0.220253,0.470492,0.201266,1
314107780,0.463115,0.218987,0.469672,0.203797,1
314107814,0.467213,0.232911,0.468852,0.205063,1
314107847,0.478689,0.218987,0.469672,0.206329,1
314107881,0.468852,0.210127,0.469672,0.207595,1
314107915,0.471311,0.231646,0.469672,0.208861,1
314107947,0.468852,0.221519,0.468852,0.210127,1
314107981,0.456557,0.217722,0.468033,0.211392,1
314108016,0.57541,0.341772,0.47459,0.218987,1
314108047,0.57459,0.344304,0.480328,0.227848,1
314108081,0.588525,0.322785,0.487705,0.234177,1
314108118,0.578689,0.313924,0.493443,0.240506,1
314108147,0.578689,0.298734,0.49918,0.244304,1
314108180,0.581148,0.332911,0.504918,0.250633,1
314108215,0.579508,0.351899,0.510656,0.258228,1
314108247,0.562295,0.344304,0.515574,0.265823,1
314108280,0.592623,0.334177,0.521311,0.272152,1
314108314,0.579508,0.335443,0.52623,0.278481,1
314108347,0.577869,0.337975,0.531148,0.283544,1
314108380,0.569672,0.34557,0.535246,0.289873,1
314108414,0.567213,0.373418,0.539344,0.297468,1
314108447,0.581967,0.313924,0.543443,0.3,1
314108480,0.585246,0.327848,0.548361,0.303797,1
314108514,0.564754,0.364557,0.55082,0.310127,1
314108547,0.585246,0.316456,0.554918,0.312658,1
314108580,0.585246,0.341772,0.558197,0.31519,1
314108614,0.593443,0.321519,0.562295,0.317722,1
314108646,0.584426,0.321519,0.565574,0.320253,1
314108680,0.587705,0.305063,0.568033,0.320253,1
314108714,0.579508,0.370886,0.569672,0.325316,1
314108746,0.581967,0.341772,0.572131,0.326582,1
314108780,0.57623,0.364557,0.57377,0.33038,1
314108818,0.588525,0.360759,0.57541,0.332911,1
314108847,0.586885,0.33038,0.577049,0.334177,1
314108880,0.289344,0.236709,0.289344,0.236709,0
314108918,0.292623,0.26076,0.292623,0.26076,0
314108947,0.288525,0.237975,0.290984,0.249367,0
314108979,0.285246,0.240506,0.289344,0.24557,0
314109014,0.293443,0.243038,0.290164,0.24557,0
314109046,0.256557,0.274684,0.283607,0.251899,0
314109079,0.284426,0.258228,0.283607,0.253165,1
314109114,0.287705,0.241772,0.284426,0.250633,1
314109146,0.281148,0.243038,0.283607,0.250633,1
314109179,0.282787,0.240506,0.283607,0.249367,1
314109213,0.286885,0.241772,0.283607,0.248101,1
314109246,0.284426,0.241772,0.283607,0.246835,1
314109279,0.288525,0.235443,0.284426,0.246835,1
314109313,0.283607,0.232911,0.284426,0.24557,1
314109346,0.290164,0.234177,0.284426,0.244304,1
314109379,0.286066,0.224051,0.284426,0.241772,1
314109414,0.3,0.226582,0.286066,0.240506,1
314109446,0.266393,0.259494,0.284426,0.241772,1
314109479,0.266393,0.244304,0.283607,0.241772,1
