tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
741829053,0.449796,0.277427,0.453878,0.264817,1
741829086,0.449796,0.253468,0.453061,0.263556,1
741829120,0.449796,0.25599,0.453061,0.263556,1
741829153,0.449796,0.261034,0.453061,0.263556,1
741829186,0.44898,0.257251,0.452245,0.262295,1
741829220,0.452245,0.27995,0.452245,0.264817,1
741829253,0.555918,0.387137,0.555918,0.387137,0
741829286,0.571429,0.408575,0.571429,0.408575,0
741829320,0.573061,0.392182,0.572245,0.401009,0
741829353,0.581225,0.401009,0.57551,0.401009,0
741829386,0.582857,0.403531,0.577143,0.401009,0
741829420,0.576327,0.388398,0.577143,0.398487,0
741829453,0.56898,0.406053,0.57551,0.399748,1
741829487,0.580408,0.380832,0.576327,0.397226,1
741829519,0.573061,0.385876,0.57551,0.395965,1
741829553,0.586939,0.417402,0.577143,0.398487,1
741829586,0.358367,0.320303,0.358367,0.320303,0
741829620,0.288163,0.234552,0.288163,0.234552,0
741829653,0.277551,0.238335,0.282449,0.235813,0
741829686,0.275102,0.266078,0.28,0.245902,0
741829728,0.266122,0.248424,0.276735,0.247163,0
741829756,0.276735,0.269861,0.276735,0.252207,0
741829789,0.273469,0.2686,0.275918,0.254729,1
741829820,0.267755,0.2686,0.275102,0.257251,1
741829852,0.271837,0.254729,0.274286,0.25599,1
741829886,0.257959,0.245902,0.272653,0.25599,1
741829920,0.273469,0.25599,0.272653,0.25599,1
741829952,0.586939,0.258512,0.586939,0.258512,0
741829986,0.657959,0.272383,0.657959,0.272383,0
741830020,0.65551,0.269861,0.657143,0.271122,0
741830052,0.650612,0.254729,0.654694,0.266078,0
741830085,0.644898,0.254729,0.652245,0.263556,0
741830119,0.656327,0.238335,0.653061,0.258512,0
741830152,0.736327,0.240857,0.666939,0.254729,1
741830185,0.723265,0.263556,0.675918,0.25599,1
741830221,0.728163,0.247163,0.682449,0.254729,1
741830252,0.727347,0.261034,0.688163,0.25599,1
741830286,0.736327,0.237074,0.693878,0.253468,1
741830320,0.737959,0.247163,0.698776,0.252207,1
741830352,0.742857,0.242119,0.702857,0.252207,1
741830386,0.745306,0.23203,0.745306,0.23203,0
741830419,0.734694,0.278689,0.734694,0.278689,0
741830452,0.743673,0.254729,0.738775,0.266078,0
741830486,0.401633,0.24338,0.626122,0.258512,0
741830519,0.413061,0.254729,0.572245,0.257251,0
741830552,0.417959,0.235813,0.539592,0.253468,0
741830586,0.422041,0.245902,0.422041,0.245902,0
741830626,0.417959,0.247163,0.417959,0.247163,0
741830652,0.40898,0.247163,0.413878,0.247163,0
741830686,0.417143,0.226986,0.414694,0.240857,0
741830719,0.421224,0.262295,0.416327,0.245902,0
741830752,0.414694,0.248424,0.416327,0.245902,0
741830785,0.376327,0.288777,0.40898,0.253468,1
741830818,0.367347,0.259773,0.403265,0.254729,1
741830851,0.372245,0.252207,0.399184,0.254729,1
741830885,0.377959,0.272383,0.395918,0.257251,1
741830918,0.372245,0.266078,0.393469,0.257251,1
741830952,0.367347,0.266078,0.39102,0.258512,1
741830985,0.373061,0.272383,0.388571,0.259773,1
741831018,0.366531,0.253468,0.386939,0.259773,1
741831051,0.36898,0.277427,0.38449,0.261034,1
741831085,0.382857,0.281211,0.38449,0.262295,1
741831120,0.373878,0.267339,0.383673,0.263556,1
741831151,0.37551,0.277427,0.382857,0.264817,1
