tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
741757876,0.457959,0.2686,0.470204,0.274905,1
741757910,0.469388,0.297604,0.469388,0.276166,1
741757944,0.457143,0.297604,0.468571,0.277427,1
741757977,0.462857,0.254729,0.468571,0.276166,1
741758010,0.477551,0.261034,0.468571,0.276166,1
741758043,0.470204,0.253468,0.468571,0.273644,1
741758076,0.47102,0.261034,0.468571,0.273644,1
741758110,0.583673,0.380832,0.583673,0.380832,0
741758143,0.573061,0.366961,0.573061,0.366961,0
741758176,0.583673,0.368222,0.577959,0.368222,0
741758210,0.586122,0.382093,0.581225,0.372005,0
741758243,0.585306,0.377049,0.582041,0.373266,0
741758276,0.579592,0.380832,0.582041,0.375788,0
741758309,0.591837,0.373266,0.583673,0.374527,1
741758344,0.590204,0.356873,0.58449,0.372005,1
741758376,0.594286,0.370744,0.586122,0.372005,1
741758409,0.58449,0.373266,0.586122,0.372005,1
741758443,0.592653,0.377049,0.586122,0.372005,1
741758477,0.593469,0.37831,0.586939,0.373266,1
741758509,0.351837,0.290038,0.351837,0.290038,0
741758543,0.334694,0.284994,0.334694,0.284994,0
741758577,0.330612,0.281211,0.333061,0.282472,0
741758610,0.324898,0.274905,0.329796,0.27995,0
741758643,0.324082,0.264817,0.328163,0.276166,0
741758680,0.332245,0.261034,0.32898,0.273644,0
741758710,0.282449,0.263556,0.321633,0.271122,1
741758743,0.292245,0.277427,0.316735,0.272383,1
741758776,0.29551,0.263556,0.314286,0.271122,1
741758809,0.288163,0.235813,0.31102,0.267339,1
741758842,0.282449,0.248424,0.307755,0.264817,1
741758876,0.278367,0.245902,0.30449,0.262295,1
741758909,0.285714,0.272383,0.302857,0.263556,1
741758942,0.28898,0.263556,0.301224,0.263556,1
741758976,0.296327,0.248424,0.300408,0.262295,1
741759009,0.29551,0.254729,0.299592,0.261034,1
741759042,0.462041,0.306431,0.462041,0.306431,0
741759075,0.684898,0.504414,0.684898,0.504414,0
741759109,0.68898,0.508197,0.686531,0.506936,0
741759143,0.692245,0.489281,0.688163,0.50063,0
741759176,0.70449,0.505675,0.692245,0.501892,0
741759209,0.705306,0.514502,0.69551,0.504414,0
741759242,0.698776,0.501892,0.698776,0.501892,0
741759275,0.691429,0.513241,0.691429,0.513241,0
741759308,0.693878,0.520807,0.692245,0.517024,0
741759342,0.697959,0.504414,0.694694,0.513241,0
741759378,0.68898,0.504414,0.693061,0.510719,0
741759409,0.729796,0.514502,0.700408,0.51198,0
741759442,0.726531,0.523329,0.705306,0.513241,1
741759476,0.736327,0.522068,0.709388,0.514502,1
741759509,0.728163,0.538462,0.711837,0.518285,1
741759542,0.721633,0.527112,0.713469,0.519546,1
741759576,0.72898,0.52459,0.715102,0.519546,1
741759608,0.728163,0.540984,0.716735,0.522068,1
