tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
741723271,0.460408,0.290038,0.465306,0.272383,1
741723306,0.462857,0.278689,0.465306,0.273644,1
741723338,0.466122,0.267339,0.465306,0.273644,1
741723371,0.458776,0.262295,0.465306,0.272383,1
741723404,0.466939,0.267339,0.465306,0.272383,1
741723437,0.568163,0.383354,0.568163,0.383354,0
741723471,0.589388,0.358134,0.589388,0.358134,0
741723504,0.587755,0.390921,0.588571,0.374527,0
741723539,0.587755,0.368222,0.588571,0.373266,0
741723571,0.582857,0.366961,0.586939,0.370744,0
741723604,0.590204,0.384615,0.587755,0.374527,0
741723638,0.595918,0.373266,0.589388,0.373266,1
741723670,0.587755,0.388398,0.588571,0.375788,1
741723704,0.582041,0.364439,0.587755,0.374527,1
741723737,0.358367,0.324086,0.358367,0.324086,0
741723770,0.294694,0.286255,0.294694,0.286255,0
741723805,0.296327,0.288777,0.29551,0.287516,0
741723837,0.293878,0.277427,0.294694,0.284994,0
741723870,0.302857,0.266078,0.297143,0.27995,0
741723904,0.297959,0.286255,0.297143,0.281211,0
741723937,0.297143,0.287516,0.297143,0.282472,1
741723970,0.301224,0.286255,0.297959,0.282472,1
741724003,0.290612,0.297604,0.297143,0.284994,1
741724037,0.288163,0.287516,0.29551,0.284994,1
741724070,0.293878,0.290038,0.29551,0.286255,1
741724104,0.334694,0.303909,0.299592,0.287516,1
741724137,0.589388,0.261034,0.589388,0.261034,0
741724170,0.580408,0.274905,0.580408,0.274905,0
741724204,0.590204,0.261034,0.585306,0.267339,0
741724237,0.590204,0.284994,0.586939,0.273644,0
741724270,0.582041,0.261034,0.586122,0.269861,0
741724303,0.568163,0.269861,0.582041,0.269861,0
741724338,0.59102,0.277427,0.583673,0.271122,1
741724370,0.592653,0.286255,0.585306,0.273644,1
741724404,0.6,0.288777,0.586939,0.276166,1
741724437,0.645714,0.297604,0.594286,0.278689,1
741724470,0.638367,0.288777,0.599184,0.27995,1
741724504,0.643265,0.266078,0.603265,0.278689,1
741724536,0.611429,0.25599,0.604082,0.276166,1
741724570,0.562449,0.2686,0.600816,0.276166,1
741724603,0.561633,0.262295,0.598367,0.274905,1
741724636,0.563265,0.261034,0.595102,0.273644,1
741724670,0.565714,0.2686,0.593469,0.272383,1
741724703,0.559184,0.276166,0.59102,0.273644,1
741724736,0.546122,0.278689,0.587755,0.273644,1
741724769,0.55102,0.278689,0.58449,0.273644,1
741724803,0.564082,0.274905,0.582857,0.273644,1
741724837,0.556735,0.284994,0.581225,0.274905,1
741724869,0.558367,0.272383,0.578776,0.274905,1
741724905,0.557551,0.278689,0.577143,0.274905,1
741724936,0.556735,0.288777,0.57551,0.276166,1
741724969,0.569796,0.290038,0.574694,0.276166,1
