tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
314200407,0.454098,0.150633,0.438525,0.177215,1
314200441,0.440984,0.177215,0.438525,0.177215,1
314200474,0.441803,0.189873,0.439344,0.177215,1
314200508,0.436066,0.167089,0.438525,0.175949,1
314200541,0.441803,0.165823,0.439344,0.175949,1
314200574,0.422951,0.173418,0.437705,0.174684,1
314200607,0.405738,0.175949,0.436066,0.174684,1
314200641,0.431967,0.179747,0.435246,0.174684,1
314200674,0.433607,0.144304,0.435246,0.172152,1
314200707,0.438525,0.188608,0.435246,0.172152,1
314200741,0.412295,0.189873,0.433607,0.173418,1
314200774,0.440164,0.168354,0.433607,0.173418,1
314200807,0.411475,0.187342,0.432787,0.173418,1
314200841,0.388525,0.201266,0.429508,0.174684,1
314200874,0.418852,0.18481,0.428689,0.175949,1
314200907,0.445902,0.2,0.429508,0.177215,1
314200940,0.463115,0.183544,0.431148,0.177215,1
314200974,0.436066,0.227848,0.431148,0.181013,1
314201007,0.433607,0.202532,0.431148,0.182278,1
314201040,0.422131,0.2,0.431148,0.183544,1
314201074,0.438525,0.206329,0.431148,0.186076,1
314201107,0.516393,0.264557,0.436066,0.189873,1
314201140,0.540984,0.270886,0.441803,0.196203,1
314201175,0.581148,0.334177,0.581148,0.334177,0
314201207,0.572951,0.365823,0.572951,0.365823,0
314201242,0.564754,0.320253,0.568852,0.343038,0
314201274,0.557377,0.335443,0.564754,0.340506,0
314201307,0.559016,0.336709,0.563115,0.339241,0
314201340,0.57459,0.367089,0.565574,0.34557,0
314201373,0.547541,0.359494,0.562295,0.348101,1
314201406,0.562295,0.310127,0.562295,0.341772,1
314201440,0.579508,0.303797,0.564754,0.336709,1
314201473,0.587705,0.3,0.567213,0.332911,1
314201506,0.578689,0.382278,0.568852,0.337975,1
314201540,0.740984,0.173418,0.740984,0.173418,0
314201573,0.732787,0.196203,0.732787,0.196203,0
314201607,0.703279,0.2,0.718033,0.198734,0
314201640,0.697541,0.220253,0.711475,0.206329,0
314201673,0.734426,0.203797,0.717213,0.205063,0
314201706,0.710656,0.221519,0.715574,0.208861,0
314201740,0.735246,0.208861,0.718852,0.208861,1
314201773,0.727049,0.229114,0.720492,0.211392,1
314201806,0.735246,0.210127,0.722131,0.211392,1
314201840,0.730328,0.202532,0.722951,0.211392,1
314201873,0.735246,0.178481,0.72459,0.207595,1
314201906,0.542623,0.240506,0.542623,0.240506,0
314202139,0.213934,0.387342,0.213934,0.387342,0
