tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
314157309,0.2,0.197468,0.197541,0.208861,1
314157341,0.203279,0.188608,0.198361,0.207595,1
314157375,0.19918,0.186076,0.198361,0.206329,1
314157408,0.208197,0.205063,0.19918,0.206329,1
314157441,0.189344,0.191139,0.19918,0.205063,1
314157475,0.22541,0.208861,0.20082,0.205063,1
314157508,0.2,0.212658,0.20082,0.205063,1
314157541,0.213115,0.225316,0.201639,0.206329,1
314157674,0.181967,0.217722,0.19918,0.208861,1
314157708,0.17377,0.218987,0.198361,0.208861,1
314157741,0.178689,0.225316,0.196721,0.210127,1
314157774,0.182787,0.2,0.195902,0.210127,1
314157808,0.182787,0.237975,0.195082,0.211392,1
314157842,0.186885,0.205063,0.194262,0.211392,1
314157874,0.17377,0.220253,0.192623,0.212658,1
314157908,0.177869,0.207595,0.191803,0.212658,1
314157941,0.190164,0.202532,0.190984,0.212658,1
314157974,0.181148,0.232911,0.190164,0.213924,1
314158007,0.490984,0.443038,0.490984,0.443038,0
314158041,0.480328,0.41519,0.480328,0.41519,0
314158074,0.486066,0.44557,0.482787,0.43038,0
314158107,0.508197,0.417722,0.491803,0.426582,0
314158141,0.470492,0.43038,0.486066,0.426582,0
314158174,0.490164,0.45443,0.486885,0.432911,0
314158207,0.496721,0.446835,0.488525,0.435443,1
314158240,0.481148,0.463291,0.487705,0.439241,1
314158274,0.564754,0.383544,0.497541,0.432911,1
314158307,0.595902,0.426582,0.509016,0.431646,1
314158340,0.59918,0.387342,0.519672,0.426582,1
314158374,0.603279,0.408861,0.527869,0.425316,1
314158407,0.618033,0.394937,0.536885,0.421519,1
314158440,0.622951,0.401266,0.545082,0.420253,1
314158474,0.612295,0.460759,0.551639,0.422785,1
314158507,0.605738,0.367089,0.556557,0.418987,1
314158540,0.609836,0.443038,0.561475,0.420253,1
314158574,0.615574,0.367089,0.567213,0.416456,1
314158607,0.637705,0.348101,0.572951,0.411392,1
314158641,0.718033,0.232911,0.718033,0.232911,0
314158674,0.719672,0.226582,0.719672,0.226582,0
314158708,0.733607,0.239241,0.726229,0.232911,0
314158740,0.734426,0.258228,0.729508,0.241772,0
314158773,0.713115,0.239241,0.72541,0.240506,0
314158807,0.731148,0.239241,0.726229,0.240506,0
314158840,0.718852,0.237975,0.72541,0.240506,1
314158873,0.72377,0.217722,0.72541,0.236709,1
314158907,0.726229,0.226582,0.72541,0.235443,1
314158941,0.719672,0.259494,0.72459,0.237975,1
314158973,0.72541,0.224051,0.72459,0.236709,1
314159007,0.731967,0.235443,0.72541,0.236709,1
314159040,0.710656,0.235443,0.72377,0.236709,1
314159073,0.722951,0.264557,0.72377,0.239241,1
314159106,0.788525,0.277215,0.728689,0.241772,1
314159140,0.851639,0.394937,0.851639,0.394937,0
314159173,0.853279,0.392405,0.853279,0.392405,0
314159206,0.818852,0.337975,0.836066,0.364557,0
314159240,0.818033,0.337975,0.829508,0.355696,0
314159273,0.836885,0.372152,0.831148,0.359494,0
314159307,0.843443,0.364557,0.833607,0.360759,0
314159340,0.835246,0.375949,0.834426,0.363291,1
314159373,0.813115,0.358228,0.831148,0.363291,1
314159407,0.82541,0.386076,0.830328,0.365823,1
314159440,0.842623,0.36962,0.831967,0.365823,1
314159473,0.822131,0.308861,0.830328,0.360759,1
314159508,0.854098,0.41519,0.832787,0.365823,1
314159540,0.433607,0.278481,0.433607,0.278481,0
314159573,0.257377,0.243038,0.257377,0.243038,0
314159606,0.248361,0.237975,0.252459,0.240506,0
314159639,0.248361,0.263291,0.25082,0.248101,0
314159673,0.251639,0.241772,0.251639,0.246835,0
314159706,0.251639,0.253165,0.251639,0.248101,0
314159739,0.24918,0.249367,0.24918,0.249367,0
314159772,0.25082,0.303797,0.25082,0.303797,0
314159806,0.252459,0.259494,0.251639,0.281013,0
314159839,0.247541,0.301266,0.25,0.288608,0
314159872,0.245082,0.241772,0.24918,0.275949,0
314159906,0.244262,0.249367,0.247541,0.270886,0
314159939,0.241803,0.255696,0.246721,0.268354,1
314159972,0.247541,0.253165,0.246721,0.265823,1
314160007,0.244262,0.273418,0.246721,0.267089,1
314160039,0.25082,0.307595,0.246721,0.272152,1
314160072,0.253279,0.258228,0.247541,0.26962,1
314160106,0.241803,0.256962,0.246721,0.268354,1
314160139,0.238525,0.241772,0.245902,0.265823,1
314160172,0.244262,0.273418,0.245902,0.267089,1
314160206,0.235246,0.268354,0.245082,0.267089,1
314160239,0.244262,0.263291,0.245082,0.267089,1
