tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
742122685,0.226939,0.322825,0.219592,0.310214,1
742122718,0.22449,0.310214,0.219592,0.311475,1
742122751,0.218776,0.302648,0.219592,0.310214,1
742122785,0.22449,0.311475,0.219592,0.311475,1
742122820,0.204898,0.321564,0.218776,0.311475,1
742122851,0.204082,0.327869,0.217959,0.312736,1
742122886,0.225306,0.297604,0.218776,0.312736,1
742122920,0.20898,0.312736,0.217959,0.312736,1
742122952,0.593469,0.302648,0.593469,0.302648,0
742122985,0.782857,0.335435,0.782857,0.335435,0
742123018,0.795918,0.355612,0.789388,0.345523,0
742123051,0.803265,0.32913,0.794286,0.340479,0
742123085,0.786122,0.325347,0.791837,0.336696,0
742123118,0.785306,0.344262,0.790204,0.337957,0
742123151,0.804898,0.336696,0.804898,0.336696,0
742123185,0.805714,0.340479,0.805714,0.340479,0
742123219,0.803265,0.344262,0.804898,0.34174,0
742123251,0.806531,0.344262,0.804898,0.343001,0
742123284,0.777959,0.324086,0.798367,0.337957,0
742123318,0.797551,0.346784,0.798367,0.339218,0
742123351,0.804082,0.332913,0.799184,0.337957,1
742123384,0.800816,0.302648,0.799184,0.332913,1
742123418,0.795102,0.331652,0.798367,0.332913,1
742123451,0.613061,0.32913,0.613061,0.32913,0
742123484,0.401633,0.278689,0.401633,0.278689,0
742123517,0.405714,0.302648,0.404082,0.291299,0
742123552,0.414694,0.310214,0.407347,0.297604,0
742123586,0.400816,0.334174,0.405714,0.306431,0
742123619,0.411429,0.332913,0.407347,0.311475,0
742123655,0.404898,0.310214,0.404898,0.310214,0
742123685,0.413878,0.321564,0.413878,0.321564,0
742123721,0.404082,0.336696,0.40898,0.32913,0
742123752,0.38449,0.303909,0.400816,0.320303,0
742123785,0.378776,0.302648,0.395102,0.31652,0
742123819,0.382857,0.324086,0.392653,0.317781,0
742123854,0.380408,0.330391,0.390204,0.320303,1
742123885,0.372245,0.319042,0.387755,0.320303,1
742123918,0.377959,0.287516,0.386122,0.315259,1
742123951,0.614694,0.359395,0.614694,0.359395,0
742123985,0.811429,0.407314,0.811429,0.407314,0
742124019,0.827755,0.404792,0.819592,0.406053,0
742124051,0.814694,0.421185,0.817959,0.411097,0
742124085,0.822041,0.406053,0.818776,0.409836,0
742124125,0.817959,0.408575,0.818776,0.409836,0
742124152,0.81551,0.401009,0.81551,0.401009,0
742124185,0.81551,0.423707,0.81551,0.423707,0
742124218,0.813878,0.38966,0.814694,0.407314,0
742124251,0.823673,0.432535,0.817959,0.41488,0
742124284,0.854694,0.418663,0.826939,0.416141,0
742124318,0.861224,0.430013,0.834286,0.418663,0
742124351,0.850612,0.419924,0.836735,0.418663,1
742124384,0.580408,0.406053,0.580408,0.406053,0
742124419,0.363265,0.390921,0.363265,0.390921,0
742124451,0.36898,0.409836,0.366531,0.399748,0
742124485,0.347755,0.427491,0.36,0.409836,0
742124519,0.365714,0.441362,0.361633,0.417402,0
742124551,0.355918,0.447667,0.36,0.423707,0
742124584,0.345306,0.394704,0.345306,0.394704,0
742124618,0.357551,0.408575,0.357551,0.408575,0
742124651,0.36,0.412358,0.359184,0.409836,0
742124684,0.349388,0.406053,0.355918,0.408575,0
742124717,0.350204,0.41488,0.354286,0.409836,0
742124751,0.354286,0.424968,0.354286,0.413619,0
742124784,0.338776,0.404792,0.351837,0.412358,1
742124818,0.345306,0.408575,0.35102,0.411097,1
742124851,0.353469,0.416141,0.35102,0.412358,1
742124884,0.338776,0.427491,0.349388,0.413619,1
742124917,0.34449,0.427491,0.349388,0.41488,1
