tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
749218638,0.22887,0.478481,0.235518,0.524051,1
749218671,0.207977,0.487342,0.233618,0.521519,1
749218705,0.211776,0.487342,0.231719,0.518987,1
749218738,0.226021,0.482278,0.230769,0.516456,1
749218772,0.213675,0.498734,0.22887,0.51519,1
749218806,0.203229,0.478481,0.226971,0.512658,1
749218838,0.20133,0.491139,0.225071,0.510127,1
749218872,0.210826,0.501266,0.224122,0.508861,1
749218904,0.222222,0.498734,0.223172,0.507595,1
749218938,0.440646,0.510127,0.440646,0.510127,0
749218971,0.54321,0.481013,0.54321,0.481013,0
749219004,0.556505,0.489873,0.549858,0.486076,0
749219038,0.547009,0.511392,0.548908,0.493671,0
749219071,0.550807,0.488608,0.548908,0.492405,0
749219104,0.566002,0.497468,0.552707,0.493671,0
749219137,0.722697,0.51519,0.722697,0.51519,0
749219171,0.722697,0.517722,0.722697,0.517722,0
749219204,0.727445,0.525316,0.724596,0.521519,0
749219241,0.718898,0.544304,0.722697,0.529114,0
749219271,0.723647,0.516456,0.722697,0.525316,0
749219305,0.722697,0.53038,0.722697,0.526582,0
749219338,0.722697,0.507595,0.722697,0.524051,1
749219370,0.719848,0.508861,0.722697,0.521519,1
749219404,0.739791,0.534177,0.724596,0.522785,1
749219437,0.785375,0.537975,0.732194,0.525316,1
749219470,0.776828,0.550633,0.736942,0.527848,1
749219504,0.790123,0.548101,0.74264,0.529114,1
749219537,0.779677,0.553165,0.746439,0.531646,1
749219572,0.788224,0.553165,0.750237,0.534177,1
749219605,0.789174,0.570886,0.754036,0.536709,1
749219639,0.785375,0.568354,0.756885,0.53924,1
749219671,0.790123,0.560759,0.759734,0.541772,1
749219704,0.80057,0.558228,0.763533,0.543038,1
749219737,0.789174,0.532911,0.765432,0.543038,1
749219770,0.785375,0.540506,0.767331,0.543038,1
749219804,0.794872,0.548101,0.77018,0.543038,1
749219837,0.784425,0.543038,0.77208,0.544304,1
749219870,0.783476,0.555696,0.773029,0.544304,1
749219903,0.815764,0.548101,0.776828,0.54557,1
749219937,0.83001,0.532911,0.780627,0.544304,1
749219970,0.823362,0.536709,0.783476,0.544304,1
749220004,0.840456,0.549367,0.788224,0.54557,1
749220037,0.838557,0.551899,0.792972,0.54557,1
749220070,0.823362,0.551899,0.796771,0.546835,1
749220103,0.830959,0.541772,0.80057,0.546835,1
749220137,0.82811,0.55443,0.804368,0.546835,1
749220170,0.815764,0.532911,0.806268,0.546835,1
749220203,0.812916,0.540506,0.808167,0.546835,1
749220237,0.825261,0.544304,0.811016,0.546835,1
749220270,0.816714,0.541772,0.811966,0.546835,1
749220303,0.822412,0.535443,0.813865,0.54557,1
749220339,0.813865,0.551899,0.813865,0.54557,1
749220371,0.807217,0.53924,0.814815,0.54557,1
749220404,0.815764,0.53038,0.814815,0.544304,1
749220437,0.814815,0.540506,0.815764,0.543038,1
749220470,0.822412,0.54557,0.816714,0.543038,1
749220503,0.818613,0.559494,0.817664,0.544304,1
749220536,0.888889,0.548101,0.821463,0.544304,1
749220669,0.860399,0.577215,0.832859,0.551899,1
749220903,0.871795,0.570886,0.847104,0.564557,1
749220936,0.863248,0.559494,0.849003,0.564557,1
