tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
741567295,0.357551,0.261034,0.370612,0.25599,1
741567329,0.380408,0.264817,0.371429,0.257251,1
741567362,0.368163,0.266078,0.371429,0.258512,1
741567395,0.371429,0.282472,0.370612,0.259773,1
741567428,0.373878,0.272383,0.371429,0.261034,1
741567462,0.370612,0.276166,0.371429,0.262295,1
741567495,0.368163,0.262295,0.370612,0.262295,1
741567530,0.368163,0.259773,0.370612,0.262295,1
741567563,0.372245,0.276166,0.370612,0.263556,1
741567596,0.378776,0.264817,0.371429,0.264817,1
741567628,0.374694,0.264817,0.371429,0.264817,1
741567661,0.296327,0.244641,0.367347,0.263556,1
741567695,0.29551,0.262295,0.362449,0.263556,1
741567728,0.302041,0.264817,0.358367,0.263556,1
741567761,0.297959,0.263556,0.354286,0.263556,1
741567795,0.293878,0.266078,0.350204,0.263556,1
741567828,0.303673,0.273644,0.346122,0.264817,1
741567862,0.29551,0.277427,0.342041,0.266078,1
741567895,0.287347,0.274905,0.337143,0.266078,1
741567928,0.29551,0.282472,0.333061,0.267339,1
741567961,0.297143,0.272383,0.329796,0.267339,1
741567994,0.303673,0.264817,0.326531,0.267339,1
741568028,0.291429,0.271122,0.323265,0.2686,1
741568061,0.297959,0.278689,0.32,0.269861,1
741568094,0.293878,0.272383,0.316735,0.269861,1
741568128,0.299592,0.261034,0.314286,0.2686,1
741568161,0.830204,0.276166,0.830204,0.276166,0
741568194,0.893878,0.273644,0.893878,0.273644,0
741568231,0.892245,0.261034,0.893061,0.267339,0
741568263,0.898776,0.276166,0.894694,0.269861,0
741568296,0.896327,0.277427,0.89551,0.272383,0
741568330,0.901224,0.291299,0.896327,0.276166,0
741568361,0.901224,0.257251,0.897143,0.272383,1
741568395,0.901224,0.267339,0.897959,0.272383,1
741568427,0.892245,0.266078,0.897143,0.271122,1
741568461,0.903673,0.277427,0.897959,0.272383,1
741568494,0.917551,0.257251,0.900408,0.271122,1
741568527,0.899592,0.249685,0.900408,0.2686,1
741568561,0.897959,0.269861,0.899592,0.2686,1
741568594,0.902041,0.267339,0.900408,0.2686,1
741568627,0.907755,0.253468,0.901224,0.267339,1
741568660,0.884898,0.267339,0.899592,0.267339,1
741568695,0.830204,0.272383,0.894694,0.267339,1
741568727,0.829388,0.259773,0.889796,0.267339,1
741568761,0.83102,0.25599,0.884898,0.266078,1
741568795,0.826122,0.24338,0.880816,0.264817,1
741568827,0.820408,0.262295,0.875918,0.263556,1
741568860,0.825306,0.281211,0.872653,0.264817,1
741568894,0.826122,0.249685,0.868571,0.263556,1
741568927,0.811429,0.25599,0.86449,0.263556,1
741568960,0.820408,0.244641,0.860408,0.262295,1
741568993,0.582857,0.249685,0.582857,0.249685,0
741569027,0.500408,0.249685,0.500408,0.249685,0
741569060,0.51102,0.238335,0.505306,0.24338,0
741569094,0.501225,0.249685,0.50449,0.245902,0
741569128,0.49551,0.262295,0.502041,0.249685,0
741569160,0.493878,0.258512,0.500408,0.252207,0
741569194,0.493061,0.266078,0.498776,0.254729,1
741569227,0.456327,0.261034,0.493061,0.254729,1
741569260,0.457143,0.238335,0.488163,0.253468,1
741569295,0.451429,0.23203,0.483265,0.250946,1
741569327,0.387755,0.235813,0.472653,0.248424,1
741569360,0.359184,0.269861,0.359184,0.269861,0
741569393,0.362449,0.234552,0.362449,0.234552,0
741569427,0.35102,0.253468,0.356735,0.244641,0
741569460,0.354286,0.249685,0.355918,0.245902,0
741569494,0.347755,0.269861,0.353469,0.252207,0
741569526,0.360816,0.269861,0.355102,0.25599,0
741569560,0.371429,0.269861,0.357551,0.258512,1
741569594,0.368163,0.249685,0.359184,0.257251,1
741569626,0.383673,0.261034,0.362449,0.257251,1
741569660,0.382041,0.266078,0.364898,0.258512,1
741569693,0.380408,0.252207,0.366531,0.258512,1
741569726,0.36898,0.239596,0.367347,0.25599,1
741569760,0.381224,0.261034,0.36898,0.257251,1
741569794,0.456327,0.258512,0.376327,0.257251,1
741569826,0.461224,0.264817,0.383673,0.257251,1
741569860,0.474286,0.277427,0.39102,0.258512,1
741569896,0.463673,0.278689,0.397551,0.261034,1
741569927,0.461224,0.278689,0.402449,0.262295,1
741569960,0.475102,0.262295,0.40898,0.262295,1
741569993,0.462041,0.259773,0.413061,0.262295,1
741570027,0.457143,0.262295,0.417143,0.262295,1
741570059,0.468571,0.276166,0.422041,0.263556,1
741570093,0.463673,0.274905,0.425306,0.263556,1
741570126,0.459592,0.277427,0.428571,0.264817,1
741570159,0.451429,0.264817,0.43102,0.264817,1
741570193,0.48,0.264817,0.435102,0.264817,1
741570227,0.478367,0.282472,0.44,0.267339,1
