tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
313818693,0.459016,0.253165,0.463934,0.26076,1
313818711,0.468852,0.278481,0.463115,0.262025,1
313818744,0.465574,0.26962,0.462295,0.262025,1
313818778,0.461475,0.270886,0.462295,0.262025,1
313818811,0.467213,0.275949,0.462295,0.262025,1
313818844,0.463934,0.26962,0.462295,0.262025,1
313818878,0.446721,0.239241,0.460656,0.26076,1
313818911,0.464754,0.234177,0.460656,0.259494,1
313818944,0.436066,0.258228,0.459016,0.258228,1
313818978,0.454098,0.277215,0.459016,0.259494,1
313819011,0.472131,0.236709,0.459836,0.258228,1
313819044,0.453279,0.277215,0.459016,0.259494,1
313819077,0.464754,0.305063,0.459016,0.262025,1
313819112,0.457377,0.3,0.459016,0.263291,1
313819144,0.455738,0.277215,0.459016,0.264557,1
313819178,0.566393,0.392405,0.464754,0.272152,1
313819212,0.581967,0.396203,0.581967,0.396203,0
313819244,0.584426,0.405063,0.584426,0.405063,0
313819278,0.579508,0.372152,0.581967,0.388608,0
313819312,0.57541,0.375949,0.580328,0.383544,0
313819344,0.581148,0.379747,0.580328,0.382278,0
313819377,0.577049,0.383544,0.579508,0.382278,0
313819411,0.568033,0.375949,0.577869,0.382278,1
313819444,0.57377,0.356962,0.577049,0.378481,1
313819477,0.554918,0.383544,0.57459,0.378481,1
313819511,0.108197,0.317722,0.108197,0.317722,0
313819544,0.129508,0.340506,0.129508,0.340506,0
313819744,0.144262,0.378481,0.137705,0.389873,1
313819777,0.143443,0.367089,0.138525,0.387342,1
313819811,0.148361,0.356962,0.140164,0.383544,1
313819844,0.146721,0.367089,0.140164,0.382278,1
313819877,0.144262,0.372152,0.140984,0.381013,1
313819910,0.142623,0.360759,0.140984,0.378481,1
313819943,0.17459,0.360759,0.144262,0.377215,1
313819977,0.431967,0.213924,0.431967,0.213924,0
313820012,0.428689,0.236709,0.428689,0.236709,0
313820044,0.447541,0.221519,0.437705,0.229114,0
313820151,0.440984,0.249367,0.436885,0.278481,0
313820176,0.440984,0.241772,0.437705,0.272152,1
313820211,0.440984,0.224051,0.438525,0.264557,1
313820243,0.435246,0.272152,0.437705,0.265823,1
313820276,0.42541,0.248101,0.436066,0.263291,1
313820311,0.439344,0.237975,0.436885,0.26076,1
313820343,0.445902,0.248101,0.437705,0.259494,1
313820376,0.431967,0.249367,0.436885,0.258228,1
313820411,0.431967,0.210127,0.436885,0.25443,1
