tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
317838999,0.0844262,0.429114,0.0795082,0.440506,0
317839011,0.0778688,0.429114,0.0795082,0.437975,0
317839045,0.0704918,0.440506,0.0778688,0.437975,1
317839078,0.0737705,0.46962,0.0770492,0.443038,1
317839112,0.0713115,0.449367,0.0762295,0.444304,1
317839145,0.0852459,0.436709,0.0770492,0.443038,1
317839178,0.0540984,0.45443,0.0745902,0.444304,1
317839211,0.0713115,0.429114,0.0745902,0.443038,1
317839246,0.0442623,0.431646,0.0713115,0.441772,1
317839278,0.0909836,0.456962,0.0729508,0.443038,1
317839312,0.0745902,0.440506,0.0729508,0.443038,1
317839346,0.0688525,0.424051,0.0729508,0.441772,1
317839378,0.109016,0.403797,0.0754098,0.439241,1
317839411,0.115574,0.331646,0.0786885,0.43038,1
317839446,0.118033,0.321519,0.0811475,0.422785,1
317839477,0.119672,0.313924,0.0844262,0.41519,1
317839511,0.095082,0.356962,0.0852459,0.410127,1
317839545,0.104918,0.33038,0.0868852,0.403797,1
317839577,0.182787,0.28481,0.0934426,0.394937,1
317839611,0.14918,0.320253,0.097541,0.389873,1
317839645,0.155738,0.296203,0.101639,0.382278,1
317839677,0.15,0.324051,0.104918,0.377215,1
317839711,0.17623,0.296203,0.110656,0.370886,1
317839745,0.154918,0.318987,0.113934,0.365823,1
317839777,0.160656,0.310127,0.118033,0.360759,1
317839812,0.161475,0.306329,0.121311,0.355696,1
317839845,0.468033,0.351899,0.468033,0.351899,0
317839877,0.570492,0.372152,0.570492,0.372152,0
317839911,0.572131,0.397468,0.571311,0.38481,0
317839944,0.543443,0.378481,0.561475,0.382278,0
317839977,0.527869,0.410127,0.553279,0.389873,0
317840010,0.533607,0.367089,0.54918,0.38481,0
317840045,0.513934,0.386076,0.542623,0.38481,1
317840077,0.509836,0.407595,0.537705,0.388608,1
317840111,0.62541,0.44557,0.54918,0.396203,1
317840144,0.627049,0.388608,0.558197,0.394937,1
317840177,0.611475,0.440506,0.563934,0.4,1
317840210,0.622131,0.432911,0.570492,0.403797,1
317840244,0.593443,0.43038,0.572951,0.406329,1
317840277,0.62623,0.408861,0.577869,0.406329,1
317840310,0.596721,0.408861,0.579508,0.407595,1
317840344,0.628689,0.397468,0.584426,0.406329,1
317840377,0.807377,0.292405,0.807377,0.292405,0
317840410,0.783607,0.239241,0.783607,0.239241,0
317840444,0.789344,0.274684,0.786885,0.256962,0
317840477,0.777869,0.293671,0.783607,0.26962,0
317840510,0.757377,0.263291,0.777049,0.268354,0
317840544,0.768852,0.297468,0.77541,0.273418,0
317840577,0.768852,0.281013,0.77459,0.274684,1
317840610,0.797541,0.277215,0.777869,0.275949,1
317840643,0.77541,0.250633,0.777049,0.272152,1
317840677,0.801639,0.239241,0.780328,0.268354,1
317840710,0.795902,0.256962,0.781967,0.267089,1
317840743,0.794262,0.206329,0.783607,0.26076,1
317840776,0.780328,0.231646,0.782787,0.258228,1
317840810,0.811475,0.244304,0.785246,0.256962,1
317840846,0.790164,0.236709,0.786066,0.25443,1
317840877,0.889344,0.391139,0.794262,0.264557,1
317840910,0.836066,0.394937,0.797541,0.274684,1
317840944,0.851639,0.364557,0.802459,0.282278,1
317840976,0.855738,0.393671,0.806557,0.289873,1
317841010,0.872951,0.372152,0.811475,0.296203,1
317841043,0.872131,0.374684,0.816393,0.302532,1
317841076,0.869672,0.373418,0.820492,0.307595,1
317841110,0.877049,0.4,0.82541,0.31519,1
317841143,0.858197,0.34557,0.827869,0.318987,1
317841176,0.853279,0.356962,0.831148,0.322785,1
317841209,0.854918,0.383544,0.833607,0.327848,1
317841243,0.872951,0.374684,0.836885,0.331646,1
317841276,0.855738,0.362025,0.838525,0.334177,1
317841309,0.546721,0.420253,0.546721,0.420253,0
317841343,0.197541,0.291139,0.197541,0.291139,0
317841376,0.214754,0.334177,0.205738,0.312658,0
317841409,0.189344,0.310127,0.20082,0.311392,0
317841442,0.211475,0.303797,0.203279,0.310127,0
317841476,0.187705,0.277215,0.2,0.303797,0
317841509,0.196721,0.3,0.196721,0.3,0
317841542,0.192623,0.306329,0.192623,0.306329,0
317841576,0.187705,0.296203,0.190164,0.301266,0
317841609,0.198361,0.296203,0.192623,0.298734,0
317841643,0.219672,0.296203,0.19918,0.298734,0
317841676,0.181148,0.301266,0.195902,0.298734,0
317841709,0.202459,0.277215,0.196721,0.294937,1
317841743,0.190984,0.306329,0.195902,0.297468,1
317841776,0.185246,0.278481,0.194262,0.294937,1
317841809,0.222131,0.26076,0.197541,0.291139,1
317841842,0.25,0.243038,0.203279,0.28481,1
317841876,0.241803,0.318987,0.207377,0.288608,1
317841909,0.251639,0.288608,0.211475,0.288608,1
317841942,0.22623,0.272152,0.213115,0.287342,1
317841975,0.252459,0.265823,0.217213,0.28481,1
317842009,0.259016,0.263291,0.220492,0.283544,1
