tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533050996,0.518851,0.687573,0.456014,0.62137,1
533051029,0.509874,0.662021,0.463196,0.627178,1
533051063,0.489228,0.678281,0.466786,0.632985,1
533051096,0.495512,0.706156,0.470377,0.641115,1
533051129,0.509874,0.645761,0.473968,0.642276,1
533051163,0.525135,0.609756,0.479354,0.639954,1
533051196,0.51167,0.593496,0.482944,0.636469,1
533051229,0.520646,0.603949,0.486535,0.634146,1
533051263,0.543986,0.620209,0.491023,0.632985,1
533051296,0.517056,0.60511,0.493716,0.630662,1
533051329,0.508977,0.619048,0.495512,0.629501,1
533051362,0.518851,0.607433,0.497307,0.628339,1
533051396,0.512567,0.594657,0.499102,0.626016,1
533051429,0.512567,0.615563,0.500898,0.624855,1
533051463,0.533214,0.591173,0.503591,0.622532,1
533051496,0.514363,0.610918,0.504488,0.62137,1
533051529,0.556553,0.56446,0.508977,0.617886,1
533051563,0.558348,0.608595,0.512567,0.616725,1
533051596,0.548474,0.571429,0.51526,0.61324,1
533051629,0.544883,0.574913,0.518851,0.610918,1
533051662,0.554758,0.566783,0.522442,0.607433,1
533051696,0.556553,0.573751,0.526032,0.60511,1
533051729,0.564632,0.565621,0.529623,0.601626,1
533051762,0.566427,0.586527,0.534111,0.599303,1
533051795,0.556553,0.571429,0.536804,0.59698,1
533051829,0.582585,0.573751,0.540395,0.593496,1
533051862,0.640934,0.56446,0.640934,0.56446,0
533051895,0.660682,0.61324,0.660682,0.61324,0
533051929,0.636445,0.615563,0.649013,0.614402,0
533051962,0.643627,0.592335,0.647217,0.606272,0
533051995,0.649013,0.598142,0.647217,0.60511,0
533052029,0.582585,0.555168,0.63465,0.594657,0
533052062,0.576302,0.562137,0.623878,0.58885,1
533052095,0.583483,0.57259,0.617594,0.586527,1
533052129,0.59246,0.549361,0.614004,0.581882,1
533052162,0.566427,0.576074,0.608618,0.58072,1
533052195,0.584381,0.535424,0.605925,0.576074,1
533052228,0.58079,0.541231,0.602334,0.571429,1
533052262,0.606822,0.566783,0.602334,0.571429,1
533052295,0.585278,0.530778,0.600539,0.566783,1
533052328,0.578097,0.341463,0.578097,0.341463,0
533052495,0.459605,0.32288,0.548474,0.324042,0
533052529,0.391382,0.321719,0.391382,0.321719,0
533052561,0.397666,0.325203,0.397666,0.325203,0
533052595,0.394075,0.317073,0.395871,0.320558,0
533052628,0.406643,0.326365,0.399461,0.32288,0
533052661,0.415619,0.229965,0.403052,0.299652,0
533052695,0.443447,0.210221,0.412029,0.281069,0
533052728,0.443447,0.218351,0.417415,0.270616,1
533052761,0.447038,0.218351,0.421903,0.262485,1
533052795,0.447935,0.205575,0.425494,0.254355,1
533052828,0.431777,0.200929,0.426391,0.247387,1
533052861,0.437163,0.218351,0.427289,0.243902,1
533052894,0.431777,0.255517,0.428187,0.245064,1
533052928,0.436266,0.219512,0.429084,0.24158,1
533052961,0.441652,0.235772,0.43088,0.240418,1
533052994,0.453321,0.196283,0.432675,0.236934,1
533053028,0.448833,0.200929,0.43447,0.233449,1
533053061,0.453321,0.221835,0.435368,0.232288,1
533053094,0.47307,0.214866,0.438959,0.229965,1
533053128,0.454219,0.216028,0.439856,0.228804,1
533053161,0.456912,-0.0766551,0.456912,-0.0766551,0
533053194,0.485637,-0.160279,0.485637,-0.160279,0
533053228,0.482047,-0.15331,0.483842,-0.155633,0
533053261,0.482047,-0.147503,0.482944,-0.15331,0
