tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533329208,0.399461,0.4518,0.418312,0.439024,1
533329242,0.41921,0.471545,0.417415,0.441347,1
533329275,0.416517,0.465738,0.417415,0.444832,1
533329309,0.40395,0.469222,0.416517,0.448316,1
533329342,0.412029,0.475029,0.415619,0.4518,1
533329375,0.394075,0.469222,0.413824,0.454123,1
533329411,0.410233,0.447154,0.413824,0.455285,1
533329442,0.417415,0.464576,0.413824,0.457607,1
533329475,0.428187,0.429733,0.414722,0.456446,1
533329508,0.750449,0.382114,0.750449,0.382114,0
533329542,0.740574,0.384437,0.740574,0.384437,0
533329575,0.758528,0.347271,0.749551,0.365854,0
533329608,0.7307,0.353078,0.743267,0.361208,0
533329642,0.741472,0.367015,0.743267,0.362369,0
533329675,0.75404,0.356562,0.745063,0.361208,0
533329708,0.807899,0.349593,0.755835,0.360046,1
533329741,0.805206,0.361208,0.763016,0.360046,1
533329775,0.813285,0.350755,0.770198,0.358885,1
533329808,0.808797,0.340302,0.774686,0.356562,1
533329841,0.708259,0.343786,0.768402,0.355401,1
533329875,0.689408,0.351916,0.760323,0.354239,1
533329908,0.705566,0.353078,0.754937,0.354239,1
533329941,0.710952,0.346109,0.751347,0.353078,1
533329974,0.690305,0.343786,0.74596,0.353078,1
533330008,0.695691,0.347271,0.741472,0.351916,1
533330041,0.625673,0.344948,0.625673,0.344948,0
533330074,0.666068,0.346109,0.666068,0.346109,0
533330108,0.640036,0.348432,0.653501,0.347271,0
533330141,0.637343,0.367015,0.648115,0.354239,0
533330176,0.638241,0.376307,0.645422,0.360046,0
533330208,0.643627,0.363531,0.645422,0.360046,0
533330241,0.43447,0.343786,0.43447,0.343786,0
533330274,0.450628,0.343786,0.450628,0.343786,0
533330308,0.450628,0.335656,0.450628,0.340302,0
533330341,0.454219,0.357724,0.451526,0.346109,0
533330374,0.447038,0.376307,0.450628,0.354239,0
533330407,0.44614,0.349593,0.449731,0.353078,0
533330507,0.363555,0.363531,0.421005,0.351916,1
533330541,0.367145,0.37863,0.414722,0.354239,1
533330574,0.369838,0.380952,0.409336,0.357724,1
533330607,0.362657,0.355401,0.40395,0.357724,1
533330641,0.37702,0.371661,0.401257,0.358885,1
533330674,0.358169,0.346109,0.396768,0.357724,1
533330707,0.361759,0.361208,0.393178,0.357724,1
533330741,0.371634,0.364692,0.391382,0.358885,1
533330774,0.368043,0.379791,0.388689,0.360046,1
533330807,0.373429,0.37863,0.386894,0.362369,1
533330840,0.366248,0.384437,0.385099,0.363531,1
533330874,0.346499,0.269454,0.381508,0.357724,1
533330907,0.399461,0.00696864,0.399461,0.00696864,0
533330941,0.396768,-0.0162602,0.396768,-0.0162602,0
533330976,0.398564,-0.0058072,0.397666,-0.010453,0
533331007,0.406643,-0.00929152,0.400359,-0.010453,0
533331040,0.394075,-0.0255517,0.399461,-0.0139373,0
533331074,0.399461,-0.0267131,0.399461,-0.0162602,0
533331107,0.406643,-0.0150987,0.400359,-0.0162602,1
533331140,0.385099,-0.0058072,0.398564,-0.0150987,1
533331173,0.438061,-0.0720093,0.403052,-0.0220674,1
533331207,0.412926,-0.0650406,0.404847,-0.0278746,1
533331240,0.439856,-0.0720093,0.408438,-0.0325203,1
