tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533305860,0.660682,0.357724,0.660682,0.357724,0
533305893,0.684022,0.343786,0.672352,0.350755,0
533305926,0.685817,0.380952,0.67684,0.361208,0
533305960,0.679533,0.364692,0.677738,0.362369,0
533305993,0.680431,0.369338,0.677738,0.363531,0
533306026,0.598743,0.370499,0.664273,0.364692,1
533306060,0.271993,0.497096,0.271993,0.497096,0
533306093,0.280969,0.486643,0.280969,0.486643,0
533306126,0.261221,0.505226,0.271095,0.495935,0
533306159,0.2693,0.521487,0.270197,0.504065,0
533306193,0.2693,0.504065,0.270197,0.504065,0
533306226,0.280969,0.511034,0.27289,0.505226,0
533306259,0.285458,0.504065,0.274686,0.505226,1
533306293,0.2307,0.504065,0.268402,0.505226,1
533306326,0.231598,0.472706,0.263016,0.500581,1
533306359,0.226212,0.492451,0.258528,0.499419,1
533306393,0.223519,0.472706,0.254937,0.497096,1
533306426,0.2307,0.488966,0.252244,0.495935,1
533306460,0.229803,0.480836,0.249551,0.494774,1
533306493,0.246858,0.488966,0.249551,0.493612,1
533306526,0.233393,0.481998,0.247756,0.492451,1
533306562,0.250449,0.473868,0.247756,0.491289,1
533306592,0.250449,0.493612,0.247756,0.491289,1
533306626,0.234291,0.486643,0.246858,0.490128,1
533306659,0.232496,0.475029,0.245063,0.488966,1
533306692,0.275583,0.276423,0.275583,0.276423,0
533306726,0.394973,0.0267131,0.394973,0.0267131,0
