tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533780417,0.557451,0.0638792,0.544883,0.0731707,1
533780450,0.551167,0.0569106,0.545781,0.0708479,1
533780483,0.545781,0.0511034,0.545781,0.068525,1
533780517,0.533214,0.0336818,0.544883,0.0650406,1
533780550,0.546679,0.047619,0.544883,0.0638792,1
533780583,0.5386,0.0487805,0.543986,0.0615563,1
533780617,0.554758,0.0511034,0.544883,0.0615563,1
533780650,0.543088,0.0464576,0.544883,0.0592334,1
533780683,0.605027,0.217189,0.605027,0.217189,0
533780717,0.629264,0.670151,0.629264,0.670151,0
533780750,0.614901,0.796748,0.622083,0.73403,0
533780783,0.606822,0.749129,0.616697,0.738676,0
533780816,0.618492,0.779326,0.616697,0.749129,0
533780850,0.614901,0.771196,0.616697,0.753775,0
533780883,0.609515,0.796748,0.609515,0.796748,0
533780916,0.628366,0.788618,0.628366,0.788618,0
533780950,0.622083,0.796748,0.625673,0.792102,0
533780983,0.615799,0.781649,0.622083,0.788618,0
533781016,0.620287,0.785134,0.622083,0.787456,0
533781050,0.59605,0.815331,0.616697,0.793264,0
533781084,0.615799,0.799071,0.616697,0.794425,1
533781118,0.614004,0.817654,0.615799,0.797909,1
533781150,0.617594,0.792102,0.615799,0.796748,1
533781183,0.617594,0.810685,0.616697,0.799071,1
533781216,0.625673,0.761905,0.617594,0.794425,1
533781249,0.623878,0.722416,0.617594,0.787456,1
533781283,0.603232,0.792102,0.616697,0.788618,1
533781316,0.605027,0.785134,0.615799,0.787456,1
533781349,0.621185,0.662021,0.615799,0.777003,1
533781383,0.613106,0.0824623,0.613106,0.0824623,0
533781416,0.602334,-0.0499419,0.602334,-0.0499419,0
533781449,0.536804,-0.0638792,0.570018,-0.0569106,0
