tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533626139,0.821364,0.355401,0.827648,0.365854,0
533626172,0.822262,0.362369,0.825853,0.364692,0
533626206,0.840215,0.389082,0.829443,0.370499,0
533626239,0.824955,0.354239,0.828546,0.367015,0
533626272,0.815081,0.363531,0.82675,0.367015,1
533626306,0.821364,0.371661,0.825853,0.367015,1
533626339,0.815081,0.365854,0.824057,0.367015,1
533626372,0.822262,0.372822,0.824057,0.368177,1
533626406,0.775584,0.235772,0.775584,0.235772,0
533626439,0.772891,0.220674,0.772891,0.220674,0
533626472,0.777379,0.252033,0.775584,0.235772,0
533626505,0.763914,0.239257,0.771095,0.236934,0
533626539,0.777379,0.238095,0.772891,0.236934,0
533626572,0.777379,0.245064,0.773788,0.239257,0
533626605,0.758528,0.239257,0.771095,0.239257,1
533626639,0.763016,0.246225,0.770198,0.240418,1
533626673,0.858169,0.400697,0.858169,0.400697,0
533626705,0.818671,0.454123,0.818671,0.454123,0
533626739,0.804309,0.43554,0.81149,0.444832,0
533626775,0.814183,0.437863,0.812388,0.442509,0
533626806,0.803411,0.4518,0.809695,0.444832,0
533626839,0.819569,0.458769,0.812388,0.447154,0
533626872,0.814183,0.500581,0.812388,0.456446,1
533626905,0.810592,0.481998,0.812388,0.461092,1
533626939,0.622083,0.534262,0.622083,0.534262,0
533626972,0.596948,0.52381,0.596948,0.52381,0
533627005,0.614901,0.579559,0.605925,0.551684,0
533627038,0.596948,0.614402,0.603232,0.57259,0
533627072,0.620287,0.600465,0.60772,0.579559,0
533627105,0.601436,0.571429,0.605925,0.578397,0
533627138,0.756733,0.787456,0.756733,0.787456,0
533627172,0.7693,0.801394,0.7693,0.801394,0
533627205,0.768402,0.826945,0.768402,0.81417,0
533627238,0.768402,0.831591,0.768402,0.819977,0
533627272,0.755835,0.831591,0.765709,0.8223,0
533627305,0.728905,0.779326,0.75763,0.81417,0
533627338,0.56912,0.852497,0.56912,0.852497,0
533627372,0.535009,0.868757,0.535009,0.868757,0
533627406,0.552962,0.922184,0.543986,0.89547,0
533627439,0.54219,0.819977,0.543088,0.869919,0
533627471,0.543088,0.851336,0.543088,0.865273,0
533627505,0.421005,0.630662,0.518851,0.817654,0
533627538,0.253142,0.325203,0.253142,0.325203,0
533627572,0.236984,0.308943,0.236984,0.308943,0
533627605,0.234291,0.318235,0.235189,0.313589,0
533627638,0.224417,0.320558,0.231598,0.315912,0
533627671,0.316876,0.760743,0.253142,0.428571,0
533627705,0.354578,0.800232,0.273788,0.504065,0
533627738,0.356373,0.804878,0.356373,0.804878,0
533627771,0.358169,0.800232,0.358169,0.800232,0
533627804,0.331239,0.770035,0.344704,0.785134,0
533627838,0.359964,0.853659,0.35009,0.808362,0
533627871,0.370736,0.818815,0.355476,0.810685,0
533627904,0.337522,0.768873,0.351885,0.802555,0
533627938,0.357271,0.823461,0.352783,0.80604,1
533627971,0.352783,0.85482,0.352783,0.813008,1
533628004,0.222621,0.567944,0.222621,0.567944,0
533628037,0.234291,0.592335,0.234291,0.592335,0
533628071,0.24237,0.547038,0.238779,0.569106,0
533628104,0.219031,0.577236,0.231598,0.57259,0
533628138,0.22711,0.560976,0.2307,0.569106,0
533628171,0.223519,0.538908,0.228905,0.563298,0
533628204,0.226212,0.569106,0.228905,0.56446,1
533628238,0.224417,0.598142,0.228007,0.569106,1
533628271,0.201975,0.455285,0.224417,0.554007,1
533628305,0.213645,0.464576,0.223519,0.543554,1
533628338,0.210952,0.455285,0.221724,0.533101,1
533628373,0.194794,0.461092,0.219031,0.526132,1
533628404,0.206463,0.441347,0.217235,0.518002,1
533628437,0.198384,0.464576,0.21544,0.512195,1
533628471,0.192101,0.487805,0.213645,0.509872,1
533628504,0.197487,0.372822,0.197487,0.372822,0
533628537,0.207361,0.37863,0.207361,0.37863,0
533628570,0.195691,0.384437,0.201975,0.382114,0
533628604,0.205566,0.380952,0.202873,0.380952,0
533628637,0.204668,0.396051,0.20377,0.385598,0
533628670,0.18851,0.373984,0.20018,0.383275,0
533628704,0.194794,0.346109,0.199282,0.376307,1
533628737,0.233393,0.281069,0.204668,0.362369,1
533628904,0.190305,0.360046,0.201077,0.318235,1
533629171,0.199282,0.649245,0.197487,0.557491,1
533629203,0.210054,0.67712,0.199282,0.57259,1
533629237,0.226212,0.667828,0.202873,0.584204,1
533629270,0.229803,0.695703,0.205566,0.59698,1
533629303,0.218133,0.699187,0.207361,0.607433,1
533629336,0.212747,0.698026,0.207361,0.616725,1
533629370,0.222621,0.707317,0.209156,0.626016,1
533629403,0.22711,0.686411,0.210952,0.631823,1
533629436,0.229803,0.71777,0.212747,0.639954,1
533629470,0.210952,0.672474,0.212747,0.643438,1
533629503,0.207361,0.675958,0.211849,0.646922,1
533629536,0.221724,0.656214,0.221724,0.656214,0
533629570,0.255835,0.199768,0.255835,0.199768,0
533629603,0.340215,-0.047619,0.298025,0.0766551,0
533629637,0.425494,-0.0940767,0.341113,0.018583,0
533629670,0.43447,-0.0662021,0.364452,-0.00232288,0
