tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533425799,0.789048,0.664344,0.807899,0.58885,1
533425833,0.616697,0.835075,0.616697,0.835075,0
533425865,0.633752,0.80604,0.633752,0.80604,0
533425898,0.598743,0.837398,0.615799,0.821138,0
533425931,0.623878,0.809524,0.618492,0.817654,0
533425965,0.606822,0.818815,0.615799,0.817654,0
533425998,0.618492,0.844367,0.615799,0.823461,0
533426032,0.610413,0.835075,0.614901,0.825784,1
533426065,0.448833,0.815331,0.448833,0.815331,0
533426099,0.450628,0.850174,0.450628,0.850174,0
533426131,0.442549,0.874564,0.447038,0.86295,0
533426165,0.460503,0.876887,0.451526,0.867596,0
533426198,0.443447,0.911731,0.449731,0.878049,0
533426231,0.437163,0.852497,0.447038,0.873403,0
533426265,0.375224,0.813008,0.43447,0.86295,1
533426297,0.310592,0.745645,0.310592,0.745645,0
533426331,0.297127,0.732869,0.297127,0.732869,0
533426364,0.302513,0.713124,0.29982,0.723577,0
533426398,0.287253,0.764228,0.29623,0.736353,0
533426431,0.29623,0.73403,0.29623,0.736353,0
533426464,0.295332,0.75029,0.29623,0.738676,0
533426497,0.301616,0.795587,0.297127,0.749129,1
533426531,0.316876,0.835075,0.29982,0.761905,1
533426567,0.32316,0.80604,0.302513,0.767712,1
533426598,0.32316,0.84669,0.305206,0.777003,1
533426631,0.327648,0.845528,0.307899,0.785134,1
533426664,0.435368,0.898955,0.435368,0.898955,0
533426697,0.426391,0.835075,0.426391,0.835075,0
533426731,0.421005,0.826945,0.423698,0.83043,0
533426764,0.423698,0.875726,0.423698,0.845528,0
533426797,0.415619,0.819977,0.421903,0.839721,0
533426831,0.413824,0.808362,0.420108,0.832753,0
533426864,0.445242,0.0940767,0.445242,0.0940767,0
533426897,0.447935,0.0824623,0.447935,0.0824623,0
533426930,0.445242,0.0847851,0.447038,0.0836237,0
533426964,0.458707,0.087108,0.450628,0.0847851,0
533426997,0.453321,0.0766551,0.451526,0.0824623,0
533427030,0.449731,0.0766551,0.451526,0.0813008,0
533427064,0.453321,0.0778165,0.451526,0.0813008,1
533427097,0.451526,0.0754936,0.451526,0.0801394,1
533427130,0.319569,0.156794,0.319569,0.156794,0
533427163,0.335727,0.150987,0.335727,0.150987,0
533427197,0.322262,0.152149,0.328546,0.152149,0
533427230,0.322262,0.149826,0.32675,0.150987,0
533427263,0.330341,0.152149,0.327648,0.150987,0
533427297,0.204668,0.317073,0.302513,0.184669,0
533427330,0.233393,0.30662,0.233393,0.30662,0
533427364,0.241472,0.295006,0.241472,0.295006,0
533427398,0.228905,0.291521,0.235189,0.292683,0
533427430,0.235189,0.293844,0.235189,0.292683,0
533427463,0.224417,0.311266,0.232496,0.297329,0
533427663,0.426391,0.146341,0.426391,0.146341,0
533427696,0.566427,0.109175,0.566427,0.109175,0
533427730,0.579892,0.108014,0.573609,0.109175,0
533427763,0.585278,0.097561,0.577199,0.10453,0
533427796,0.575404,0.0940767,0.577199,0.102207,0
533427829,0.578995,0.101045,0.577199,0.102207,0
533427863,0.583483,0.0882695,0.583483,0.0882695,0
533427896,0.64632,0.0940767,0.64632,0.0940767,0
533427929,0.633752,0.0998839,0.640036,0.0963995,0
533427963,0.632855,0.11266,0.637343,0.102207,0
