tstamp,mouse_x,mouse_y
1428611468919,0.33842,0.52381
1428611469011,0.336625,0.524971
1428611469119,0.337522,0.52381
1428611469217,0.339318,0.527294
1428611469311,0.342908,0.526132
1428611469406,0.346499,0.526132
1428611469521,0.368043,0.526132
1428611469616,0.414722,0.529617
1428611469713,0.469479,0.534262
1428611469810,0.517056,0.536585
1428611469903,0.555655,0.544715
1428611469984,0.581688,0.551684
1428611470087,0.621185,0.56446
1428611470175,0.654399,0.576074
1428611470272,0.677738,0.585366
1428611470354,0.684022,0.590012
1428611470448,0.687612,0.59698
1428611470545,0.686715,0.598142
1428611470639,0.678636,0.601626
1428611470753,0.664273,0.59698
1428611470854,0.64632,0.583043
1428611470942,0.626571,0.557491
1428611471039,0.606822,0.524971
1428611471154,0.587971,0.493612
1428611471247,0.574506,0.462253
1428611471312,0.568223,0.447154
1428611471409,0.561939,0.42741
1428611471502,0.561041,0.414634
1428611471583,0.561939,0.41115
1428611471680,0.56553,0.413473
1428611471774,0.570018,0.409988
1428611471870,0.577199,0.404181
1428611471937,0.583483,0.404181
1428611472016,0.596948,0.40302
1428611472121,0.623878,0.404181
1428611472211,0.649013,0.401858
1428611472304,0.662478,0.399535
1428611472416,0.667864,0.398374
1428611472488,0.668761,0.39489
