tstamp,mouse_x,mouse_y
1428610780726,0.266607,0.31475
1428610780818,0.265709,0.311266
1428610780912,0.264811,0.311266
1428610780978,0.268402,0.310105
1428610781061,0.280969,0.310105
1428610781163,0.314183,0.305459
1428610781250,0.347397,0.299652
1428610781347,0.378815,0.291521
1428610781456,0.405745,0.286876
1428610781522,0.420108,0.283391
1428610781617,0.43447,0.281069
1428610781711,0.444345,0.283391
1428610781811,0.4614,0.284553
1428610781890,0.477558,0.286876
1428610781985,0.505386,0.289199
1428610782079,0.526032,0.289199
1428610782145,0.535907,0.289199
1428610782246,0.547576,0.295006
1428610782321,0.557451,0.307782
1428610782419,0.578097,0.344948
1428610782511,0.605027,0.40302
1428610782610,0.629264,0.46806
1428610782693,0.645422,0.508711
1428610782754,0.662478,0.547038
1428610782852,0.698384,0.590012
1428610782945,0.736984,0.61324
1428610783044,0.759426,0.620209
1428610783119,0.764812,0.619048
1428610783216,0.764812,0.61324
1428610783316,0.763914,0.601626
1428610783409,0.760323,0.592335
1428610783476,0.758528,0.586527
1428610783554,0.755835,0.58072
1428610783646,0.751347,0.574913
1428610783744,0.743267,0.570267
1428610783842,0.729802,0.560976
1428610783920,0.709156,0.55633
1428610784023,0.641831,0.551684
1428610784116,0.544883,0.552846
1428610784206,0.456912,0.560976
1428610784321,0.389587,0.571429
1428610784419,0.348294,0.578397
1428610784511,0.321364,0.583043
1428610784609,0.303411,0.59698
1428610784679,0.295332,0.612079
1428610784752,0.290844,0.630662
1428610784848,0.287253,0.658537
1428610784942,0.279174,0.686411
1428610785038,0.271993,0.716609
1428610785153,0.266607,0.74216
1428610785246,0.263914,0.763066
1428610785310,0.263016,0.773519
1428610785408,0.263016,0.780488
1428610785512,0.2693,0.773519
1428610785590,0.278276,0.760743
1428610785684,0.298025,0.704994
1428610785776,0.316876,0.606272
1428610785870,0.335727,0.521487
1428610785942,0.350987,0.473868
1428610786018,0.367145,0.429733
1428610786112,0.389587,0.376307
1428610786209,0.409336,0.344948
1428610786312,0.43088,0.320558
1428610786392,0.449731,0.304297
1428610786482,0.471275,0.284553
1428610786576,0.481149,0.269454
