tstamp,mouse_x,mouse_y
1428610863459,0.245961,0.288037
1428610863552,0.253142,0.293844
1428610863647,0.263914,0.303136
1428610863762,0.28456,0.317073
1428610863857,0.322262,0.329849
1428610863953,0.374327,0.340302
1428610864050,0.429982,0.348432
1428610864161,0.465889,0.347271
1428610864264,0.474865,0.342625
1428610864359,0.473968,0.339141
1428610864447,0.470377,0.335656
1428610864550,0.464991,0.335656
1428610864624,0.463196,0.336818
1428610864720,0.463196,0.333333
1428610864817,0.464093,0.33101
1428610864916,0.464093,0.341463
1428610864993,0.464093,0.358885
1428610865092,0.462298,0.399535
1428610865188,0.458707,0.455285
1428610865283,0.454219,0.518002
1428610865396,0.451526,0.57259
1428610865514,0.451526,0.61324
1428610865584,0.450628,0.642276
1428610865682,0.451526,0.657375
1428610865776,0.454219,0.662021
1428610865857,0.454219,0.664344
1428610865954,0.459605,0.662021
1428610866047,0.466786,0.663182
1428610866145,0.469479,0.667828
1428610866228,0.471275,0.674797
1428610866321,0.478456,0.687573
1428610866418,0.507181,0.702671
1428610866514,0.572711,0.708479
1428610866624,0.623878,0.702671
1428610866720,0.642729,0.694541
1428610866815,0.652603,0.686411
1428610866912,0.650808,0.682927
1428610867009,0.633752,0.682927
1428610867086,0.614004,0.678281
1428610867151,0.59246,0.666667
1428610867249,0.560144,0.631823
1428610867346,0.527828,0.577236
1428610867458,0.506284,0.495935
1428610867552,0.491921,0.404181
1428610867652,0.481149,0.321719
1428610867712,0.478456,0.275261
1428610867815,0.476661,0.221835
1428610867891,0.473968,0.197445
1428610867984,0.469479,0.182346
1428610868082,0.465889,0.182346
1428610868175,0.462298,0.190476
1428610868289,0.458707,0.207898
1428610868353,0.458707,0.225319
1428610868452,0.460503,0.254355
1428610868549,0.465889,0.279907
1428610868640,0.476661,0.304297
1428610868723,0.486535,0.319396
1428610868816,0.507181,0.339141
1428610868915,0.526032,0.355401
1428610868978,0.535907,0.364692
1428610869073,0.55386,0.380952
1428610869153,0.562837,0.392567
1428610869246,0.56912,0.41115
1428610869345,0.56912,0.429733
1428610869442,0.571813,0.449477
1428610869551,0.578995,0.481998
1428610869647,0.595153,0.528455
1428610869744,0.612208,0.559814
1428610869851,0.616697,0.58072
1428610869919,0.615799,0.590012
1428610870017,0.614004,0.592335
1428610870118,0.617594,0.581882
1428610870181,0.621185,0.57259
1428610870280,0.625673,0.552846
1428610870350,0.631059,0.537747
