tstamp,mouse_x,mouse_y
1428611764207,0.501795,0.494774
1428611764305,0.5,0.495935
1428611764399,0.482047,0.493612
1428611764495,0.435368,0.481998
1428611764609,0.373429,0.469222
1428611764712,0.333034,0.464576
1428611764801,0.318671,0.457607
1428611764916,0.324057,0.450639
1428611765007,0.337522,0.449477
1428611765105,0.351885,0.441347
1428611765169,0.355476,0.421603
1428611765263,0.347397,0.393728
1428611765358,0.340215,0.377468
1428611765439,0.33842,0.371661
1428611765545,0.337522,0.363531
1428611765634,0.333034,0.361208
1428611765729,0.319569,0.363531
1428611765838,0.300718,0.360046
1428611765904,0.28456,0.358885
1428611766001,0.265709,0.357724
1428611766094,0.261221,0.355401
1428611766191,0.275583,0.354239
1428611766272,0.292639,0.355401
1428611766368,0.333932,0.363531
1428611766463,0.382406,0.372822
1428611766562,0.421005,0.383275
1428611766675,0.452424,0.39489
1428611766775,0.486535,0.40302
