tstamp,mouse_x,mouse_y
1428611697310,0.210054,0.346109
1428611697414,0.205566,0.349593
1428611697521,0.201975,0.351916
1428611697615,0.205566,0.361208
1428611697714,0.218133,0.372822
1428611697781,0.24237,0.385598
1428611697877,0.304309,0.412311
1428611697954,0.348294,0.430894
1428611698050,0.40754,0.456446
1428611698147,0.463196,0.481998
1428611698241,0.512567,0.501742
1428611698351,0.543088,0.512195
1428611698446,0.558348,0.515679
1428611698511,0.56553,0.515679
1428611698607,0.577199,0.509872
1428611698702,0.584381,0.502904
1428611698784,0.587971,0.497096
1428611698880,0.599641,0.481998
1428611698975,0.630162,0.458769
1428611699047,0.659785,0.442509
1428611699135,0.695691,0.425087
1428611699214,0.710054,0.415796
1428611699313,0.720826,0.401858
1428611699407,0.723519,0.393728
1428611699512,0.724416,0.397213
1428611699585,0.727109,0.405343
1428611699678,0.743267,0.420441
1428611699747,0.762119,0.434379
1428611699847,0.791741,0.456446
1428611699936,0.819569,0.47619
1428611700017,0.834829,0.486643
1428611700112,0.850987,0.492451
1428611700211,0.85009,0.498258
1428611700282,0.839318,0.497096
1428611700368,0.798025,0.491289
1428611700450,0.756733,0.486643
1428611700545,0.68851,0.471545
1428611700643,0.621185,0.450639
1428611700740,0.543088,0.430894
1428611700816,0.495512,0.425087
1428611700912,0.451526,0.421603
1428611701010,0.425494,0.418118
1428611701104,0.388689,0.416957
1428611701217,0.347397,0.414634
1428611701312,0.316876,0.413473
1428611701413,0.298923,0.41115
1428611701512,0.292639,0.404181
1428611701599,0.289048,0.399535
