tstamp,mouse_x,mouse_y
1428612309598,0.387792,0.853659
1428612309696,0.389587,0.850174
1428612309791,0.391382,0.84669
1428612309904,0.391382,0.845528
1428612310001,0.390485,0.843206
1428612310094,0.387792,0.840883
1428612310159,0.382406,0.836237
1428612310256,0.359066,0.811847
1428612310334,0.333034,0.782811
1428612310432,0.289946,0.722416
1428612310528,0.254937,0.653891
1428612310624,0.2307,0.581882
1428612310702,0.220826,0.536585
1428612310769,0.213645,0.500581
1428612310862,0.209156,0.456446
1428612310965,0.208259,0.423926
1428612311057,0.210054,0.404181
1428612311134,0.212747,0.400697
1428612311232,0.219031,0.401858
1428612311329,0.231598,0.405343
1428612311423,0.254937,0.418118
1428612311536,0.292639,0.434379
1428612311634,0.342908,0.452962
1428612311729,0.408438,0.483159
1428612311826,0.476661,0.509872
1428612311935,0.530521,0.52381
1428612312001,0.556553,0.529617
1428612312096,0.59246,0.534262
1428612312195,0.629264,0.54007
1428612312288,0.663375,0.545877
1428612312368,0.680431,0.549361
1428612312467,0.697487,0.555168
1428612312561,0.714542,0.562137
1428612312625,0.724416,0.566783
1428612312723,0.735188,0.567944
1428612312799,0.740574,0.566783
1428612312896,0.75763,0.563298
1428612312993,0.776481,0.558653
1428612313088,0.792639,0.550523
1428612313200,0.800718,0.541231
1428612313302,0.791741,0.526132
1428612313402,0.771993,0.505226
1428612313495,0.752244,0.479675
1428612313599,0.733393,0.455285
1428612313695,0.719928,0.430894
1428612313798,0.71544,0.406504
1428612313887,0.716338,0.387921
1428612314000,0.718133,0.380952
1428612314098,0.722621,0.382114
1428612314192,0.727109,0.389082
1428612314296,0.729802,0.399535
1428612314389,0.727109,0.408827
1428612314464,0.723519,0.412311
1428612314528,0.71903,0.418118
1428612314632,0.694794,0.423926
1428612314719,0.656194,0.442509
1428612314834,0.615799,0.465738
1428612314935,0.568223,0.494774
1428612315035,0.526032,0.545877
1428612315095,0.500898,0.579559
1428612315187,0.452424,0.619048
1428612315265,0.406643,0.641115
1428612315361,0.337522,0.666667
1428612315459,0.293537,0.672474
1428612315551,0.264811,0.666667
1428612315649,0.245063,0.664344
1428612315735,0.216338,0.656214
1428612315792,0.20018,0.648084
1428612315890,0.184022,0.634146
1428612315986,0.175045,0.622532
1428612316063,0.175045,0.610918
