tstamp,mouse_x,mouse_y
1428612356336,0.21544,0.416957
1428612356418,0.216338,0.416957
1428612356513,0.216338,0.422764
1428612356608,0.214542,0.439024
1428612356704,0.210054,0.463415
1428612356819,0.207361,0.491289
1428612356913,0.205566,0.521487
1428612357010,0.204668,0.551684
1428612357109,0.205566,0.573751
1428612357215,0.208259,0.58885
1428612357317,0.207361,0.601626
1428612357417,0.206463,0.608595
1428612357505,0.209156,0.60511
1428612357570,0.21544,0.598142
1428612357653,0.231598,0.586527
1428612357743,0.29982,0.560976
1428612357843,0.41921,0.537747
1428612357936,0.519749,0.516841
1428612358047,0.59246,0.497096
1428612358144,0.662478,0.490128
1428612358239,0.720826,0.479675
1428612358335,0.754937,0.457607
1428612358450,0.774686,0.43554
1428612358543,0.78097,0.415796
1428612358642,0.777379,0.398374
1428612358734,0.772891,0.384437
1428612358833,0.765709,0.376307
1428612358917,0.763914,0.371661
1428612359011,0.763914,0.364692
1428612359103,0.765709,0.356562
1428612359201,0.770198,0.344948
1428612359287,0.772891,0.332172
1428612359386,0.770198,0.31475
