tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
366777319,0.574506,0.384437,0.578097,0.383275,1
366777352,0.587074,0.391405,0.578995,0.384437,1
366777386,0.584381,0.380952,0.578995,0.385598,1
366777419,0.585278,0.376307,0.578995,0.385598,1
366777452,0.574506,0.379791,0.578995,0.385598,1
366777486,0.56912,0.387921,0.578097,0.38676,1
366777519,0.574506,0.393728,0.578097,0.387921,1
366777552,0.568223,0.380952,0.577199,0.38676,1
366777586,0.567325,0.371661,0.576302,0.38676,1
366777619,0.574506,0.372822,0.576302,0.385598,1
366777652,0.56912,0.390244,0.576302,0.385598,1
366777686,0.575404,0.389082,0.575404,0.385598,1
366777719,0.579892,0.38676,0.576302,0.385598,1
366777752,0.571813,0.373984,0.575404,0.384437,1
366777786,0.574506,0.377468,0.575404,0.384437,1
366777819,0.589767,0.383275,0.576302,0.384437,1
366777853,0.576302,0.629501,0.576302,0.629501,0
366777885,0.577199,0.649245,0.577199,0.649245,0
366777919,0.578097,0.632985,0.578097,0.641115,0
366777952,0.581688,0.632985,0.578995,0.638792,0
366777985,0.56912,0.630662,0.576302,0.636469,0
366778019,0.572711,0.652729,0.575404,0.639954,0
366778052,0.502693,0.666667,0.562837,0.644599,1
366778085,0.495512,0.659698,0.552962,0.646922,1
366778118,0.486535,0.675958,0.543986,0.650406,1
366778152,0.485637,0.672474,0.536804,0.653891,1
366778185,0.491921,0.656214,0.531418,0.653891,1
366778219,0.508079,0.656214,0.528725,0.653891,1
366778252,0.499102,0.644599,0.525135,0.653891,1
366778285,0.505386,0.66899,0.523339,0.655052,1
366778318,0.423698,0.682927,0.423698,0.682927,0
366778352,0.427289,0.670151,0.427289,0.670151,0
366778385,0.423698,0.652729,0.425494,0.662021,0
366778419,0.360862,0.522648,0.40395,0.615563,0
366778452,0.35368,0.518002,0.391382,0.591173,0
366778485,0.366248,0.536585,0.385996,0.579559,0
366778518,0.354578,0.520325,0.38061,0.569106,1
366778551,0.348294,0.511034,0.348294,0.511034,0
366778585,0.349192,0.520325,0.349192,0.520325,0
366778618,0.356373,0.515679,0.352783,0.518002,0
366778653,0.359066,0.534262,0.354578,0.52381,0
366778685,0.35009,0.494774,0.35368,0.515679,0
366778718,0.382406,0.450639,0.359066,0.502904,0
366778751,0.37702,0.449477,0.362657,0.493612,1
366778785,0.375224,0.472706,0.364452,0.490128,1
366778818,0.381508,0.47619,0.367145,0.488966,1
366778851,0.388689,0.46806,0.369838,0.485482,1
366778885,0.385996,0.46806,0.371634,0.484321,1
366778918,0.382406,0.444832,0.372531,0.479675,1
366778951,0.342011,0.416957,0.369838,0.473868,1
366778984,0.340215,0.426249,0.367145,0.469222,1
366779018,0.342011,0.422764,0.36535,0.464576,1
366779051,0.346499,0.434379,0.363555,0.462253,1
366779084,0.330341,0.44367,0.360862,0.45993,1
366779118,0.315081,0.416957,0.358169,0.456446,1
366779151,0.330341,0.425087,0.355476,0.452962,1
366779184,0.310592,0.418118,0.351885,0.450639,1
366779218,0.324057,0.428571,0.35009,0.448316,1
366779251,0.310592,0.409988,0.346499,0.444832,1
366779284,0.321364,0.422764,0.344704,0.442509,1
366779318,0.324057,0.432056,0.342908,0.441347,1
366779351,0.321364,0.426249,0.341113,0.440186,1
366779385,0.318671,0.434379,0.339318,0.439024,1
366779418,0.32675,0.426249,0.337522,0.436702,1
366779451,0.321364,0.43554,0.335727,0.434379,1
366779484,0.324955,0.425087,0.333932,0.433217,1
366779517,0.319569,0.428571,0.333034,0.430894,1
366779551,0.325853,0.420441,0.331239,0.429733,1
366779584,0.344704,0.473868,0.331239,0.432056,1
366779617,0.413824,0.583043,0.413824,0.583043,0
366779651,0.397666,0.583043,0.397666,0.583043,0
366779684,0.408438,0.584204,0.403052,0.584204,0
366779717,0.394973,0.58072,0.400359,0.583043,0
366779750,0.399461,0.586527,0.400359,0.584204,0
366779784,0.404847,0.602787,0.401257,0.587689,0
366779817,0.396768,0.590012,0.400359,0.587689,1
366779850,0.40754,0.598142,0.401257,0.590012,1
366779884,0.412029,0.576074,0.403052,0.587689,1
366779917,0.389587,0.587689,0.401257,0.587689,1
366779950,0.403052,0.592335,0.401257,0.587689,1
366779984,0.40395,0.573751,0.402154,0.586527,1
366780017,0.403052,0.593496,0.402154,0.587689,1
366780050,0.40395,0.58885,0.402154,0.587689,1
366780083,0.399461,0.610918,0.402154,0.58885,1
366780117,0.41921,0.590012,0.403052,0.590012,1
366780150,0.589767,0.485482,0.589767,0.485482,0
366780184,0.594255,0.519164,0.594255,0.519164,0
366780217,0.59605,0.502904,0.595153,0.511034,0
366780250,0.590664,0.508711,0.593357,0.511034,0
366780284,0.588869,0.53194,0.59246,0.515679,0
366780317,0.593357,0.500581,0.59246,0.513357,0
366780350,0.581688,0.516841,0.590664,0.513357,1
366780383,0.595153,0.508711,0.591562,0.513357,1
366780417,0.59605,0.492451,0.591562,0.509872,1
366780450,0.588869,0.516841,0.591562,0.511034,1
366780483,0.610413,0.579559,0.593357,0.518002,1
366780516,0.605027,0.585366,0.595153,0.524971,1
366780550,0.594255,0.587689,0.595153,0.530778,1
366780583,0.601436,0.590012,0.595153,0.536585,1
366780616,0.599641,0.569106,0.59605,0.54007,1
366780650,0.599641,0.566783,0.59605,0.542393,1
366780683,0.664273,0.632985,0.664273,0.632985,0
366780716,0.653501,0.614402,0.653501,0.614402,0
366780750,0.657989,0.642276,0.656194,0.628339,0
366780783,0.655296,0.634146,0.655296,0.630662,0
366780816,0.644524,0.634146,0.652603,0.631823,0
