tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
366459073,0.320467,0.29036,0.325853,0.2741,1
366459106,0.324057,0.281069,0.325853,0.275261,1
366459139,0.32675,0.270616,0.325853,0.275261,1
366459173,0.32675,0.291521,0.325853,0.277584,1
366459206,0.32316,0.277584,0.325853,0.277584,1
366459240,0.32316,0.271777,0.325853,0.277584,1
366459273,0.333034,0.2741,0.325853,0.277584,1
366459306,0.325853,0.284553,0.325853,0.277584,1
366459339,0.324057,0.285714,0.325853,0.278746,1
366459372,0.314183,0.278746,0.324955,0.278746,1
366459406,0.325853,0.281069,0.324955,0.278746,1
366459439,0.324057,0.284553,0.324955,0.278746,1
366459472,0.318671,0.283391,0.324955,0.278746,1
366459506,0.320467,0.291521,0.324057,0.279907,1
366459539,0.327648,0.284553,0.324057,0.279907,1
366459572,0.32316,0.275261,0.324057,0.279907,1
366459606,0.325853,0.279907,0.324057,0.281069,1
366459639,0.324057,0.283391,0.324057,0.281069,1
366459672,0.520646,0.276423,0.520646,0.276423,0
366459705,0.645422,0.269454,0.645422,0.269454,0
366459739,0.64991,0.275261,0.648115,0.272938,0
366459772,0.665171,0.255517,0.653501,0.267131,0
366459805,0.668761,0.277584,0.657092,0.269454,0
366459839,0.657989,0.270616,0.657989,0.269454,0
366459872,0.657092,0.270616,0.657092,0.270616,0
366459905,0.650808,0.271777,0.650808,0.271777,0
366459940,0.653501,0.261324,0.652603,0.26597,0
366459972,0.657989,0.259001,0.654399,0.263647,0
366460006,0.660682,0.272938,0.656194,0.26597,0
366460039,0.647217,0.278746,0.654399,0.268293,0
366460072,0.66158,0.268293,0.655296,0.268293,1
366460105,0.651706,0.261324,0.654399,0.267131,1
366460138,0.66158,0.263647,0.655296,0.267131,1
366460172,0.658887,0.256678,0.656194,0.26597,1
366460205,0.657989,0.285714,0.656194,0.268293,1
366460238,0.652603,0.279907,0.656194,0.269454,1
366460272,0.717235,0.270616,0.66158,0.269454,1
366460305,0.735188,0.236934,0.667864,0.26597,1
366460338,0.762119,0.263647,0.675943,0.26597,1
366460372,0.745063,0.278746,0.682226,0.267131,1
366460405,0.760323,0.260163,0.68851,0.267131,1
366460438,0.752244,0.263647,0.693896,0.26597,1
366460472,0.74596,0.270616,0.698384,0.267131,1
366460505,0.756733,0.279907,0.702873,0.267131,1
366460538,0.759426,0.254355,0.708259,0.267131,1
366460571,0.766607,0.25784,0.712747,0.26597,1
366460605,0.755835,0.256678,0.716338,0.26597,1
366460638,0.75763,0.264808,0.720826,0.26597,1
366460671,0.584381,0.259001,0.584381,0.259001,0
366460705,0.482047,0.285714,0.482047,0.285714,0
366460738,0.48474,0.296167,0.482944,0.29036,0
366460772,0.477558,0.304297,0.481149,0.295006,0
366460805,0.482944,0.289199,0.482047,0.293844,0
366460838,0.321364,0.492451,0.448833,0.334495,0
366460873,0.288151,0.5482,0.288151,0.5482,0
366460906,0.292639,0.534262,0.292639,0.534262,0
366460938,0.295332,0.547038,0.294434,0.541231,0
366460971,0.287253,0.55633,0.291741,0.545877,0
366461004,0.295332,0.545877,0.292639,0.545877,0
366461038,0.295332,0.555168,0.293537,0.5482,0
366461071,0.289946,0.550523,0.292639,0.5482,1
366461104,0.324057,0.544715,0.297127,0.5482,1
366461138,0.315081,0.550523,0.29982,0.5482,1
366461171,0.315978,0.552846,0.301616,0.549361,1
366461204,0.317774,0.528455,0.303411,0.547038,1
366461238,0.320467,0.551684,0.305206,0.547038,1
366461271,0.316876,0.52381,0.307002,0.544715,1
366461304,0.318671,0.534262,0.307899,0.543554,1
366461337,0.310592,0.537747,0.307899,0.543554,1
366461371,0.315081,0.538908,0.308797,0.542393,1
366461404,0.320467,0.516841,0.309695,0.541231,1
366461437,0.356373,0.304297,0.356373,0.304297,0
366461471,0.35009,0.300813,0.35009,0.300813,0
366461504,0.343806,0.307782,0.346499,0.304297,0
366461537,0.359066,0.31475,0.350987,0.307782,0
366461571,0.349192,0.301974,0.35009,0.30662,0
366461604,0.324955,0.279907,0.345601,0.300813,0
366461637,0.327648,0.283391,0.342011,0.29849,1
366461671,0.325853,0.276423,0.339318,0.295006,1
366461704,0.334829,0.267131,0.339318,0.291521,1
366461737,0.333034,0.275261,0.33842,0.289199,1
366461770,0.357271,0.283391,0.340215,0.288037,1
366461804,0.437163,0.255517,0.35009,0.284553,1
366461837,0.453321,0.254355,0.453321,0.254355,0
366461870,0.447038,0.261324,0.447038,0.261324,0
366461904,0.449731,0.259001,0.447935,0.260163,0
366461937,0.450628,0.276423,0.448833,0.264808,0
366461970,0.469479,0.171893,0.454219,0.24158,0
366462004,0.476661,0.167247,0.458707,0.226481,0
366462037,0.483842,0.170732,0.463196,0.217189,1
366462070,0.482047,0.176539,0.465889,0.210221,1
366462103,0.490126,0.176539,0.469479,0.205575,1
366462137,0.47307,0.174216,0.470377,0.202091,1
366462170,0.495512,0.167247,0.47307,0.197445,1
366462204,0.492819,0.167247,0.474865,0.193961,1
366462237,0.491921,0.171893,0.476661,0.191638,1
366462270,0.487433,0.174216,0.478456,0.189315,1
366462303,0.483842,0.18583,0.478456,0.189315,1
366462337,0.504488,0.182346,0.481149,0.188153,1
366462370,0.491023,0.178862,0.482047,0.186992,1
366462403,0.491023,0.164925,0.482944,0.184669,1
366462437,0.490126,0.167247,0.483842,0.183508,1
366462470,0.5,0.173055,0.48474,0.182346,1
366462503,0.48474,0.164925,0.485637,0.181185,1
366462537,0.492819,0.174216,0.485637,0.180023,1
366462571,0.491023,0.157956,0.486535,0.1777,1
366462606,0.487433,0.180023,0.486535,0.1777,1
366462636,0.490126,0.176539,0.487433,0.1777,1
366462670,0.440754,0.264808,0.48474,0.182346,1
366462703,0.437163,0.658537,0.437163,0.658537,0
366462736,0.431777,0.691057,0.431777,0.691057,0
366462769,0.447935,0.714286,0.439856,0.702671,0
366462803,0.452424,0.695703,0.444345,0.700348,0
