tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
363886254,0.127469,0.485482,0.125673,0.481998,1
363886286,0.122083,0.499419,0.125673,0.483159,1
363886320,0.12298,0.488966,0.125673,0.484321,1
363886353,0.12298,0.483159,0.125673,0.485482,1
363886386,0.127469,0.488966,0.125673,0.485482,1
363886420,0.127469,0.480836,0.125673,0.485482,1
363886453,0.129264,0.492451,0.125673,0.486643,1
363886486,0.302513,0.512195,0.302513,0.512195,0
363886520,0.70377,0.508711,0.70377,0.508711,0
363886553,0.782765,0.52381,0.743267,0.516841,0
363886586,0.780072,0.529617,0.755835,0.521487,0
363886620,0.78456,0.524971,0.763016,0.521487,0
363886653,0.78097,0.519164,0.766607,0.521487,0
363886686,0.782765,0.53194,0.782765,0.53194,0
363886720,0.773788,0.521487,0.773788,0.521487,0
363886753,0.809695,0.520325,0.791741,0.521487,0
363886786,0.859964,0.513357,0.815081,0.518002,0
363886820,0.860862,0.509872,0.82675,0.516841,0
363886853,0.851885,0.511034,0.832136,0.515679,0
363886886,0.847397,0.508711,0.834829,0.514518,1
363886919,0.847397,0.505226,0.836625,0.513357,1
363886953,0.861759,0.499419,0.840215,0.511034,1
363886987,0.859964,0.504065,0.842908,0.509872,1
363887020,0.860862,0.500581,0.844704,0.508711,1
363887053,0.851885,0.502904,0.845601,0.508711,1
363887086,0.854578,0.505226,0.846499,0.507549,1
363887119,0.860862,0.506388,0.848294,0.507549,1
363887153,0.857271,0.511034,0.849192,0.507549,1
363887186,0.858169,0.500581,0.85009,0.507549,1
363887219,0.863555,0.495935,0.850987,0.506388,1
363887253,0.856373,0.495935,0.851885,0.505226,1
363887286,0.854578,0.513357,0.852783,0.506388,1
363887319,0.857271,0.499419,0.852783,0.505226,1
363887352,0.860862,0.506388,0.85368,0.505226,1
363887386,0.854578,0.512195,0.85368,0.505226,1
363887419,0.861759,0.508711,0.854578,0.506388,1
363887452,0.870736,0.511034,0.855476,0.506388,1
363887486,0.862657,0.509872,0.856373,0.506388,1
363887519,0.859066,0.512195,0.856373,0.506388,1
363887553,0.854578,0.514518,0.858169,0.507549,1
363887587,0.871634,0.499419,0.859066,0.506388,1
363887620,0.857271,0.500581,0.859066,0.506388,1
363887653,0.860862,0.501742,0.859066,0.505226,1
363887687,0.861759,0.500581,0.859964,0.505226,1
