tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
363989205,0.540395,0.62137,0.54219,0.620209,1
363989272,0.298025,0.407665,0.298025,0.407665,0
363989305,0.295332,0.41115,0.297127,0.409988,0
363989338,0.304309,0.425087,0.298923,0.414634,0
363989371,0.277379,0.405343,0.293537,0.412311,0
363989405,0.260323,0.387921,0.287253,0.407665,0
363989438,0.265709,0.392567,0.283662,0.405343,1
363989471,0.271993,0.391405,0.281867,0.40302,1
363989505,0.265709,0.397213,0.279174,0.401858,1
363989538,0.271095,0.396051,0.278276,0.401858,1
363989571,0.271993,0.396051,0.277379,0.400697,1
363989604,0.278276,0.390244,0.277379,0.399535,1
363989638,0.271095,0.392567,0.276481,0.398374,1
363989671,0.267504,0.399535,0.275583,0.398374,1
363989704,0.375224,0.507549,0.375224,0.507549,0
363989738,0.402154,0.511034,0.402154,0.511034,0
363989771,0.389587,0.508711,0.395871,0.509872,0
363989804,0.393178,0.509872,0.394973,0.509872,0
363989838,0.396768,0.515679,0.394973,0.511034,0
363989871,0.394075,0.524971,0.394973,0.514518,0
363989905,0.400359,0.512195,0.395871,0.514518,1
363989938,0.395871,0.508711,0.395871,0.513357,1
363989971,0.389587,0.515679,0.394973,0.513357,1
363990005,0.388689,0.518002,0.394075,0.514518,1
363990037,0.64632,0.448316,0.64632,0.448316,0
363990071,0.800718,0.387921,0.800718,0.387921,0
363990104,0.801616,0.37863,0.801616,0.383275,0
363990137,0.805206,0.387921,0.802513,0.384437,0
363990171,0.808797,0.398374,0.804309,0.387921,0
363990204,0.817774,0.391405,0.807002,0.389082,0
363990238,0.808797,0.396051,0.808797,0.396051,0
363990271,0.81149,0.398374,0.81149,0.398374,0
363990304,0.806104,0.385598,0.808797,0.391405,0
363990337,0.812388,0.387921,0.809695,0.390244,0
363990371,0.814183,0.384437,0.810592,0.389082,0
363990404,0.648115,0.391405,0.777379,0.389082,0
363990437,0.361759,0.389082,0.361759,0.389082,0
363990473,0.370736,0.390244,0.370736,0.390244,0
363990504,0.370736,0.387921,0.370736,0.389082,0
363990537,0.364452,0.391405,0.368043,0.390244,0
363990570,0.364452,0.38676,0.367145,0.389082,0
363990604,0.372531,0.387921,0.368043,0.389082,0
363990637,0.363555,0.40302,0.367145,0.391405,1
363990670,0.36535,0.391405,0.367145,0.391405,1
363990704,0.367145,0.389082,0.367145,0.391405,1
363990737,0.362657,0.389082,0.366248,0.390244,1
363990770,0.363555,0.380952,0.366248,0.390244,1
363990804,0.363555,0.391405,0.366248,0.390244,1
363990837,0.369838,0.393728,0.366248,0.390244,1
363990870,0.315081,0.404181,0.361759,0.391405,1
363990904,0.267504,0.396051,0.35368,0.391405,1
363990937,0.259425,0.391405,0.346499,0.391405,1
363990970,0.260323,0.389082,0.339318,0.391405,1
363991003,0.261221,0.38676,0.333034,0.391405,1
363991037,0.262118,0.398374,0.32675,0.391405,1
363991070,0.266607,0.391405,0.322262,0.391405,1
363991103,0.261221,0.396051,0.316876,0.392567,1
363991136,0.259425,0.401858,0.312388,0.392567,1
363991170,0.268402,0.396051,0.307899,0.392567,1
363991203,0.268402,0.397213,0.304309,0.393728,1
363991236,0.260323,0.393728,0.300718,0.393728,1
363991270,0.276481,0.393728,0.298025,0.393728,1
