tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
363917729,0.348294,0.612079,0.350987,0.610918,1
363917762,0.343806,0.623693,0.35009,0.612079,1
363917795,0.346499,0.600465,0.35009,0.610918,1
363917828,0.356373,0.606272,0.350987,0.610918,1
363917862,0.346499,0.602787,0.35009,0.610918,1
363917895,0.345601,0.61324,0.35009,0.609756,1
363917928,0.362657,0.606272,0.350987,0.609756,1
363917996,0.557451,0.541231,0.557451,0.541231,0
363918029,0.551167,0.541231,0.55386,0.541231,0
363918062,0.557451,0.536585,0.555655,0.54007,0
363918095,0.560144,0.554007,0.556553,0.543554,0
363918128,0.575404,0.528455,0.560144,0.54007,0
363918161,0.572711,0.533101,0.562837,0.538908,1
363918195,0.585278,0.513357,0.56553,0.535424,1
363918228,0.578995,0.527294,0.568223,0.534262,1
363918261,0.577199,0.53194,0.56912,0.534262,1
363918295,0.577199,0.535424,0.570018,0.534262,1
363918328,0.588869,0.529617,0.571813,0.533101,1
363918361,0.58079,0.529617,0.572711,0.533101,1
363918395,0.570018,0.526132,0.572711,0.533101,1
363918428,0.584381,0.53194,0.573609,0.53194,1
363918461,0.605027,0.506388,0.576302,0.530778,1
363918495,0.728007,0.389082,0.728007,0.389082,0
363918528,0.722621,0.391405,0.722621,0.391405,0
363918561,0.725314,0.399535,0.723519,0.39489,0
363918594,0.723519,0.397213,0.723519,0.396051,0
363918628,0.71544,0.39489,0.721723,0.396051,0
363918661,0.729802,0.40302,0.723519,0.397213,0
363918694,0.723519,0.401858,0.723519,0.398374,1
363918728,0.723519,0.39489,0.723519,0.397213,1
363918761,0.709156,0.404181,0.721723,0.398374,1
363918795,0.723519,0.412311,0.721723,0.400697,1
363918828,0.728905,0.40302,0.722621,0.400697,1
363918861,0.723519,0.39489,0.722621,0.399535,1
363918895,0.794434,0.46806,0.728905,0.406504,1
363918928,0.851885,0.542393,0.851885,0.542393,0
363918961,0.861759,0.536585,0.861759,0.536585,0
363918994,0.863555,0.5482,0.862657,0.542393,0
363919028,0.859066,0.544715,0.861759,0.543554,0
363919061,0.856373,0.559814,0.859964,0.547038,0
363919094,0.851885,0.522648,0.858169,0.542393,0
363919127,0.849192,0.521487,0.857271,0.538908,1
363919161,0.85368,0.528455,0.856373,0.537747,1
363919194,0.859066,0.530778,0.856373,0.536585,1
363919227,0.842908,0.527294,0.855476,0.535424,1
363919261,0.852783,0.530778,0.854578,0.534262,1
363919294,0.768402,0.543554,0.846499,0.535424,1
363919327,0.416517,0.509872,0.416517,0.509872,0
363919360,0.396768,0.511034,0.396768,0.511034,0
363919394,0.400359,0.516841,0.398564,0.514518,0
363919427,0.388689,0.509872,0.394973,0.512195,0
363919460,0.327648,0.513357,0.377917,0.513357,0
363919494,0.317774,0.511034,0.36535,0.512195,0
363919527,0.319569,0.499419,0.357271,0.509872,1
363919560,0.327648,0.516841,0.352783,0.511034,1
363919594,0.316876,0.508711,0.348294,0.511034,1
363919627,0.324955,0.516841,0.344704,0.511034,1
363919661,0.319569,0.513357,0.342011,0.512195,1
363919694,0.318671,0.491289,0.339318,0.509872,1
363919727,0.317774,0.514518,0.336625,0.509872,1
363919760,0.319569,0.514518,0.334829,0.509872,1
363919793,0.329443,0.524971,0.333932,0.511034,1
363919827,0.32316,0.512195,0.333034,0.512195,1
363919860,0.355476,0.380952,0.355476,0.380952,0
363919893,0.35009,0.397213,0.35009,0.397213,0
363919927,0.355476,0.406504,0.352783,0.401858,0
363919960,0.350987,0.400697,0.351885,0.401858,0
363919993,0.362657,0.400697,0.354578,0.401858,0
363920027,0.352783,0.404181,0.354578,0.401858,0
363920060,0.350987,0.389082,0.35368,0.399535,1
363920093,0.356373,0.398374,0.35368,0.399535,1
363920127,0.347397,0.40302,0.352783,0.399535,1
363920160,0.342011,0.406504,0.351885,0.400697,1
363920193,0.341113,0.407665,0.350987,0.401858,1
363920226,0.266607,0.41115,0.342011,0.40302,1
363920260,0.263914,0.412311,0.334829,0.40302,1
363920293,0.2693,0.409988,0.328546,0.404181,1
363920326,0.261221,0.400697,0.322262,0.404181,1
363920360,0.27289,0.406504,0.317774,0.404181,1
363920393,0.263914,0.407665,0.313285,0.404181,1
363920426,0.261221,0.41115,0.308797,0.405343,1
363920460,0.263914,0.420441,0.305206,0.406504,1
363920493,0.264811,0.41115,0.301616,0.406504,1
363920526,0.265709,0.40302,0.298025,0.406504,1
363920560,0.258528,0.413473,0.294434,0.406504,1
363920593,0.263914,0.414634,0.291741,0.407665,1
363920626,0.55386,0.592335,0.55386,0.592335,0
363920659,0.602334,0.643438,0.602334,0.643438,0
363920693,0.604129,0.623693,0.603232,0.634146,0
363920726,0.599641,0.636469,0.602334,0.634146,0
363920759,0.598743,0.639954,0.601436,0.636469,0
363920793,0.606822,0.636469,0.602334,0.636469,0
363920826,0.636445,0.629501,0.60772,0.635308,1
363920859,0.637343,0.631823,0.612208,0.634146,1
363920892,0.637343,0.638792,0.615799,0.635308,1
363920926,0.645422,0.636469,0.61939,0.635308,1
363920959,0.632855,0.645761,0.621185,0.636469,1
363920992,0.637343,0.629501,0.62298,0.635308,1
363921026,0.650808,0.629501,0.625673,0.635308,1
363921059,0.649013,0.641115,0.628366,0.635308,1
363921092,0.637343,0.637631,0.629264,0.636469,1
363921126,0.630162,0.638792,0.629264,0.636469,1
363921159,0.635548,0.648084,0.630162,0.636469,1
