tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
363802754,0.718133,0.599303,0.722621,0.603949,1
363802788,0.719928,0.603949,0.722621,0.603949,1
363802822,0.728007,0.614402,0.722621,0.60511,1
363802857,0.725314,0.607433,0.722621,0.60511,1
363802889,0.724416,0.594657,0.723519,0.603949,1
363802922,0.720826,0.608595,0.722621,0.603949,1
363802955,0.720826,0.598142,0.722621,0.603949,1
363802988,0.724416,0.595819,0.722621,0.603949,1
363803055,0.789946,0.369338,0.789946,0.369338,0
363803087,0.793537,0.375145,0.791741,0.371661,0
363803120,0.795332,0.365854,0.792639,0.370499,0
363803154,0.790844,0.373984,0.792639,0.370499,0
363803187,0.79982,0.382114,0.793537,0.372822,0
363803221,0.791741,0.37863,0.793537,0.373984,1
363803254,0.803411,0.367015,0.795332,0.372822,1
363803287,0.801616,0.373984,0.79623,0.373984,1
363803321,0.586176,0.370499,0.586176,0.370499,0
363803353,0.385099,0.367015,0.385099,0.367015,0
363803388,0.372531,0.376307,0.378815,0.371661,0
363803421,0.37702,0.370499,0.377917,0.371661,0
363803454,0.385099,0.365854,0.379713,0.370499,0
363803487,0.371634,0.358885,0.377917,0.368177,0
363803521,0.379713,0.358885,0.379713,0.358885,0
363803554,0.375224,0.368177,0.375224,0.368177,0
363803587,0.373429,0.365854,0.374327,0.367015,0
363803620,0.354578,0.376307,0.367145,0.370499,0
363803653,0.350987,0.382114,0.363555,0.372822,0
363803687,0.350987,0.373984,0.360862,0.372822,0
363803720,0.352783,0.379791,0.359066,0.373984,1
363803754,0.360862,0.37863,0.359066,0.375145,1
363803786,0.271993,0.368177,0.348294,0.373984,1
363803820,0.27289,0.373984,0.339318,0.373984,1
363803854,0.267504,0.372822,0.331239,0.373984,1
363803887,0.267504,0.377468,0.324057,0.373984,1
363803920,0.267504,0.373984,0.318671,0.373984,1
363803954,0.266607,0.371661,0.313285,0.373984,1
363803986,0.263016,0.371661,0.308797,0.373984,1
363804020,0.271993,0.367015,0.305206,0.372822,1
363804053,0.264811,0.371661,0.300718,0.372822,1
363804086,0.2693,0.376307,0.298025,0.372822,1
