tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
363848783,0.908438,0.362369,0.909336,0.360046,1
363848817,0.908438,0.376307,0.908438,0.360046,1
363848850,0.908438,0.363531,0.908438,0.361208,1
363848883,0.902154,0.349593,0.908438,0.360046,1
363848917,0.912029,0.361208,0.908438,0.360046,1
363848950,0.90754,0.347271,0.908438,0.358885,1
363848983,0.90395,0.351916,0.908438,0.358885,1
363849016,0.908438,0.351916,0.908438,0.357724,1
363849050,0.89228,0.363531,0.90754,0.357724,1
363849083,0.822262,0.356562,0.902154,0.357724,1
363849116,0.824955,0.368177,0.896768,0.358885,1
363849150,0.824955,0.354239,0.89228,0.358885,1
363849183,0.815978,0.350755,0.886894,0.357724,1
363849216,0.82316,0.371661,0.881508,0.358885,1
363849250,0.815081,0.361208,0.876122,0.358885,1
363849283,0.832136,0.367015,0.872531,0.358885,1
363849316,0.825853,0.348432,0.868043,0.358885,1
363849349,0.821364,0.360046,0.863555,0.358885,1
363849383,0.816876,0.361208,0.859066,0.358885,1
363849417,0.815081,0.356562,0.854578,0.358885,1
363849450,0.81149,0.356562,0.85009,0.358885,1
363849483,0.850987,0.515679,0.850987,0.515679,0
363849516,0.855476,0.509872,0.855476,0.509872,0
363849549,0.85009,0.511034,0.852783,0.509872,0
363849583,0.857271,0.513357,0.854578,0.511034,0
363849616,0.859964,0.501742,0.855476,0.508711,0
363849650,0.859964,0.501742,0.856373,0.507549,0
363849683,0.85368,0.494774,0.856373,0.505226,1
363849716,0.855476,0.493612,0.856373,0.502904,1
363849749,0.85009,0.514518,0.855476,0.505226,1
363849782,0.868043,0.500581,0.856373,0.504065,1
363849816,0.707361,0.385598,0.707361,0.385598,0
363849849,0.708259,0.383275,0.708259,0.383275,0
363849882,0.710952,0.38676,0.709156,0.384437,0
363849916,0.710952,0.383275,0.710054,0.384437,0
363849949,0.71544,0.37863,0.711849,0.383275,0
363849982,0.70377,0.373984,0.710054,0.380952,0
363850016,0.713645,0.389082,0.710952,0.382114,1
363850049,0.728905,0.383275,0.713645,0.382114,1
363850082,0.717235,0.382114,0.713645,0.382114,1
363850116,0.713645,0.389082,0.713645,0.383275,1
363850149,0.558348,0.465738,0.558348,0.465738,0
363850182,0.44614,0.569106,0.44614,0.569106,0
363850216,0.447038,0.571429,0.447038,0.570267,0
363850256,0.440754,0.574913,0.444345,0.571429,0
363850282,0.449731,0.57259,0.44614,0.57259,0
363850315,0.440754,0.576074,0.445242,0.57259,0
363850349,0.44614,0.574913,0.44614,0.574913,0
363850382,0.358169,0.599303,0.358169,0.599303,0
363850415,0.357271,0.601626,0.357271,0.600465,0
363850449,0.355476,0.599303,0.356373,0.600465,0
363850482,0.343806,0.603949,0.35368,0.600465,0
363850515,0.352783,0.598142,0.35368,0.600465,0
363850549,0.354578,0.593496,0.35368,0.599303,1
363850582,0.35368,0.590012,0.35368,0.598142,1
363850615,0.344704,0.591173,0.351885,0.59698,1
363850648,0.351885,0.598142,0.351885,0.59698,1
363850682,0.260323,0.396051,0.260323,0.396051,0
363850715,0.258528,0.369338,0.258528,0.369338,0
363850748,0.259425,0.372822,0.258528,0.371661,0
363850781,0.262118,0.383275,0.259425,0.375145,0
363850815,0.255835,0.364692,0.258528,0.372822,0
363850848,0.255835,0.375145,0.258528,0.372822,0
363850882,0.254039,0.380952,0.25763,0.375145,1
363850915,0.265709,0.379791,0.258528,0.375145,1
363850948,0.25763,0.37863,0.258528,0.376307,1
363850982,0.253142,0.375145,0.25763,0.376307,1
363851015,0.254039,0.377468,0.25763,0.376307,1
363851048,0.260323,0.377468,0.25763,0.376307,1
