tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
363784768,0.529623,0.384437,0.5386,0.38676,1
363784802,0.540395,0.401858,0.5386,0.38676,1
363784835,0.533214,0.389082,0.5386,0.38676,1
363784869,0.539497,0.39489,0.5386,0.387921,1
363784905,0.540395,0.400697,0.5386,0.387921,1
363784935,0.535009,0.39489,0.537702,0.387921,1
363784968,0.5386,0.400697,0.537702,0.389082,1
363785001,0.54219,0.393728,0.5386,0.390244,1
363785035,0.535009,0.397213,0.537702,0.390244,1
363785068,0.531418,0.391405,0.537702,0.390244,1
363785102,0.685817,0.397213,0.685817,0.397213,0
363785135,0.812388,0.360046,0.812388,0.360046,0
363785168,0.814183,0.367015,0.813285,0.363531,0
363785201,0.812388,0.361208,0.813285,0.362369,0
363785235,0.814183,0.368177,0.813285,0.363531,0
363785268,0.813285,0.362369,0.813285,0.363531,0
363785301,0.821364,0.368177,0.821364,0.368177,0
363785334,0.814183,0.371661,0.814183,0.371661,0
363785368,0.808797,0.365854,0.81149,0.368177,0
363785401,0.816876,0.371661,0.813285,0.369338,0
363785434,0.810592,0.361208,0.812388,0.368177,0
363785468,0.813285,0.361208,0.812388,0.365854,0
363785501,0.710054,0.371661,0.795332,0.367015,1
363785534,0.615799,0.368177,0.615799,0.368177,0
363785567,0.614901,0.367015,0.614901,0.367015,0
363785601,0.621185,0.372822,0.617594,0.369338,0
363785634,0.613106,0.369338,0.616697,0.369338,0
363785668,0.612208,0.365854,0.614901,0.368177,0
363785702,0.614004,0.369338,0.614901,0.369338,0
363785735,0.62298,0.375145,0.616697,0.370499,1
363785767,0.610413,0.379791,0.615799,0.371661,1
363785802,0.614901,0.37863,0.614901,0.372822,1
363785834,0.61939,0.365854,0.615799,0.371661,1
363785867,0.610413,0.37863,0.614901,0.372822,1
363785901,0.398564,0.383275,0.398564,0.383275,0
363785934,0.404847,0.379791,0.404847,0.379791,0
363785967,0.409336,0.389082,0.406643,0.384437,0
363786001,0.413824,0.387921,0.409336,0.385598,0
363786034,0.411131,0.389082,0.409336,0.38676,0
363786067,0.406643,0.389082,0.409336,0.38676,0
363786100,0.394075,0.377468,0.406643,0.385598,1
363786134,0.379713,0.389082,0.402154,0.385598,1
363786167,0.36535,0.392567,0.397666,0.38676,1
363786200,0.369838,0.387921,0.394075,0.38676,1
363786234,0.367145,0.385598,0.391382,0.38676,1
363786267,0.37702,0.389082,0.389587,0.38676,1
363786300,0.372531,0.387921,0.387792,0.38676,1
363786334,0.369838,0.389082,0.385996,0.387921,1
363786367,0.373429,0.398374,0.384201,0.387921,1
363786400,0.37702,0.385598,0.383303,0.387921,1
363786433,0.359066,0.390244,0.381508,0.387921,1
363786467,0.37702,0.38676,0.38061,0.387921,1
363786500,0.36535,0.38676,0.379713,0.387921,1
363786534,0.375224,0.389082,0.378815,0.387921,1
