tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
365312052,0.805206,0.413473,0.797127,0.41115,1
365312086,0.801616,0.415796,0.798025,0.41115,1
365312119,0.798025,0.423926,0.798025,0.412311,1
365312152,0.789946,0.416957,0.797127,0.412311,1
365312186,0.790844,0.420441,0.797127,0.413473,1
365312219,0.795332,0.412311,0.797127,0.413473,1
365312252,0.794434,0.409988,0.797127,0.413473,1
365312286,0.798025,0.409988,0.797127,0.413473,1
365312319,0.798025,0.408827,0.797127,0.413473,1
365312353,0.798025,0.414634,0.797127,0.413473,1
365312386,0.797127,0.41115,0.797127,0.413473,1
365312419,0.68851,0.464576,0.68851,0.464576,0
365312452,0.429982,0.839721,0.429982,0.839721,0
365312488,0.388689,0.953542,0.409336,0.896632,0
365312519,0.394075,0.948897,0.40395,0.914053,0
365312552,0.394075,0.938444,0.401257,0.921022,0
365312585,0.390485,0.930314,0.399461,0.922184,0
365312619,0.369838,0.87108,0.369838,0.87108,0
365312652,0.38061,0.845528,0.38061,0.845528,0
365312685,0.37702,0.836237,0.378815,0.840883,0
365312718,0.377917,0.878049,0.377917,0.853659,0
365312752,0.369838,0.858304,0.376122,0.85482,0
365312785,0.389587,0.873403,0.378815,0.858304,0
365312818,0.39228,0.823461,0.381508,0.852497,1
365312852,0.394973,0.851336,0.383303,0.852497,1
365312885,0.387792,0.875726,0.384201,0.85482,1
365312918,0.412926,0.882695,0.387792,0.858304,1
365312952,0.388689,0.860627,0.387792,0.858304,1
365312985,0.401257,0.900116,0.389587,0.86295,1
365313018,0.396768,0.869919,0.389587,0.864111,1
365313051,0.397666,0.880372,0.390485,0.865273,1
365313085,0.40395,0.894309,0.39228,0.867596,1
365313119,0.386894,0.849013,0.391382,0.866434,1
365313152,0.394075,0.875726,0.39228,0.867596,1
365313185,0.401257,0.900116,0.393178,0.869919,1
365313218,0.260323,0.648084,0.260323,0.648084,0
365313252,0.234291,0.606272,0.234291,0.606272,0
365313285,0.226212,0.592335,0.229803,0.599303,0
365313318,0.226212,0.61324,0.228905,0.603949,0
365313351,0.229803,0.598142,0.228905,0.602787,0
365313385,0.221724,0.58885,0.228007,0.599303,0
365313418,0.228905,0.615563,0.228007,0.602787,1
365313452,0.221724,0.593496,0.22711,0.601626,1
365313484,0.201975,0.420441,0.201975,0.420441,0
365313518,0.197487,0.421603,0.197487,0.421603,0
365313551,0.204668,0.423926,0.201077,0.422764,0
365313585,0.20018,0.41115,0.201077,0.41928,0
365313618,0.210054,0.426249,0.202873,0.420441,0
