tstamp,mouse_x,mouse_y
1428451161075,0.328546,0.55633
1428451161170,0.331239,0.557491
1428451161266,0.332136,0.559814
1428451161362,0.334829,0.559814
1428451161476,0.346499,0.554007
1428451161573,0.385099,0.536585
1428451161666,0.441652,0.511034
1428451161763,0.504488,0.480836
1428451161862,0.561041,0.445993
1428451161939,0.595153,0.426249
1428451162035,0.639138,0.40302
1428451162133,0.678636,0.383275
1428451162227,0.711849,0.368177
1428451162308,0.728007,0.358885
1428451162372,0.736086,0.351916
1428451162466,0.736086,0.342625
1428451162562,0.733393,0.333333
1428451162660,0.738779,0.319396
1428451162739,0.745063,0.311266
1428451162834,0.752244,0.299652
1428451162932,0.75404,0.293844
1428451163027,0.753142,0.295006
1428451163140,0.750449,0.297329
1428451163233,0.740574,0.301974
1428451163330,0.71544,0.311266
1428451163429,0.679533,0.318235
1428451163539,0.642729,0.317073
1428451163634,0.605027,0.315912
1428451163731,0.573609,0.315912
1428451163827,0.552065,0.31475
1428451163941,0.543986,0.312427
1428451164037,0.541293,0.310105
1428451164130,0.541293,0.307782
1428451164227,0.543088,0.30662
1428451164323,0.54219,0.30662
1428451164402,0.539497,0.30662
1428451164499,0.528725,0.308943
1428451164597,0.510772,0.312427
1428451164692,0.48474,0.31475
1428451164773,0.469479,0.315912
1428451164867,0.448833,0.318235
1428451164961,0.440754,0.317073
1428451165060,0.443447,0.31475
1428451165171,0.449731,0.312427
1428451165266,0.451526,0.311266
