tstamp,mouse_x,mouse_y
1428449909969,0.800718,0.37863
1428449910067,0.79982,0.37863
1428449910163,0.800718,0.377468
1428449910258,0.801616,0.376307
1428449910323,0.79982,0.375145
1428449910402,0.789048,0.376307
1428449910499,0.755835,0.384437
1428449910596,0.711849,0.390244
1428449910690,0.678636,0.391405
1428449910770,0.666966,0.392567
1428449910866,0.654399,0.392567
1428449910933,0.644524,0.392567
1428449911027,0.633752,0.391405
1428449911123,0.632855,0.389082
1428449911202,0.63465,0.387921
1428449911396,0.629264,0.385598
1428449911490,0.617594,0.383275
1428449911602,0.591562,0.38676
1428449911700,0.555655,0.390244
1428449911795,0.517953,0.392567
1428449911890,0.483842,0.39489
1428449912005,0.458707,0.397213
1428449912098,0.444345,0.399535
1428449912163,0.442549,0.400697
1428449912260,0.44614,0.399535
