tstamp,mouse_x,mouse_y
1428450451426,0.771095,0.684088
1428450451491,0.766607,0.687573
1428450451572,0.758528,0.691057
1428450451670,0.728007,0.699187
1428450451762,0.67684,0.711963
1428450451859,0.620287,0.739837
1428450451972,0.568223,0.771196
1428450452036,0.536804,0.789779
1428450452131,0.498205,0.821138
1428450452226,0.473968,0.858304
1428450452323,0.458707,0.890825
1428450452405,0.453321,0.905923
1428450452498,0.448833,0.916376
1428450452594,0.453321,0.917538
1428450452659,0.45781,0.915215
1428450452774,0.464991,0.9036
