tstamp,mouse_x,mouse_y
1428450363857,0.195691,0.502904
1428450363939,0.196589,0.504065
1428450364036,0.198384,0.505226
1428450364131,0.20018,0.508711
1428450364226,0.207361,0.509872
1428450364307,0.22711,0.513357
1428450364402,0.279174,0.521487
1428450364522,0.33842,0.527294
1428450364625,0.418312,0.541231
1428450364705,0.456014,0.552846
1428450364770,0.490126,0.570267
1428450364867,0.534111,0.595819
1428450364961,0.56912,0.614402
1428450365058,0.601436,0.629501
1428450365139,0.62298,0.636469
1428450365234,0.655296,0.645761
1428450365299,0.671454,0.651568
1428450365396,0.687612,0.653891
1428450365490,0.701975,0.651568
1428450365570,0.712747,0.650406
1428450365667,0.729802,0.655052
1428450365761,0.741472,0.658537
1428450365858,0.743267,0.659698
1428450365938,0.74237,0.660859
1428450366034,0.745063,0.663182
1428450366132,0.749551,0.666667
1428450366227,0.75404,0.667828
1428450366322,0.755835,0.66899
1428450366402,0.746858,0.672474
1428450366468,0.728905,0.681765
1428450366563,0.693896,0.703833
1428450366658,0.651706,0.735192
1428450366771,0.608618,0.767712
1428450366866,0.575404,0.803717
1428450366964,0.552065,0.847851
1428450367063,0.531418,0.880372
1428450367170,0.520646,0.897793
1428450367238,0.519749,0.902439
1428450367332,0.522442,0.902439
1428450367426,0.525135,0.896632
1428450367524,0.528725,0.885017
1428450367604,0.534111,0.874564
1428450367707,0.54219,0.860627
1428450367802,0.547576,0.851336
1428450367893,0.554758,0.837398
1428450368003,0.56553,0.794425
1428450368104,0.586176,0.732869
1428450368194,0.60772,0.674797
1428450368289,0.629264,0.617886
1428450368387,0.649013,0.544715
1428450368466,0.665171,0.495935
1428450368564,0.694794,0.43554
1428450368660,0.724416,0.385598
1428450368754,0.750449,0.344948
1428450368834,0.762119,0.329849
1428450368931,0.771993,0.313589
1428450369025,0.771993,0.299652
1428450369090,0.768402,0.29849
1428450369186,0.758528,0.31475
1428450369266,0.741472,0.346109
1428450369364,0.70377,0.415796
1428450369459,0.657092,0.477352
1428450369553,0.600539,0.530778
1428450369668,0.536804,0.576074
1428450369765,0.472172,0.60511
1428450369858,0.416517,0.615563
1428450369954,0.376122,0.619048
1428450370069,0.345601,0.616725
1428450370163,0.315978,0.598142
1428450370259,0.281867,0.577236
1428450370324,0.260323,0.571429
1428450370417,0.236086,0.57259
1428450370499,0.223519,0.574913
1428450370597,0.201975,0.58072
1428450370690,0.191203,0.590012
1428450370787,0.189408,0.59698
1428450370905,0.193896,0.598142
