tstamp,mouse_x,mouse_y
1428450651204,0.2693,0.250871
1428450651300,0.271095,0.252033
1428450651393,0.276481,0.255517
1428450651491,0.295332,0.26597
1428450651573,0.325853,0.281069
1428450651665,0.398564,0.333333
1428450651762,0.477558,0.401858
1428450651827,0.533214,0.441347
1428450651922,0.609515,0.480836
1428450652002,0.649013,0.500581
1428450652099,0.693896,0.526132
1428450652193,0.726212,0.549361
1428450652291,0.749551,0.574913
1428450652401,0.763914,0.593496
1428450652465,0.771095,0.600465
1428450652562,0.781867,0.610918
1428450652660,0.793537,0.619048
1428450652754,0.79982,0.623693
1428450652834,0.800718,0.620209
1428450652932,0.798923,0.608595
1428450653025,0.797127,0.577236
1428450653091,0.793537,0.537747
1428450653206,0.78456,0.463415
1428450653297,0.774686,0.391405
1428450653394,0.763914,0.332172
1428450653493,0.751347,0.277584
1428450653586,0.741472,0.235772
1428450653667,0.741472,0.224158
1428450653762,0.747756,0.225319
1428450653858,0.758528,0.236934
1428450653956,0.771095,0.24971
1428450654042,0.775584,0.25784
1428450654130,0.78097,0.270616
1428450654227,0.785458,0.285714
1428450654293,0.787253,0.29849
1428450654386,0.785458,0.308943
1428450654466,0.781867,0.313589
1428450654564,0.771993,0.327526
1428450654658,0.759426,0.363531
1428450654756,0.739677,0.408827
1428450654866,0.707361,0.464576
1428450654961,0.664273,0.538908
1428450655026,0.631059,0.593496
1428450655125,0.583483,0.663182
1428450655218,0.549372,0.724739
1428450655299,0.534111,0.761905
1428450655394,0.512567,0.809524
1428450655491,0.491023,0.839721
1428450655556,0.478456,0.850174
1428450655671,0.472172,0.859466
1428450655762,0.472172,0.864111
1428450655859,0.469479,0.866434
1428450655958,0.468582,0.869919
1428450656050,0.467684,0.875726
1428450656131,0.467684,0.87921
