tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
455179559,0.683124,0.406504,0.64632,0.406504,1
455179593,0.651706,0.405343,0.648115,0.407665,1
455179626,0.663375,0.409988,0.64991,0.407665,1
455179659,0.662478,0.429733,0.650808,0.409988,1
455179692,0.67325,0.416957,0.653501,0.409988,1
455179726,0.67325,0.40302,0.654399,0.409988,1
455179759,0.664273,0.421603,0.656194,0.409988,1
455179792,0.666966,0.413473,0.657092,0.41115,1
455179826,0.674147,0.398374,0.657989,0.409988,1
455179859,0.667864,0.41115,0.658887,0.409988,1
455179892,0.657989,0.38676,0.659785,0.408827,1
455179926,0.679533,0.408827,0.66158,0.408827,1
455179959,0.651706,0.426249,0.66158,0.409988,1
455179993,0.671454,0.41115,0.662478,0.409988,1
455180026,0.658887,0.418118,0.662478,0.41115,1
455180060,0.641831,0.577236,0.641831,0.577236,0
455180092,0.64991,0.573751,0.64991,0.573751,0
455180126,0.643627,0.577236,0.647217,0.574913,0
455180159,0.647217,0.578397,0.647217,0.576074,0
455180192,0.632855,0.562137,0.643627,0.57259,0
455180225,0.644524,0.574913,0.643627,0.57259,0
455180259,0.639138,0.573751,0.642729,0.57259,1
455180292,0.649013,0.61324,0.643627,0.578397,1
455180325,0.64991,0.57259,0.644524,0.578397,1
455180358,0.606822,0.590012,0.640036,0.579559,1
455180392,0.575404,0.610918,0.632855,0.583043,1
455180425,0.535009,0.645761,0.535009,0.645761,0
455180458,0.562837,0.634146,0.562837,0.634146,0
455180492,0.56553,0.603949,0.563734,0.619048,0
455180525,0.56553,0.641115,0.564632,0.626016,0
455180558,0.564632,0.638792,0.564632,0.629501,0
455180592,0.563734,0.614402,0.564632,0.626016,0
455180625,0.568223,0.643438,0.56553,0.629501,1
455180658,0.564632,0.617886,0.56553,0.627178,1
455180692,0.56553,0.620209,0.56553,0.627178,1
455180725,0.563734,0.579559,0.564632,0.62137,1
455180758,0.58079,0.485482,0.58079,0.485482,0
455180792,0.582585,0.430894,0.582585,0.430894,0
455180825,0.596948,0.456446,0.589767,0.44367,0
455180858,0.584381,0.455285,0.587971,0.448316,0
455180892,0.586176,0.444832,0.587074,0.447154,0
455180925,0.601436,0.450639,0.590664,0.448316,0
455180959,0.596948,0.462253,0.591562,0.450639,1
455180991,0.589767,0.47619,0.591562,0.454123,1
455181025,0.595153,0.42741,0.591562,0.450639,1
455181058,0.527828,0.486643,0.584381,0.455285,1
455181091,0.351885,0.628339,0.351885,0.628339,0
455181125,0.368941,0.612079,0.368941,0.612079,0
455181158,0.368941,0.639954,0.368941,0.626016,0
455181191,0.366248,0.622532,0.368043,0.624855,0
455181224,0.356373,0.606272,0.36535,0.620209,0
455181258,0.360862,0.600465,0.364452,0.616725,0
455181291,0.388689,0.530778,0.368043,0.601626,1
455181324,0.363555,0.571429,0.368043,0.59698,1
455181358,0.341113,0.471545,0.364452,0.58072,1
455181391,0.358169,0.487805,0.363555,0.569106,1
455181424,0.33842,0.466899,0.360862,0.557491,1
455181458,0.342908,0.504065,0.359066,0.551684,1
455181491,0.357271,0.475029,0.358169,0.543554,1
455181524,0.355476,0.448316,0.358169,0.534262,1
455181558,0.36535,0.480836,0.358169,0.528455,1
455181591,0.362657,0.483159,0.359066,0.52381,1
455181624,0.330341,0.455285,0.356373,0.518002,1
455181660,0.352783,0.454123,0.356373,0.512195,1
455181691,0.342908,0.452962,0.355476,0.506388,1
455181724,0.350987,0.461092,0.354578,0.502904,1
455181760,0.357271,0.480836,0.357271,0.480836,0
