tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
456015294,0.684022,0.522648,0.684022,0.527294,1
456015327,0.686715,0.54007,0.684022,0.528455,1
456015361,0.68851,0.505226,0.684022,0.526132,1
456015394,0.717235,0.507549,0.686715,0.524971,1
456015427,0.701077,0.511034,0.687612,0.52381,1
456015461,0.693896,0.518002,0.68851,0.52381,1
456015494,0.699282,0.54007,0.689408,0.524971,1
456015527,0.693896,0.516841,0.689408,0.52381,1
456015561,0.684022,0.512195,0.689408,0.52381,1
456015594,0.406643,0.643438,0.406643,0.643438,0
456015627,0.370736,0.584204,0.370736,0.584204,0
456015660,0.390485,0.620209,0.38061,0.601626,0
456015694,0.388689,0.622532,0.383303,0.609756,0
456015727,0.368941,0.60511,0.379713,0.608595,0
456015761,0.388689,0.565621,0.381508,0.599303,0
456015794,-0.827648,1.4158,-0.827648,1.4158,0
456015827,0.384201,0.608595,0.384201,0.608595,0
456015860,0.359066,0.577236,0.371634,0.592335,0
456015894,0.378815,0.651568,0.373429,0.612079,0
456015927,0.369838,0.682927,0.372531,0.630662,0
456015960,0.366248,0.616725,0.371634,0.627178,0
456015994,0.370736,0.663182,0.370736,0.663182,0
456016027,0.35368,0.593496,0.35368,0.593496,0
456016060,0.37702,0.583043,0.36535,0.587689,0
456016093,0.394075,0.614402,0.375224,0.59698,0
456016127,0.382406,0.653891,0.37702,0.610918,0
456016160,0.370736,0.650406,0.376122,0.619048,0
456016193,0.396768,0.663182,0.379713,0.627178,1
456016227,0.361759,0.600465,0.37702,0.623693,1
456016260,0.376122,0.59698,0.37702,0.620209,1
456016293,0.38061,0.630662,0.37702,0.62137,1
456016327,0.367145,0.601626,0.376122,0.619048,1
456016360,0.468582,0.391405,0.468582,0.391405,0
456016393,0.48474,0.0894309,0.48474,0.0894309,0
