tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
455992545,0.319569,0.40302,0.301616,0.487805,1
455992578,0.331239,0.423926,0.331239,0.423926,0
455992612,0.319569,0.407665,0.319569,0.407665,0
455992645,0.343806,0.423926,0.332136,0.415796,0
455992678,0.337522,0.444832,0.333932,0.425087,0
455992711,0.328546,0.407665,0.332136,0.420441,0
455992745,0.317774,0.383275,0.329443,0.413473,0
455992778,0.317774,0.393728,0.327648,0.409988,1
455992812,0.310592,0.406504,0.324955,0.408827,1
455992845,0.314183,0.440186,0.32316,0.413473,1
455992878,0.476661,0.326365,0.476661,0.326365,0
455992912,0.550269,0.313589,0.550269,0.313589,0
455992944,0.535907,0.286876,0.543088,0.300813,0
455992978,0.558348,0.292683,0.548474,0.297329,0
455993011,0.554758,0.333333,0.549372,0.30662,0
455993044,0.543986,0.305459,0.548474,0.30662,0
455993078,0.520646,0.341463,0.543986,0.312427,1
455993111,0.543986,0.289199,0.543986,0.308943,1
455993144,0.576302,0.313589,0.548474,0.310105,1
455993178,0.552065,0.31475,0.548474,0.310105,1
455993211,0.540395,0.328688,0.547576,0.312427,1
455993244,0.544883,0.326365,0.547576,0.313589,1
455993278,0.539497,0.305459,0.546679,0.313589,1
455993311,0.568223,0.442509,0.568223,0.442509,0
455993344,0.543986,0.653891,0.543986,0.653891,0
455993378,0.528725,0.74216,0.535907,0.698026,0
455993411,0.535009,0.711963,0.535907,0.702671,0
455993444,0.508977,0.69338,0.528725,0.700348,0
455993477,0.522442,0.679443,0.527828,0.695703,0
455993511,0.550269,0.674797,0.550269,0.674797,0
455993544,0.530521,0.666667,0.530521,0.666667,0
455993577,0.522442,0.696864,0.52693,0.681765,0
455993611,0.521544,0.721254,0.525135,0.694541,0
455993644,0.483842,0.650406,0.514363,0.684088,0
455993678,0.481149,0.699187,0.508079,0.686411,0
455993711,0.479354,0.713124,0.502693,0.691057,1
455993744,0.486535,0.689895,0.5,0.691057,1
455993778,0.492819,0.711963,0.499102,0.69338,1
455993812,0.453321,0.692218,0.493716,0.69338,1
455993845,0.438959,0.666667,0.487433,0.691057,1
455993878,0.416517,0.663182,0.480251,0.688734,1
455993911,0.43447,0.632985,0.475763,0.682927,1
455993945,0.414722,0.628339,0.469479,0.678281,1
455993978,0.341113,0.493612,0.341113,0.493612,0
455994011,0.368941,0.469222,0.368941,0.469222,0
455994045,0.363555,0.535424,0.366248,0.502904,0
455994078,0.346499,0.541231,0.359964,0.515679,0
455994111,0.38061,0.464576,0.364452,0.502904,0
455994144,0.37702,0.40302,0.367145,0.481998,0
455994178,0.368043,0.456446,0.367145,0.477352,1
455994211,0.395871,0.444832,0.371634,0.472706,1
455994244,0.334829,0.448316,0.367145,0.469222,1
455994278,0.376122,0.440186,0.368043,0.465738,1
455994311,0.351885,0.442509,0.366248,0.463415,1
455994344,0.377917,0.463415,0.367145,0.462253,1
455994378,0.47307,0.364692,0.47307,0.364692,0
455994411,0.426391,0.37863,0.426391,0.37863,0
455994445,0.460503,0.392567,0.443447,0.385598,0
455994478,0.443447,0.414634,0.443447,0.39489,0
455994511,0.451526,0.405343,0.445242,0.397213,0
455994544,0.447935,0.355401,0.44614,0.389082,0
455994577,0.436266,0.362369,0.444345,0.384437,1
455994611,0.491921,0.358885,0.451526,0.380952,1
455994644,0.503591,0.361208,0.458707,0.377468,1
455994677,0.476661,0.387921,0.460503,0.37863,1
455994711,0.481149,0.379791,0.463196,0.37863,1
455994744,0.496409,0.346109,0.466786,0.375145,1
455994777,0.485637,0.362369,0.468582,0.373984,1
455994811,0.505386,0.346109,0.472172,0.371661,1
455994844,0.482047,0.370499,0.47307,0.371661,1
455994877,0.498205,0.357724,0.475763,0.370499,1
455994911,0.483842,0.281069,0.476661,0.363531,1
455994944,0.507181,0.277584,0.479354,0.356562,1
455994977,0.479354,0.29849,0.479354,0.351916,1
455995010,0.485637,0.30662,0.480251,0.348432,1
455995044,0.496409,0.30662,0.482047,0.344948,1
455995077,0.48474,0.308943,0.482047,0.341463,1
455995110,0.489228,0.301974,0.482944,0.337979,1
455995144,0.500898,0.296167,0.48474,0.334495,1
455995177,0.482944,0.292683,0.48474,0.33101,1
455995210,0.431777,0.310105,0.482047,0.328688,1
455995244,0.440754,0.320558,0.480251,0.326365,1
455995277,0.451526,0.33101,0.478456,0.325203,1
455995311,0.460503,0.270616,0.477558,0.320558,1
455995344,0.445242,0.276423,0.475763,0.315912,1
455995377,0.448833,0.25784,0.473968,0.311266,1
455995410,0.439856,0.29036,0.472172,0.308943,1
455995443,0.466786,0.295006,0.471275,0.30662,1
