tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
454622036,0.684022,0.691057,0.717235,0.682927,1
454622069,0.696589,0.672474,0.71544,0.681765,1
454622103,0.710054,0.682927,0.714542,0.681765,1
454622136,0.708259,0.70151,0.713645,0.682927,1
454622169,0.705566,0.673635,0.713645,0.681765,1
454622203,0.71903,0.688734,0.713645,0.682927,1
454622236,0.697487,0.688734,0.712747,0.682927,1
454622269,0.71544,0.675958,0.712747,0.682927,1
454622303,0.709156,0.681765,0.711849,0.682927,1
454622336,0.707361,0.720093,0.711849,0.68525,1
454622369,0.705566,0.598142,0.710952,0.679443,1
454622436,0.668761,0.392567,0.668761,0.392567,0
454622469,0.647217,0.445993,0.657989,0.41928,0
454622502,0.655296,0.407665,0.657092,0.415796,0
454622536,0.655296,0.412311,0.657092,0.414634,0
454622569,0.631957,0.370499,0.651706,0.405343,0
454622602,0.600539,0.356562,0.642729,0.397213,1
454622636,0.595153,0.320558,0.635548,0.385598,1
454622669,0.585278,0.318235,0.629264,0.376307,1
454622702,0.588869,0.364692,0.623878,0.375145,1
454622736,0.587971,0.353078,0.61939,0.371661,1
454622769,0.573609,0.347271,0.573609,0.347271,0
454622802,0.657092,0.350755,0.657092,0.350755,0
454622835,0.66158,0.336818,0.658887,0.343786,0
454622869,0.682226,0.344948,0.666966,0.343786,0
454622902,0.68851,0.349593,0.672352,0.344948,0
454622935,0.675045,0.368177,0.67325,0.349593,0
454622969,0.675045,0.397213,0.67325,0.357724,1
454623002,0.654399,0.354239,0.670557,0.357724,1
454623036,0.505386,0.347271,0.505386,0.347271,0
454623435,0.566427,0.358885,0.51167,0.406504,1
454623468,0.701077,0.486643,0.701077,0.486643,0
454623502,0.710054,0.504065,0.710054,0.504065,0
454623535,0.702873,0.480836,0.706463,0.492451,0
454623568,0.712747,0.493612,0.708259,0.492451,0
454623602,0.704668,0.469222,0.707361,0.486643,0
454623635,0.71544,0.501742,0.709156,0.490128,0
454623668,0.712747,0.464576,0.710054,0.485482,1
454623701,0.720826,0.497096,0.711849,0.487805,1
454623735,0.706463,0.479675,0.710952,0.486643,1
454623768,0.702873,0.506388,0.710054,0.488966,1
454623802,0.720826,0.507549,0.710952,0.491289,1
454623835,0.70377,0.521487,0.710054,0.493612,1
454623868,0.712747,0.518002,0.710952,0.495935,1
454623901,0.71903,0.511034,0.711849,0.497096,1
454623935,0.708259,0.573751,0.710952,0.504065,1
454623968,0.71903,0.543554,0.711849,0.507549,1
454624001,0.718133,0.5482,0.712747,0.511034,1
454624034,0.708259,0.552846,0.711849,0.514518,1
454624068,0.711849,0.505226,0.711849,0.514518,1
454624101,0.727109,0.542393,0.712747,0.516841,1
454624134,0.744165,0.57259,0.71544,0.521487,1
454624168,0.737881,0.565621,0.716338,0.524971,1
454624201,0.7307,0.53194,0.718133,0.526132,1
454624234,0.570916,0.413473,0.570916,0.413473,0
