tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
456137397,0.670557,0.458769,0.670557,0.458769,0
456137432,0.706463,0.433217,0.68851,0.445993,0
456137464,0.685817,0.450639,0.687612,0.447154,0
456137498,0.677738,0.437863,0.685817,0.444832,0
456137530,0.663375,0.43554,0.681329,0.442509,0
456137564,0.677738,0.437863,0.680431,0.442509,1
456137730,0.517953,0.492451,0.517953,0.492451,0
456137763,0.530521,0.479675,0.530521,0.479675,0
456137797,0.541293,0.455285,0.535907,0.466899,0
456137830,0.555655,0.466899,0.543088,0.466899,0
456137863,0.543088,0.487805,0.543088,0.472706,0
456137896,0.625673,0.454123,0.560144,0.46806,0
456137930,0.798025,0.428571,0.798025,0.428571,0
456137963,0.789048,0.396051,0.789048,0.396051,0
456137997,0.779174,0.392567,0.78456,0.393728,0
456138030,0.786355,0.405343,0.78456,0.398374,0
456138063,0.788151,0.423926,0.785458,0.404181,0
456138097,0.776481,0.42741,0.783662,0.408827,0
456138130,0.788151,0.421603,0.78456,0.41115,1
456138163,0.78456,0.415796,0.78456,0.412311,1
456138197,0.793537,0.406504,0.785458,0.41115,1
456138231,0.774686,0.41115,0.78456,0.41115,1
456138263,0.770198,0.40302,0.782765,0.409988,1
456138297,0.781867,0.405343,0.782765,0.409988,1
456138330,0.782765,0.41115,0.782765,0.409988,1
456138363,0.773788,0.40302,0.781867,0.409988,1
456138396,0.74237,0.407665,0.778277,0.408827,1
456138429,0.64632,0.416957,0.64632,0.416957,0
456138463,0.632855,0.426249,0.632855,0.426249,0
456138496,0.644524,0.421603,0.638241,0.423926,0
456138529,0.642729,0.406504,0.640036,0.418118,0
456138563,0.671454,0.407665,0.648115,0.415796,0
456138596,0.643627,0.421603,0.647217,0.416957,0
456138629,0.662478,0.439024,0.64991,0.420441,1
456138662,0.652603,0.423926,0.64991,0.420441,1
456138696,0.449731,0.398374,0.449731,0.398374,0
456138729,0.381508,0.4518,0.381508,0.4518,0
456138762,0.377917,0.488966,0.379713,0.470383,0
456138796,0.383303,0.492451,0.38061,0.478513,0
456138829,0.416517,0.401858,0.389587,0.458769,0
456138862,0.412029,0.41928,0.394075,0.450639,0
456138896,0.423698,0.397213,0.399461,0.441347,1
456138929,0.414722,0.421603,0.401257,0.437863,1
456138962,0.402154,0.42741,0.402154,0.436702,1
456138996,0.421903,0.41928,0.40395,0.434379,1
456139029,0.41921,0.41928,0.405745,0.432056,1
456139062,0.370736,0.40302,0.403052,0.429733,1
456139096,0.344704,0.390244,0.397666,0.425087,1
456139129,0.35368,0.393728,0.393178,0.422764,1
456139165,0.361759,0.422764,0.390485,0.421603,1
456139195,0.344704,0.41928,0.386894,0.421603,1
456139229,0.345601,0.447154,0.383303,0.422764,1
456139262,0.360862,0.434379,0.381508,0.423926,1
