tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
453372664,0.637343,0.818815,0.637343,0.818815,0
453372698,0.614004,0.843206,0.625673,0.831591,0
453372731,0.613106,0.835075,0.621185,0.832753,0
453372764,0.606822,0.828107,0.617594,0.831591,0
453372798,0.629264,0.766551,0.620287,0.818815,0
453372831,0.638241,0.80604,0.62298,0.816492,1
453372864,0.620287,0.829268,0.62298,0.817654,1
453372897,0.630162,0.796748,0.623878,0.815331,1
453372931,0.54219,0.904762,0.54219,0.904762,0
453372964,0.413824,0.855981,0.413824,0.855981,0
453372997,0.402154,0.843206,0.40754,0.849013,0
453373031,0.412029,0.837398,0.409336,0.845528,0
453373064,0.383303,0.777003,0.403052,0.828107,0
453373097,0.166966,0.730546,0.354578,0.808362,0
453373132,0.157989,0.558653,0.157989,0.558653,0
453373165,0.139138,0.581882,0.139138,0.581882,0
453373198,0.158887,0.554007,0.149013,0.567944,0
453373231,0.14632,0.58072,0.148115,0.57259,0
453373268,0.172352,0.5482,0.154399,0.566783,0
453373302,0.141831,0.602787,0.151706,0.573751,0
453373331,0.155296,0.569106,0.152603,0.57259,1
453373364,0.148115,0.578397,0.151706,0.573751,1
453373397,0.156194,0.598142,0.152603,0.577236,1
453373430,0.164273,0.586527,0.153501,0.578397,1
453373464,0.143627,0.614402,0.152603,0.581882,1
453373497,0.157989,0.58885,0.153501,0.583043,1
453373530,0.183124,0.494774,0.156194,0.574913,1
453373564,0.171454,0.409988,0.171454,0.409988,0
453373597,0.191203,0.420441,0.191203,0.420441,0
453373630,0.177738,0.415796,0.184022,0.418118,0
453373663,0.184022,0.393728,0.184022,0.409988,0
453373697,0.182226,0.397213,0.184022,0.406504,0
453373730,0.175943,0.420441,0.182226,0.409988,0
453373763,0.183124,0.433217,0.182226,0.413473,1
453373797,0.175045,0.396051,0.181329,0.41115,1
453373830,0.170557,0.420441,0.180431,0.412311,1
453373863,0.183124,0.447154,0.180431,0.415796,1
453373897,0.17684,0.400697,0.180431,0.414634,1
453373930,0.184919,0.440186,0.180431,0.416957,1
453373964,0.184919,0.416957,0.180431,0.416957,1
453373997,0.179533,0.407665,0.180431,0.416957,1
453374031,0.175943,0.433217,0.180431,0.418118,1
453374066,0.17325,0.43554,0.179533,0.41928,1
453374099,0.198384,0.421603,0.181329,0.41928,1
453374130,0.170557,0.629501,0.170557,0.629501,0
453374163,0.167864,0.598142,0.167864,0.598142,0
453374196,0.171454,0.619048,0.169659,0.608595,0
453374230,0.183124,0.635308,0.174147,0.617886,0
453374263,0.185817,0.630662,0.17684,0.62137,0
453374296,0.170557,0.623693,0.175943,0.62137,0
453374329,0.170557,0.638792,0.175045,0.624855,1
453374363,0.182226,0.60511,0.175943,0.62137,1
453374396,0.167864,0.599303,0.175045,0.619048,1
453374429,0.151706,0.573751,0.172352,0.61324,1
453374463,0.17684,0.58072,0.172352,0.609756,1
453374496,0.177738,0.585366,0.17325,0.607433,1
453374530,0.193896,0.614402,0.175045,0.607433,1
453374563,0.145422,0.547038,0.172352,0.602787,1
453374596,0.157989,0.507549,0.171454,0.594657,1
453374629,0.14991,0.508711,0.169659,0.586527,1
453374663,0.151706,0.513357,0.167864,0.58072,1
453374696,0.157092,0.52381,0.166966,0.576074,1
453374729,0.151706,0.492451,0.166068,0.569106,1
453374763,0.156194,0.479675,0.165171,0.562137,1
453374797,0.14991,0.492451,0.163375,0.55633,1
453374830,0.165171,0.492451,0.163375,0.550523,1
453374863,0.160682,0.52381,0.163375,0.5482,1
453374896,0.16158,0.508711,0.163375,0.544715,1
453374929,0.139138,0.504065,0.16158,0.54007,1
453374962,0.167864,0.492451,0.16158,0.536585,1
453374996,0.152603,0.515679,0.160682,0.533101,1
453375029,0.157092,0.506388,0.159785,0.528455,1
453375062,0.163375,0.498258,0.159785,0.524971,1
453375095,0.150808,0.526132,0.158887,0.522648,1
453375129,0.148115,0.516841,0.157989,0.520325,1
453375162,0.156194,0.490128,0.157989,0.515679,1
453375195,0.164273,0.488966,0.157092,0.512195,1
453375229,0.141831,0.495935,0.156194,0.509872,1
453375262,0.150808,0.484321,0.156194,0.507549,1
453375295,0.151706,0.500581,0.155296,0.505226,1
453375329,0.141831,0.478513,0.154399,0.502904,1
453375362,0.156194,0.490128,0.153501,0.500581,1
453375395,0.17684,0.521487,0.155296,0.500581,1
453375429,0.139138,0.522648,0.154399,0.501742,1
453375462,0.158887,0.54007,0.154399,0.504065,1
453375495,0.151706,0.473868,0.154399,0.501742,1
