tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
453344453,0.486535,0.662021,0.486535,0.662021,0
453344488,0.431777,0.694541,0.431777,0.694541,0
453344520,0.386894,0.775842,0.409336,0.735192,0
453344553,0.45781,0.713124,0.425494,0.728223,0
453344586,0.381508,0.711963,0.414722,0.723577,0
453344620,0.447935,0.681765,0.421005,0.715447,0
453344653,0.371634,0.772358,0.412926,0.724739,1
453344688,0.307899,0.593496,0.307899,0.593496,0
453344721,0.163375,0.504065,0.163375,0.504065,0
453344753,0.140934,0.527294,0.151706,0.515679,0
453344786,0.153501,0.538908,0.152603,0.52381,0
453344819,0.159785,0.54007,0.154399,0.527294,0
453344853,0.156194,0.54007,0.154399,0.530778,0
453344886,0.155296,0.543554,0.155296,0.543554,0
453344919,0.156194,0.498258,0.156194,0.498258,0
453344953,0.175045,0.497096,0.166068,0.498258,0
453344986,0.167864,0.522648,0.166966,0.506388,0
453345019,0.153501,0.52381,0.163375,0.511034,0
453345053,0.163375,0.4518,0.163375,0.499419,0
453345086,0.166068,0.477352,0.163375,0.494774,1
453345119,0.168761,0.456446,0.164273,0.488966,1
453345152,0.172352,0.470383,0.165171,0.486643,1
453345186,0.388689,0.478513,0.388689,0.478513,0
453345219,0.738779,0.478513,0.738779,0.478513,0
453345252,0.748653,0.481998,0.744165,0.480836,0
453345286,0.735188,0.470383,0.741472,0.477352,0
453345319,0.729802,0.45993,0.737881,0.472706,0
453345352,0.727109,0.471545,0.736086,0.472706,0
453345386,0.751347,0.462253,0.751347,0.462253,0
453345419,0.781867,0.458769,0.781867,0.458769,0
453345453,0.773788,0.439024,0.778277,0.448316,0
453345486,0.779174,0.437863,0.778277,0.444832,0
453345519,0.791741,0.447154,0.781867,0.445993,0
453345552,0.768402,0.481998,0.779174,0.452962,0
453345585,0.805206,0.522648,0.783662,0.464576,1
453345619,0.802513,0.53194,0.786355,0.475029,1
453345652,0.795332,0.506388,0.787253,0.479675,1
453345685,0.798025,0.541231,0.789048,0.486643,1
453345719,0.798025,0.538908,0.789946,0.492451,1
453345753,0.782765,0.545877,0.789048,0.498258,1
453345785,0.807002,0.567944,0.790844,0.505226,1
453345819,0.772891,0.526132,0.789048,0.507549,1
453345852,0.81149,0.52381,0.791741,0.509872,1
453345885,0.79623,0.534262,0.791741,0.512195,1
453345918,0.795332,0.542393,0.791741,0.515679,1
453345952,0.797127,0.524971,0.792639,0.516841,1
453345985,0.777379,0.516841,0.791741,0.516841,1
453346019,0.74596,0.307782,0.74596,0.307782,0
453346052,0.737881,0.299652,0.737881,0.299652,0
453346085,0.751347,0.319396,0.745063,0.310105,0
453346118,0.728007,0.324042,0.738779,0.31475,0
453346152,0.753142,0.308943,0.74237,0.313589,0
453346185,0.744165,0.315912,0.743267,0.313589,0
453346219,0.732495,0.326365,0.741472,0.315912,1
453346253,0.727109,0.326365,0.738779,0.317073,1
