tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
453419327,0.25763,0.270616,0.248654,0.256678,1
453419360,0.252244,0.259001,0.249551,0.255517,1
453419393,0.250449,0.24971,0.250449,0.254355,1
453419427,0.246858,0.229965,0.250449,0.252033,1
453419460,0.231598,0.262485,0.249551,0.252033,1
453419493,0.251346,0.248548,0.250449,0.252033,1
453419526,0.254937,0.248548,0.250449,0.252033,1
453419560,0.251346,0.24971,0.250449,0.252033,1
453419593,0.51167,0.348432,0.51167,0.348432,0
453419626,0.781867,0.42741,0.781867,0.42741,0
453419660,0.782765,0.421603,0.782765,0.425087,0
453419693,0.7693,0.428571,0.778277,0.426249,0
453419726,0.78097,0.43554,0.778277,0.428571,0
453419761,0.775584,0.43554,0.778277,0.429733,0
453419794,0.780072,0.445993,0.780072,0.445993,0
453419827,0.772891,0.448316,0.772891,0.448316,0
453419859,0.778277,0.429733,0.775584,0.439024,0
453419896,0.822262,0.537747,0.790844,0.471545,0
453419926,0.805206,0.585366,0.794434,0.500581,0
453419959,0.794434,0.583043,0.794434,0.518002,0
453419993,0.812388,0.560976,0.798025,0.524971,1
453420026,0.801616,0.606272,0.798025,0.537747,1
453420059,0.803411,0.560976,0.798923,0.541231,1
453420093,0.787253,0.598142,0.798025,0.5482,1
453420126,0.802513,0.583043,0.798025,0.552846,1
453420160,0.783662,0.562137,0.797127,0.554007,1
453420192,0.798025,0.565621,0.797127,0.555168,1
453420226,0.795332,0.566783,0.797127,0.557491,1
453420259,0.807002,0.557491,0.807002,0.557491,0
453420292,0.764812,0.500581,0.764812,0.500581,0
453420326,0.640036,0.283391,0.701975,0.392567,0
453420359,0.635548,0.231127,0.679533,0.337979,0
453420392,0.638241,0.218351,0.668761,0.307782,0
453420426,0.636445,0.204413,0.662478,0.285714,0
453420459,0.642729,0.219512,0.642729,0.219512,0
453420492,0.64632,0.227642,0.64632,0.227642,0
453420526,0.772891,0.328688,0.709156,0.277584,0
453420559,0.774686,0.351916,0.731598,0.303136,0
453420592,0.774686,0.329849,0.74237,0.310105,0
453420626,0.762119,0.350755,0.746858,0.318235,0
453420659,0.7693,0.348432,0.7693,0.348432,0
453420693,0.764812,0.347271,0.764812,0.347271,0
453420726,0.774686,0.363531,0.7693,0.355401,0
453420759,0.772891,0.372822,0.771095,0.361208,0
453420792,0.781867,0.333333,0.773788,0.354239,0
453420825,0.767505,0.343786,0.771993,0.351916,0
453420858,0.776481,0.337979,0.772891,0.349593,1
453420892,0.780072,0.333333,0.773788,0.347271,1
453420925,0.7693,0.334495,0.773788,0.344948,1
453420958,0.761221,0.354239,0.771993,0.346109,1
453420992,0.714542,0.624855,0.714542,0.624855,0
453421025,0.64991,0.891986,0.64991,0.891986,0
453421058,0.663375,0.849013,0.656194,0.87108,0
453421092,0.663375,0.831591,0.658887,0.857143,0
453421125,0.645422,0.904762,0.655296,0.869919,0
453421158,0.652603,0.881533,0.654399,0.872242,0
453421192,0.637343,0.89547,0.637343,0.89547,0
453421225,0.667864,0.86295,0.667864,0.86295,0
453421258,0.59605,0.878049,0.631957,0.869919,0
453421291,0.613106,0.849013,0.625673,0.86295,0
453421325,0.609515,0.874564,0.621185,0.866434,0
453421358,0.477558,0.815331,0.59246,0.855981,0
453421392,0.473968,0.87108,0.473968,0.87108,0
453421426,0.466786,0.900116,0.466786,0.900116,0
453421459,0.427289,0.83856,0.447038,0.868757,0
453421491,0.459605,0.88734,0.451526,0.874564,0
453421525,0.447038,0.932636,0.449731,0.889663,0
453421558,0.450628,0.874564,0.450628,0.886179,0
453421591,0.449731,0.853659,0.450628,0.881533,1
453421625,0.449731,0.893148,0.449731,0.882695,1
453421658,0.452424,0.780488,0.450628,0.869919,1
453421691,0.44614,0.936121,0.449731,0.876887,1
453421724,0.426391,0.840883,0.447038,0.873403,1
453421758,0.450628,0.973287,0.447935,0.882695,1
453421791,0.4614,0.837398,0.448833,0.87921,1
453421824,0.438959,0.891986,0.447935,0.880372,1
453421858,0.455117,0.897793,0.448833,0.881533,1
453421891,0.458707,0.833914,0.449731,0.878049,1
453421924,0.444345,0.886179,0.448833,0.878049,1
453421958,0.444345,0.783972,0.448833,0.87108,1
