tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
453506557,0.267504,0.277584,0.260323,0.264808,1
453506591,0.581688,0.429733,0.581688,0.429733,0
453506624,0.772891,0.581882,0.772891,0.581882,0
453506657,0.782765,0.536585,0.778277,0.559814,0
453506690,0.788151,0.550523,0.78097,0.55633,0
453506724,0.770198,0.557491,0.778277,0.55633,0
453506757,0.786355,0.586527,0.780072,0.562137,0
453506790,0.773788,0.562137,0.773788,0.562137,0
453506823,0.770198,0.542393,0.770198,0.542393,0
453506857,0.806104,0.627178,0.788151,0.585366,0
453506890,0.818671,0.60511,0.798923,0.592335,0
453506923,0.830341,0.606272,0.806104,0.595819,0
453506957,0.825853,0.626016,0.810592,0.601626,0
453506990,0.82316,0.606272,0.812388,0.602787,1
453507023,0.818671,0.615563,0.814183,0.60511,1
453507058,0.812388,0.591173,0.813285,0.602787,1
453507092,0.815978,0.570267,0.814183,0.599303,1
453507124,0.816876,0.624855,0.814183,0.601626,1
453507157,0.79982,0.639954,0.813285,0.606272,1
453507190,0.807899,0.587689,0.812388,0.603949,1
453507224,0.807899,0.619048,0.812388,0.60511,1
453507257,0.738779,0.659698,0.806104,0.609756,1
453507292,0.732495,0.760743,0.732495,0.760743,0
453507325,0.752244,0.678281,0.752244,0.678281,0
453507356,0.74237,0.684088,0.746858,0.681765,0
453507390,0.729802,0.692218,0.741472,0.68525,0
453507423,0.744165,0.713124,0.74237,0.692218,0
453507456,0.744165,0.70151,0.74237,0.69338,0
453507490,0.738779,0.684088,0.741472,0.692218,1
453507523,0.746858,0.716609,0.74237,0.695703,1
453507556,0.727109,0.680604,0.740574,0.69338,1
453507589,0.749551,0.694541,0.741472,0.694541,1
453507623,0.745063,0.716609,0.74237,0.696864,1
453507656,0.732495,0.736353,0.741472,0.700348,1
453507689,0.672352,0.752613,0.734291,0.704994,1
453507723,0.671454,0.706156,0.728905,0.706156,1
453507756,0.666966,0.756098,0.723519,0.70964,1
453507789,0.686715,0.753775,0.719928,0.714286,1
453507823,0.678636,0.773519,0.716338,0.718931,1
453507856,0.691203,0.739837,0.714542,0.721254,1
453507889,0.685817,0.778165,0.711849,0.7259,1
453507923,0.591562,0.861789,0.591562,0.861789,0
453507956,0.564632,0.858304,0.564632,0.858304,0
453507991,0.590664,0.819977,0.577199,0.83856,0
453508024,0.601436,0.83856,0.585278,0.83856,0
453508056,0.608618,0.828107,0.591562,0.836237,0
453508089,0.601436,0.781649,0.593357,0.824623,0
453508122,0.581688,0.857143,0.591562,0.83043,1
453508156,0.60772,0.804878,0.594255,0.826945,1
453508189,0.593357,0.858304,0.594255,0.83043,1
453508222,0.579892,0.866434,0.59246,0.835075,1
453508256,0.566427,0.770035,0.589767,0.828107,1
453508289,0.637343,0.702671,0.637343,0.702671,0
453508322,0.689408,0.400697,0.689408,0.400697,0
453508356,0.719928,0.259001,0.704668,0.329849,0
453508389,0.706463,0.252033,0.705566,0.303136,0
453508422,0.702873,0.254355,0.704668,0.29036,0
453508456,0.701975,0.259001,0.704668,0.284553,0
453508489,0.711849,0.254355,0.711849,0.254355,0
453508522,0.707361,0.242741,0.707361,0.242741,0
453508555,0.727109,0.260163,0.717235,0.250871,0
453508589,0.698384,0.246225,0.710952,0.24971,0
453508622,0.768402,0.337979,0.725314,0.271777,0
453508655,0.776481,0.336818,0.736086,0.285714,0
453508689,0.787253,0.320558,0.745063,0.291521,1
453508723,0.774686,0.321719,0.749551,0.296167,1
453508757,0.778277,0.308943,0.753142,0.29849,1
453508789,0.771095,0.320558,0.755835,0.300813,1
453508823,0.78097,0.321719,0.758528,0.303136,1
453508855,0.770198,0.311266,0.760323,0.304297,1
453508888,0.789048,0.320558,0.763016,0.30662,1
453508925,0.776481,0.312427,0.764812,0.30662,1
453508955,0.764812,0.310105,0.764812,0.307782,1
453508988,0.766607,0.321719,0.765709,0.308943,1
453509022,0.766607,0.311266,0.765709,0.308943,1
453509056,0.570916,0.139373,0.570916,0.139373,0
453509088,0.500898,0.00116144,0.500898,0.00116144,0
