tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
453465723,0.489228,0.188153,0.501795,0.195122,0
453465757,0.494614,0.196283,0.5,0.196283,0
453465790,0.496409,0.204413,0.499102,0.197445,1
453465823,0.510772,0.206736,0.500898,0.198606,1
453465857,0.491921,0.197445,0.5,0.198606,1
453465890,0.495512,0.188153,0.499102,0.197445,1
453465923,0.491921,0.204413,0.498205,0.198606,1
453465956,0.5,0.18583,0.498205,0.197445,1
453465990,0.508977,0.190476,0.499102,0.196283,1
453466023,0.48833,0.192799,0.498205,0.196283,1
453466056,0.508977,0.220674,0.499102,0.197445,1
453466090,0.485637,0.181185,0.498205,0.196283,1
453466123,0.494614,0.200929,0.498205,0.197445,1
453466156,0.54219,0.214866,0.500898,0.198606,1
453466190,0.7693,0.332172,0.7693,0.332172,0
453466223,0.761221,0.333333,0.761221,0.333333,0
453466256,0.749551,0.337979,0.754937,0.335656,0
453466289,0.75404,0.335656,0.754937,0.335656,0
453466324,0.75404,0.361208,0.754937,0.342625,0
453466357,0.758528,0.334495,0.754937,0.340302,0
453466389,0.739677,0.360046,0.752244,0.343786,1
453466424,0.762119,0.350755,0.75404,0.344948,1
453466456,0.762119,0.347271,0.754937,0.344948,1
453466489,0.748653,0.335656,0.75404,0.343786,1
453466523,0.75404,0.333333,0.75404,0.342625,1
453466556,0.745063,0.351916,0.753142,0.343786,1
453466589,0.760323,0.342625,0.75404,0.343786,1
453466622,0.684022,0.29849,0.747756,0.340302,1
453466656,0.535907,0.202091,0.535907,0.202091,0
453466689,0.54219,0.206736,0.54219,0.206736,0
453466722,0.522442,0.199768,0.532316,0.203252,0
453466756,0.514363,0.195122,0.526032,0.199768,0
453466789,0.541293,0.193961,0.530521,0.198606,0
453466822,0.529623,0.190476,0.529623,0.197445,0
453466856,0.533214,0.178862,0.530521,0.193961,1
453466889,0.529623,0.190476,0.530521,0.193961,1
453466922,0.544883,0.162602,0.532316,0.189315,1
453466956,0.535907,0.167247,0.532316,0.186992,1
453466989,0.539497,0.163763,0.533214,0.183508,1
453467022,0.554758,0.186992,0.535907,0.184669,1
453467056,0.529623,0.167247,0.535009,0.182346,1
453467089,0.550269,0.170732,0.536804,0.181185,1
453467122,0.5386,0.193961,0.536804,0.182346,1
453467156,0.354578,0.428571,0.354578,0.428571,0
453467189,0.231598,0.686411,0.231598,0.686411,0
453467222,0.239677,0.83856,0.235189,0.761905,0
453467258,0.2307,0.809524,0.234291,0.778165,0
453467288,0.243268,0.818815,0.236086,0.788618,0
453467322,0.237882,0.826945,0.236984,0.796748,0
453467355,0.252244,0.819977,0.252244,0.819977,0
453467388,0.231598,0.819977,0.231598,0.819977,0
453467422,0.236086,0.845528,0.234291,0.832753,0
453467455,0.233393,0.779326,0.233393,0.81417,0
453467488,0.240575,0.818815,0.235189,0.815331,0
453467522,0.236984,0.743322,0.236086,0.801394,0
453467555,0.201077,0.759582,0.229803,0.793264,1
453467588,0.195691,0.664344,0.195691,0.664344,0
453467622,0.193896,0.691057,0.193896,0.691057,0
453467655,0.190305,0.711963,0.192101,0.70151,0
453467688,0.210054,0.642276,0.198384,0.681765,0
453467722,0.189408,0.67712,0.195691,0.680604,0
453467755,0.189408,0.706156,0.194794,0.686411,0
453467788,0.174147,0.692218,0.191203,0.686411,1
453467821,0.17684,0.622532,0.189408,0.67712,1
453467857,0.156194,0.569106,0.184919,0.663182,1
453467889,0.151706,0.58072,0.180431,0.652729,1
453467922,0.150808,0.584204,0.177738,0.645761,1
453467955,0.158887,0.579559,0.175045,0.637631,1
453467989,0.155296,0.55633,0.17325,0.629501,1
453468022,0.178636,0.570267,0.17325,0.623693,1
453468055,0.156194,0.585366,0.171454,0.620209,1
453468088,0.16158,0.58072,0.170557,0.615563,1
453468121,0.157092,0.577236,0.169659,0.612079,1
453468155,0.158887,0.57259,0.168761,0.608595,1
453468188,0.151706,0.570267,0.166966,0.60511,1
453468221,0.14632,0.555168,0.165171,0.600465,1
453468254,0.154399,0.541231,0.164273,0.595819,1
453468288,0.151706,0.558653,0.163375,0.592335,1
453468321,0.14632,0.563298,0.16158,0.590012,1
453468354,0.152603,0.571429,0.160682,0.587689,1
