tstamp,mouse_x,mouse_y
1428527734402,0.228007,0.478513
1428527734501,0.231598,0.478513
1428527734565,0.235189,0.477352
1428527734675,0.24237,0.478513
1428527734771,0.250449,0.477352
1428527734869,0.276481,0.470383
1428527734963,0.333034,0.455285
1428527735043,0.38061,0.44367
1428527735141,0.456014,0.429733
1428527735234,0.517953,0.415796
1428527735301,0.552065,0.408827
1428527735396,0.596948,0.398374
1428527735474,0.624776,0.391405
1428527735571,0.660682,0.38676
1428527735668,0.689408,0.383275
1428527735764,0.714542,0.37863
1428527735879,0.733393,0.376307
1428527735974,0.736086,0.372822
1428527736066,0.721723,0.370499
1428527736165,0.687612,0.368177
1428527736274,0.640036,0.371661
1428527736371,0.59246,0.383275
1428527736468,0.552962,0.396051
1428527736530,0.529623,0.401858
1428527736626,0.498205,0.412311
1428527736707,0.479354,0.41928
1428527736806,0.454219,0.430894
1428527736900,0.435368,0.441347
1428527736997,0.416517,0.450639
1428527737106,0.395871,0.458769
1428527737170,0.38061,0.462253
1428527737267,0.360862,0.469222
1428527737363,0.347397,0.473868
1428527737457,0.337522,0.477352
1428527737540,0.333034,0.478513
1428527737635,0.329443,0.478513
1428527737733,0.32675,0.46806
1428527737833,0.322262,0.450639
1428527737939,0.315081,0.430894
1428527738037,0.306104,0.413473
1428527738133,0.297127,0.398374
1428527738228,0.287253,0.387921
1428527738339,0.277379,0.379791
1428527738405,0.27289,0.373984
