tstamp,mouse_x,mouse_y
1428527456173,0.205566,0.38676
1428527456260,0.213645,0.390244
1428527456358,0.219928,0.392567
1428527456437,0.225314,0.392567
1428527456532,0.250449,0.393728
1428527456630,0.31149,0.391405
1428527456723,0.394075,0.390244
1428527456842,0.465889,0.392567
1428527456936,0.526032,0.396051
1428527457028,0.586176,0.40302
1428527457124,0.640934,0.413473
1428527457235,0.684022,0.41928
1428527457332,0.716338,0.425087
1428527457429,0.737881,0.422764
1428527457492,0.752244,0.418118
1428527457589,0.772891,0.412311
1428527457672,0.782765,0.407665
1428527457771,0.791741,0.39489
1428527457872,0.794434,0.380952
1428527457968,0.789946,0.383275
1428527458074,0.785458,0.383275
1428527458163,0.766607,0.383275
1428527458262,0.71544,0.382114
1428527458355,0.641831,0.377468
1428527458471,0.570018,0.373984
1428527458564,0.509874,0.372822
1428527458658,0.464093,0.372822
1428527458774,0.428187,0.373984
1428527458851,0.397666,0.373984
1428527458931,0.381508,0.372822
1428527459030,0.366248,0.371661
1428527459124,0.359964,0.369338
1428527459220,0.36535,0.370499
1428527459302,0.375224,0.372822
1428527459393,0.402154,0.375145
1428527459459,0.431777,0.380952
1428527459557,0.487433,0.397213
1428527459650,0.550269,0.416957
1428527459729,0.590664,0.432056
1428527459828,0.64632,0.452962
1428527459922,0.690305,0.465738
1428527459988,0.713645,0.47619
1428527460085,0.737881,0.486643
1428527460162,0.748653,0.491289
1428527460257,0.755835,0.494774
