tstamp,mouse_x,mouse_y
1428524801248,0.2693,0.242741
1428524801248,0.291741,0.254355
1428524801270,0.291741,0.256678
1428524801366,0.289946,0.256678
1428524801462,0.286355,0.255517
1428524801543,0.286355,0.254355
1428524801640,0.290844,0.254355
1428524801732,0.305206,0.253194
1428524801828,0.325853,0.253194
1428524801910,0.337522,0.253194
1428524802005,0.346499,0.254355
1428524802101,0.350987,0.253194
1428524802199,0.346499,0.254355
1428524802310,0.336625,0.254355
1428524802406,0.324057,0.252033
1428524802500,0.318671,0.24971
1428524802595,0.29982,0.248548
1428524802694,0.271993,0.245064
1428524802777,0.263914,0.243902
1428524802867,0.266607,0.242741
1428524802933,0.27289,0.242741
1428524803032,0.291741,0.246225
1428524803141,0.324955,0.246225
1428524803238,0.364452,0.243902
1428524803332,0.403052,0.243902
1428524803428,0.435368,0.240418
1428524803494,0.451526,0.233449
1428524803576,0.465889,0.222997
1428524803668,0.483842,0.196283
1428524803765,0.501795,0.164925
1428524803860,0.518851,0.138211
1428524803973,0.533214,0.118467
1428524804068,0.543986,0.108014
1428524804164,0.549372,0.105691
1428524804261,0.552065,0.108014
1428524804374,0.550269,0.114983
1428524804468,0.547576,0.127758
1428524804565,0.543986,0.14518
1428524804660,0.540395,0.168409
1428524804725,0.536804,0.18583
1428524804805,0.531418,0.206736
1428524804902,0.517953,0.24971
1428524804996,0.495512,0.307782
1428524805094,0.466786,0.364692
1428524805208,0.432675,0.423926
1428524805300,0.399461,0.487805
1428524805397,0.373429,0.545877
1428524805492,0.344704,0.594657
1428524805606,0.319569,0.636469
1428524805701,0.298025,0.66899
1428524805797,0.280072,0.699187
1428524805893,0.260323,0.722416
1428524805958,0.247756,0.735192
1428524806067,0.231598,0.743322
1428524806164,0.223519,0.74216
1428524806262,0.220826,0.732869
1428524806357,0.219928,0.720093
1428524806437,0.220826,0.714286
1428524806534,0.223519,0.704994
1428524806627,0.226212,0.698026
