tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
317852901,0.231967,0.346835,1.12541,0.26076,0
317852934,0.233607,0.481013,0.901639,0.318987,0
317852969,0.222951,0.440506,0.762295,0.34557,0
317853000,0.209016,0.446835,0.209016,0.446835,0
317853034,0.208197,0.427848,0.208197,0.427848,0
317853067,0.22377,0.431646,0.215574,0.43038,0
317853101,0.236066,0.437975,0.222951,0.432911,0
317853134,0.219672,0.448101,0.222131,0.436709,0
317853167,0.220492,0.443038,0.222131,0.437975,0
317853201,0.204918,0.443038,0.218852,0.439241,1
317853234,0.231148,0.440506,0.220492,0.439241,1
317853267,0.208197,0.426582,0.218852,0.437975,1
317853300,0.227869,0.405063,0.219672,0.434177,1
317853333,0.20082,0.422785,0.218033,0.432911,1
317853367,0.221311,0.435443,0.218033,0.432911,1
317853400,0.552459,0.524051,0.552459,0.524051,0
317853433,0.602459,0.493671,0.602459,0.493671,0
317853467,0.612295,0.465823,0.607377,0.479747,0
317853500,0.606557,0.468354,0.607377,0.475949,0
317853533,0.603279,0.520253,0.605738,0.487342,0
317853567,0.618852,0.520253,0.609016,0.493671,0
317853600,0.627049,0.532911,0.611475,0.5,1
317853638,0.642623,0.564557,0.616393,0.510127,1
317853667,0.604918,0.503797,0.614754,0.510127,1
317853700,0.583607,0.517722,0.611475,0.511392,1
317853733,0.612295,0.527848,0.611475,0.512658,1
317853766,0.602459,0.498734,0.610656,0.511392,1
317853800,0.605738,0.511392,0.609836,0.511392,1
317853833,0.593443,0.468354,0.608197,0.508861,1
317853867,0.62377,0.475949,0.609836,0.505063,1
317853900,0.35,0.417722,0.35,0.417722,0
317853933,0.3,0.405063,0.3,0.405063,0
317853967,0.298361,0.418987,0.29918,0.411392,0
317854000,0.290984,0.396203,0.295902,0.406329,0
317854166,0.313115,0.389873,0.304098,0.335443,1
317854199,0.294262,0.417722,0.303279,0.344304,1
317854233,0.292623,0.396203,0.301639,0.349367,1
317854266,0.283607,0.408861,0.3,0.355696,1
317854299,0.291803,0.363291,0.29918,0.356962,1
317854333,0.303279,0.397468,0.3,0.360759,1
317854366,0.277869,0.378481,0.297541,0.362025,1
317854399,0.291803,0.388608,0.297541,0.364557,1
317854433,0.290164,0.379747,0.296721,0.365823,1
317854466,0.302459,0.392405,0.296721,0.368354,1
317854499,0.30082,0.422785,0.297541,0.372152,1
317854532,0.302459,0.401266,0.297541,0.374684,1
