tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
318213380,0.579508,0.343038,0.578689,0.313924,0
318213413,0.458197,0.318987,0.554098,0.31519,0
318213446,0.511475,0.325316,0.546721,0.317722,1
318213480,0.465574,0.322785,0.534426,0.317722,1
318213513,0.47623,0.289873,0.52623,0.31519,1
318213546,0.47377,0.317722,0.519672,0.31519,1
318213579,0.481148,0.344304,0.514754,0.318987,1
318213613,0.491803,0.348101,0.512295,0.321519,1
318213646,0.47623,0.340506,0.508197,0.322785,1
318213679,0.438525,0.327848,0.501639,0.324051,1
318213714,0.466393,0.308861,0.498361,0.322785,1
318213746,0.458197,0.343038,0.494262,0.324051,1
318213779,0.461475,0.311392,0.490984,0.324051,1
318213814,0.593443,0.367089,0.497541,0.326582,1
318213846,0.592623,0.416456,0.504098,0.332911,1
318213880,0.571311,0.394937,0.508197,0.337975,1
318213914,0.609836,0.41519,0.514754,0.343038,1
318213946,0.57377,0.41519,0.518852,0.349367,1
318213979,0.579508,0.418987,0.523771,0.35443,1
318214013,0.589344,0.397468,0.528689,0.358228,1
318214046,0.57377,0.412658,0.531967,0.362025,1
318214079,0.616393,0.396203,0.537705,0.365823,1
318214113,0.579508,0.401266,0.541803,0.368354,1
318214146,0.6,0.406329,0.545902,0.372152,1
318214179,0.629508,0.386076,0.552459,0.373418,1
318214213,0.701639,0.251899,0.701639,0.251899,0
318214246,0.734426,0.302532,0.734426,0.302532,0
318214279,0.708197,0.268354,0.721311,0.286076,0
318214313,0.737705,0.292405,0.727049,0.287342,0
318214346,0.707377,0.25443,0.722131,0.279747,0
318214379,0.720492,0.287342,0.721311,0.281013,0
318214413,0.716393,0.279747,0.720492,0.281013,1
318214446,0.70082,0.274684,0.718033,0.279747,1
318214479,0.698361,0.272152,0.715574,0.278481,1
318214513,0.734426,0.277215,0.717213,0.278481,1
318214545,0.712295,0.303797,0.716393,0.281013,1
318214579,0.677049,0.483544,0.713115,0.301266,1
318214614,0.662295,0.487342,0.708197,0.318987,1
318214646,0.657377,0.525316,0.657377,0.525316,0
318214679,0.654098,0.453165,0.654098,0.453165,0
318214713,0.67623,0.502532,0.665574,0.477215,0
318214745,0.622131,0.46962,0.65082,0.474684,0
318214778,0.628689,0.494937,0.645082,0.479747,0
318214813,0.617213,0.51519,0.639344,0.487342,0
318214845,0.634426,0.570886,0.638525,0.501266,1
318214878,0.653279,0.526582,0.640984,0.505063,1
318214912,0.613115,0.516456,0.636885,0.506329,1
318214945,0.622951,0.511392,0.635246,0.507595,1
318214978,0.636066,0.573418,0.635246,0.51519,1
318215013,0.629508,0.513924,0.634426,0.51519,1
318215045,0.651639,0.53924,0.636066,0.517722,1
318215078,0.739344,0.472152,0.645082,0.513924,1
318215112,0.734426,0.45443,0.652459,0.508861,1
318215145,0.763934,0.44557,0.661475,0.503797,1
318215178,0.726229,0.441772,0.667213,0.5,1
318215212,0.786066,0.44557,0.67623,0.494937,1
318215245,0.751639,0.425316,0.682787,0.489873,1
318215278,0.730328,0.443038,0.686885,0.486076,1
318215312,0.761475,0.451899,0.692623,0.483544,1
318215345,0.763934,0.459494,0.69918,0.481013,1
318215378,0.759836,0.459494,0.704098,0.479747,1
318215413,0.748361,0.443038,0.708197,0.475949,1
318215445,0.747541,0.441772,0.712295,0.473418,1
318215478,0.754918,0.431646,0.715574,0.46962,1
318215513,0.769672,0.422785,0.720492,0.465823,1
318215545,0.773771,0.434177,0.72541,0.463291,1
318215578,0.783607,0.44557,0.730328,0.462025,1
318215612,0.759836,0.424051,0.732787,0.458228,1
318215644,0.772131,0.482278,0.736885,0.459494,1
318215678,0.754918,0.420253,0.740164,0.455696,1
318215712,0.792623,0.44557,0.744262,0.45443,1
318215744,0.754918,0.410127,0.746721,0.450633,1
