tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
317919506,0.359836,0.332911,0.359836,0.332911,0
317919522,0.295902,0.255696,0.295902,0.255696,0
317919547,0.302459,0.259494,0.29918,0.256962,0
317919580,0.27459,0.236709,0.290984,0.250633,0
317919614,0.27377,0.227848,0.286885,0.24557,0
317919647,0.288525,0.224051,0.286885,0.240506,0
317919680,0.254918,0.253165,0.281148,0.243038,1
317919713,0.272131,0.270886,0.279508,0.246835,1
317919746,0.259836,0.263291,0.277049,0.249367,1
317919780,0.25,0.243038,0.27377,0.248101,1
317919813,0.267213,0.250633,0.272951,0.248101,1
317919846,0.278689,0.250633,0.27377,0.249367,1
317919880,0.252459,0.281013,0.271311,0.251899,1
317919913,0.22459,0.23038,0.267213,0.250633,1
317919946,0.233607,0.256962,0.263934,0.250633,1
317919980,0.242623,0.267089,0.262295,0.251899,1
317920014,0.209016,0.277215,0.257377,0.25443,1
317920046,0.187705,0.250633,0.252459,0.25443,1
317920079,0.215574,0.235443,0.24918,0.253165,1
317920113,0.218852,0.235443,0.246721,0.251899,1
317920146,0.198361,0.218987,0.242623,0.249367,1
317920180,0.459016,0.262025,0.459016,0.262025,0
317920213,0.47377,0.279747,0.47377,0.279747,0
317920246,0.481148,0.265823,0.477049,0.273418,0
317920279,0.47459,0.286076,0.47623,0.277215,0
317920313,0.47459,0.297468,0.47623,0.282278,0
317920346,0.427049,0.293671,0.466393,0.28481,0
317920379,0.447541,0.273418,0.463115,0.282278,1
317920413,0.451639,0.288608,0.460656,0.283544,1
317920446,0.456557,0.294937,0.460656,0.28481,1
317920479,0.45082,0.26076,0.459016,0.282278,1
317920513,0.471311,0.278481,0.460656,0.282278,1
317920546,0.458197,0.272152,0.459836,0.281013,1
317920579,0.47623,0.281013,0.461475,0.281013,1
317920612,0.463115,0.259494,0.461475,0.278481,1
317920657,0.494262,0.279747,0.463934,0.278481,1
317920679,0.621311,0.389873,0.621311,0.389873,0
317920712,0.615574,0.329114,0.615574,0.329114,0
317920746,0.592623,0.396203,0.604098,0.362025,0
317920779,0.580328,0.351899,0.595902,0.359494,0
317920813,0.6,0.365823,0.596721,0.360759,0
317920845,0.598361,0.382278,0.597541,0.364557,0
317920879,0.609016,0.389873,0.59918,0.36962,1
317920912,0.6,0.417722,0.59918,0.375949,1
317920947,0.6,0.383544,0.59918,0.377215,1
317920979,0.611475,0.408861,0.60082,0.381013,1
317921015,0.606557,0.36962,0.601639,0.379747,1
317921046,0.686066,0.282278,0.609836,0.370886,1
317921079,0.748361,0.201266,0.748361,0.201266,0
317921112,0.733607,0.234177,0.733607,0.234177,0
317921145,0.782787,0.246835,0.758197,0.240506,0
317921179,0.748361,0.234177,0.754918,0.237975,0
317921212,0.756557,0.172152,0.755738,0.221519,0
317921245,0.741803,0.23038,0.752459,0.224051,0
317921279,0.751639,0.243038,0.752459,0.226582,1
317921312,0.77623,0.229114,0.755738,0.226582,1
317921345,0.738525,0.197468,0.754098,0.222785,1
317921378,0.728689,0.186076,0.75082,0.218987,1
317921412,0.761475,0.23038,0.751639,0.220253,1
317921445,0.72459,0.218987,0.74918,0.220253,1
317921478,0.570492,0.273418,0.570492,0.273418,0
317921512,0.12623,0.411392,0.12623,0.411392,0
317921545,0.115574,0.410127,0.121311,0.411392,0
317921578,0.119672,0.44557,0.120492,0.422785,0
317921612,0.102459,0.427848,0.115574,0.424051,0
317921645,0.115574,0.429114,0.115574,0.425316,0
317921678,0.111475,0.377215,0.111475,0.377215,0
317921712,0.122131,0.363291,0.122131,0.363291,0
317921746,0.0909836,0.360759,0.106557,0.362025,0
317921778,0.119672,0.364557,0.110656,0.363291,0
317921812,0.12623,0.418987,0.114754,0.377215,0
317921850,0.103279,0.389873,0.112295,0.379747,0
317921878,0.12541,0.441772,0.114754,0.389873,1
317921911,0.129508,0.408861,0.117213,0.393671,1
317921945,0.204918,0.367089,0.128689,0.389873,1
317921979,0.2,0.368354,0.136885,0.387342,1
317922012,0.212295,0.377215,0.145082,0.386076,1
317922046,0.209836,0.383544,0.152459,0.386076,1
317922079,0.193443,0.367089,0.156557,0.38481,1
317922112,0.20082,0.313924,0.161475,0.378481,1
317922145,0.185246,0.332911,0.163934,0.374684,1
317922179,0.228689,0.377215,0.169672,0.374684,1
317922212,0.212295,0.341772,0.17377,0.372152,1
317922245,0.204098,0.381013,0.17623,0.372152,1
317922279,0.190984,0.372152,0.178689,0.372152,1
317922312,0.208197,0.355696,0.181148,0.370886,1
317922345,0.227049,0.364557,0.185246,0.36962,1
317922379,0.189344,0.378481,0.186066,0.36962,1
317922412,0.213934,0.346835,0.188525,0.368354,1
317922445,0.209016,0.348101,0.190984,0.367089,1
317922478,0.212295,0.364557,0.192623,0.365823,1
317922512,0.197541,0.359494,0.193443,0.365823,1
317922546,0.184426,0.360759,0.193443,0.364557,1
317922579,0.221311,0.367089,0.195902,0.364557,1
317922612,0.208197,0.34557,0.197541,0.363291,1
317922645,0.22541,0.382278,0.19918,0.364557,1
317922678,0.259016,0.393671,0.203279,0.365823,1
317922712,0.227869,0.367089,0.205738,0.365823,1
317922745,0.257377,0.412658,0.209836,0.368354,1
317922778,0.253279,0.36962,0.213934,0.368354,1
317922812,0.236066,0.375949,0.216393,0.368354,1
317922845,0.235246,0.413924,0.218852,0.372152,1
317922878,0.234426,0.346835,0.220492,0.36962,1
317922911,0.233607,0.386076,0.222131,0.370886,1
