tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
456187261,0.552065,0.624855,0.548474,0.645761,1
456187291,0.666966,0.578397,0.666966,0.578397,0
456187324,0.731598,0.449477,0.731598,0.449477,0
456187361,0.741472,0.461092,0.736086,0.455285,0
456187391,0.736086,0.466899,0.736086,0.45993,0
456187424,0.71903,0.461092,0.731598,0.45993,0
456187457,0.7307,0.492451,0.731598,0.466899,0
456187491,0.728007,0.462253,0.728007,0.462253,0
456187524,0.732495,0.437863,0.732495,0.437863,0
456187557,0.758528,0.465738,0.74596,0.4518,0
456187591,0.834829,0.42741,0.775584,0.44367,0
456187624,0.832136,0.412311,0.789946,0.43554,0
456187657,0.831239,0.439024,0.798025,0.436702,0
456187690,0.82675,0.415796,0.803411,0.433217,1
456187724,0.824955,0.396051,0.807002,0.42741,1
456187757,0.841113,0.425087,0.81149,0.426249,1
456187790,0.832136,0.452962,0.814183,0.429733,1
456187824,0.831239,0.413473,0.815978,0.428571,1
456187857,0.82316,0.406504,0.817774,0.426249,1
456187890,0.711849,0.408827,0.807899,0.423926,1
456187924,0.454219,0.425087,0.454219,0.425087,0
456187957,0.45781,0.425087,0.45781,0.425087,0
456187990,0.458707,0.425087,0.45781,0.425087,0
456188024,0.449731,0.367015,0.455117,0.405343,0
456188059,0.449731,0.377468,0.454219,0.398374,0
456188092,0.459605,0.38676,0.455117,0.396051,0
456188123,0.473968,0.406504,0.458707,0.397213,1
456188157,0.463196,0.422764,0.458707,0.401858,1
456188190,0.441652,0.387921,0.456912,0.399535,1
456188223,0.468582,0.405343,0.45781,0.400697,1
456188257,0.456912,0.422764,0.45781,0.40302,1
456188290,0.453321,0.405343,0.45781,0.40302,1
456188325,0.480251,0.409988,0.459605,0.404181,1
456188356,0.573609,0.483159,0.573609,0.483159,0
456188390,0.585278,0.483159,0.585278,0.483159,0
456188423,0.579892,0.464576,0.582585,0.473868,0
456188456,0.612208,0.475029,0.59246,0.473868,0
456188490,0.578097,0.448316,0.588869,0.46806,0
456188523,0.598743,0.491289,0.590664,0.472706,0
456188556,0.597846,0.477352,0.59246,0.472706,1
456188590,0.585278,0.448316,0.590664,0.469222,1
456188623,0.575404,0.481998,0.588869,0.471545,1
456188656,0.586176,0.469222,0.588869,0.470383,1
456188690,0.585278,0.493612,0.587971,0.473868,1
